pch18_ft (ll=3.5e-07) X,pch18_ft (ll=3.5e-07) Y,pch18_ft (ll=4e-07) X,pch18_ft (ll=4e-07) Y,pch18_ft (ll=5e-07) X,pch18_ft (ll=5e-07) Y,pch18_ft (ll=6e-07) X,pch18_ft (ll=6e-07) Y,pch18_ft (ll=7e-07) X,pch18_ft (ll=7e-07) Y,pch18_ft (ll=8e-07) X,pch18_ft (ll=8e-07) Y,pch18_ft (ll=9e-07) X,pch18_ft (ll=9e-07) Y,pch18_ft (ll=1e-06) X,pch18_ft (ll=1e-06) Y,pch18_ft (ll=1.2e-06) X,pch18_ft (ll=1.2e-06) Y,pch18_ft (ll=1.4e-06) X,pch18_ft (ll=1.4e-06) Y,pch18_ft (ll=1.6e-06) X,pch18_ft (ll=1.6e-06) Y,pch18_ft (ll=1.8e-06) X,pch18_ft (ll=1.8e-06) Y,pch18_ft (ll=2e-06) X,pch18_ft (ll=2e-06) Y,pch18_ft (ll=2.2e-06) X,pch18_ft (ll=2.2e-06) Y,pch18_ft (ll=2.4e-06) X,pch18_ft (ll=2.4e-06) Y
0.12,-391679.9252674889,0.12,-351038.2510882523,0.12,-302151.2535822483,0.12,-269033.3200092853,0.12,-242940.7047441912,0.12,-221320.0171524417,0.12,-203007.186283411,0.12,-187286.8066768567,0.12,-161725.1314447262,0.12,-141876.8150017931,0.12,-126054.4907151147,0.12,-113167.157912049,0.12,-102480.7550830976,0.12,-93484.69886252836,0.12,-85813.59705966669
0.13,-513432.7251331246,0.13,-460574.6315939074,0.13,-396768.3084666342,0.13,-353351.2001307684,0.13,-319045.4978874368,0.13,-290569.3361530679,0.13,-266423.3196754948,0.13,-245680.8050592775,0.13,-211932.7364207083,0.13,-185717.763017335,0.13,-164818.7539249488,0.13,-147798.4688534891,0.13,-133688.3461262509,0.13,-121813.9872081375,0.13,-111692.4188057281
0.14,-672606.076653291,0.14,-603871.7602791389,0.14,-520589.7816097602,0.14,-463661.4607399038,0.14,-418551.0393553761,0.14,-381042.7098273262,0.14,-349205.319730332,0.14,-321838.2237408886,0.14,-277290.0545733632,0.14,-242677.54087677,0.14,-215085.9147787547,0.14,-192620.9331141654,0.14,-174004.1114911545,0.14,-158344.3773087593,0.14,-145003.1609927078
0.15,-880490.7417833016,0.15,-791128.7450096846,0.15,-682420.5732021009,0.15,-607762.8377253106,0.15,-548435.7658488632,0.15,-499026.9216908579,0.15,-457049.0488804464,0.15,-420945.7532504682,0.15,-362155.6974736228,0.15,-316474.9432513494,0.15,-280069.1308287023,0.15,-250440.3283922438,0.15,-225900.1733096107,0.15,-205270.8485985435,0.15,-187707.7963717628
0.16,-1151673.948672244,0.16,-1035517.286472235,0.16,-893609.4849113635,0.16,-795680.4215328102,0.16,-717643.7375622379,0.16,-652554.7070157584,0.16,-597209.4101753316,0.16,-549588.9910576057,0.16,-472029.3563582632,0.16,-411773.6677125289,0.16,-363773.9755768506,0.16,-324734.11065793,0.16,-292423.2057657891,0.16,-265283.7293360718,0.16,-242198.2947045003
0.17,-1504941.631148954,0.17,-1353988.42008974,0.17,-1168722.811790541,0.17,-1040237.871204299,0.17,-937573.6652440127,0.17,-851824.4309215905,0.17,-778861.8655285757,0.17,-716064.9395574756,0.17,-613787.3989364377,0.17,-534361.5898952394,0.17,-471135.6830415467,0.17,-419756.7825723297,0.17,-377275.2979870081,0.17,-341630.5057656106,0.17,-311343.4774172044
0.18,-1964393.806970754,0.18,-1768264.457520872,0.18,-1526361.18083235,0.18,-1357740.214737975,0.18,-1222652.229202392,0.18,-1109682.848454912,0.18,-1013509.93171468,0.18,-930726.6772982655,0.18,-795930.4521944063,0.18,-691328.7833737596,0.18,-608146.4653423504,0.18,-540629.7204752368,0.18,-484875.7360250023,0.18,-438156.4344051607,0.18,-398513.5426622843
0.19,-2560803.964646837,0.19,-2306038.977163534,0.19,-1990129.272675038,0.19,-1768766.648434566,0.19,-1590983.415692223,0.19,-1442157.048116034,0.19,-1315420.745955147,0.19,-1206339.524661725,0.19,-1028819.350241135,0.19,-891219.9182382877,0.19,-781949.0281075089,0.19,-693392.746626033,0.19,-620382.4889954336,0.19,-559304.3786048815,0.19,-507564.3382846652
0.2,-3333245.773946661,0.2,-3002398.040459076,0.2,-2589754.636370697,0.2,-2299056.75957296,0.2,-2065048.180714558,0.2,-1869003.712668688,0.2,-1702052.896242094,0.2,-1558410.623619752,0.2,-1324860.13966079,0.2,-1144123.105475631,0.2,-1000860.99631721,0.2,-884985.3376898604,0.2,-789644.5954955472,0.2,-710048.2789746799,0.2,-642758.8029047826
0.21,-4330993.636123528,0.21,-3901456.563120225,0.21,-3362328.353042442,0.21,-2980447.727079807,0.21,-2672402.098502236,0.21,-2414217.579728595,0.21,-2194415.641574186,0.21,-2005430.438097098,0.21,-1698579.369997218,0.21,-1461641.831615677,0.21,-1274283.240708504,0.21,-1123116.841835001,0.21,-999050.8131358665,0.21,-895731.0368093648,0.21,-808601.1431909243
0.2200000000000001,-5615673.247216059,0.2200000000000001,-5058170.86430528,0.2200000000000001,-4353603.418506296,0.2200000000000001,-3851781.870747741,0.2200000000000001,-3446281.426377743,0.2200000000000001,-3106406.202748375,0.2200000000000001,-2817267.156355467,0.2200000000000001,-2568936.879519977,0.2200000000000001,-2166510.591860661,0.2200000000000001,-1856683.083304537,0.2200000000000001,-1612437.182672092,0.2200000000000001,-1415981.648993962,0.2200000000000001,-1255239.925339146,0.2200000000000001,-1121780.219531018,0.2200000000000001,-1009563.846201912
0.2300000000000001,-7263589.856577156,0.2300000000000001,-6540237.798534212,0.2300000000000001,-5619233.889304142,0.2300000000000001,-4959652.792019646,0.2300000000000001,-4425981.478804432,0.2300000000000001,-3978897.754883834,0.2300000000000001,-3599025.883751909,0.2300000000000001,-3273286.031468805,0.2300000000000001,-2746798.637686647,0.2300000000000001,-2342990.327498597,0.2300000000000001,-2025879.118184008,0.2300000000000001,-1771783.456607286,0.2300000000000001,-1564649.812408001,0.2300000000000001,-1393288.913655783,0.2300000000000001,-1249702.774399
0.2400000000000001,-9368091.789881771,0.2400000000000001,-8429920.214250496,0.2400000000000001,-7225769.691973546,0.2400000000000001,-6358798.059910242,0.2400000000000001,-5656821.945039989,0.2400000000000001,-5069411.488370829,0.2400000000000001,-4571243.834285535,0.2400000000000001,-4144999.094356698,0.2400000000000001,-3458431.62034248,0.2400000000000001,-2934365.597540937,0.2400000000000001,-2524762.843593456,0.2400000000000001,-2198060.254624414,0.2400000000000001,-1932911.704131139,0.2400000000000001,-1714478.565160059,0.2400000000000001,-1532184.262194175
0.2500000000000001,-12041735.4802371,0.2500000000000001,-10825550.24556333,0.2500000000000001,-9251145.870547935,0.2500000000000001,-8111888.813492866,0.2500000000000001,-7189477.058122894,0.2500000000000001,-6419103.857123684,0.2500000000000001,-5767491.844549341,0.2500000000000001,-5211571.172037884,0.2500000000000001,-4320047.383355103,0.2500000000000001,-3643572.754431407,0.2500000000000001,-3117873.858499943,0.2500000000000001,-2700853.45356898,0.2500000000000001,-2364145.074198257,0.2500000000000001,-2088105.581753524,0.2500000000000001,-1858788.385896554
0.2600000000000001,-15417914.27062487,0.2600000000000001,-13842367.91466964,0.2600000000000001,-11784339.52062495,0.2600000000000001,-10288435.41913122,0.2600000000000001,-9078450.457151739,0.2600000000000001,-8070833.472615602,0.2600000000000001,-7221558.969121994,0.2600000000000001,-6499695.548210641,0.2600000000000001,-5348345.671011993,0.2600000000000001,-4481000.919110782,0.2600000000000001,-3811539.795423334,0.2600000000000001,-3283836.617551297,0.2600000000000001,-2860270.067742619,0.2600000000000001,-2514924.42384496,0.2600000000000001,-2229493.885934362
0.2700000000000001,-19651518.48399595,0.2700000000000001,-17612278.80278488,0.2700000000000001,-14923846.05483726,0.2700000000000001,-12962559.62863093,0.2700000000000001,-11379549.73249804,0.2700000000000001,-10066594.64002289,0.2700000000000001,-8964994.214075511,0.2700000000000001,-8032992.611380736,0.2700000000000001,-6556270.987199111,0.2700000000000001,-5453283.8347952,0.2700000000000001,-4608616.322330387,0.2700000000000001,-3947591.704719842,0.2700000000000001,-3420507.018750927,0.2700000000000001,-2993355.983151061,0.2700000000000001,-2642272.902340064
0.2800000000000001,-24918147.63157402,0.2800000000000001,-22282104.08820909,0.2800000000000001,-18774695.05856744,0.2800000000000001,-16209519.12569324,0.2800000000000001,-14146394.96374435,0.2800000000000001,-12444269.78673777,0.2800000000000001,-11024222.69835427,0.2800000000000001,-9829527.285402132,0.2800000000000001,-7951287.736967094,0.2800000000000001,-6562182.19216889,0.2800000000000001,-5507817.856479917,0.2800000000000001,-4689257.60700063,0.2800000000000001,-4041244.535927035,0.2800000000000001,-3519504.127327119,0.2800000000000001,-3093205.593499316
