nch18_ft (ll=3.5e-07) X,nch18_ft (ll=3.5e-07) Y,nch18_ft (ll=4e-07) X,nch18_ft (ll=4e-07) Y,nch18_ft (ll=5e-07) X,nch18_ft (ll=5e-07) Y,nch18_ft (ll=6e-07) X,nch18_ft (ll=6e-07) Y,nch18_ft (ll=7e-07) X,nch18_ft (ll=7e-07) Y,nch18_ft (ll=8e-07) X,nch18_ft (ll=8e-07) Y,nch18_ft (ll=9e-07) X,nch18_ft (ll=9e-07) Y,nch18_ft (ll=1e-06) X,nch18_ft (ll=1e-06) Y,nch18_ft (ll=1.2e-06) X,nch18_ft (ll=1.2e-06) Y,nch18_ft (ll=1.4e-06) X,nch18_ft (ll=1.4e-06) Y,nch18_ft (ll=1.6e-06) X,nch18_ft (ll=1.6e-06) Y,nch18_ft (ll=1.8e-06) X,nch18_ft (ll=1.8e-06) Y,nch18_ft (ll=2e-06) X,nch18_ft (ll=2e-06) Y,nch18_ft (ll=2.2e-06) X,nch18_ft (ll=2.2e-06) Y,nch18_ft (ll=2.4e-06) X,nch18_ft (ll=2.4e-06) Y
0.4900000000000003,-2338494522.667345,0.4900000000000003,-1837261320.001638,0.4900000000000003,-1246078887.894341,0.4900000000000003,-911882540.3236988,0.4900000000000003,-700210504.6308498,0.4900000000000003,-556258103.2943146,0.4900000000000003,-453355148.2266693,0.4900000000000003,-376995354.4381762,0.4900000000000003,-273000630.53076,0.4900000000000003,-207035767.361933,0.4900000000000003,-162484052.8102356,0.4900000000000003,-130949697.778326,0.4900000000000003,-107798158.2407635,0.4900000000000003,-90294228.28627308,0.4900000000000003,-76736432.42159761
0.5000000000000002,-2610063382.625388,0.5000000000000002,-2046073006.887791,0.5000000000000002,-1381274079.889653,0.5000000000000002,-1006602151.951065,0.5000000000000002,-770184046.081531,0.5000000000000002,-609998254.082538,0.5000000000000002,-495884129.1673342,0.5000000000000002,-411467290.4458978,0.5000000000000002,-296939845.9514983,0.5000000000000002,-224612451.057328,0.5000000000000002,-175931297.9296222,0.5000000000000002,-141567788.0401115,0.5000000000000002,-116394331.6000496,0.5000000000000002,-97395667.74357906,0.5000000000000002,-82701841.73591729
0.5100000000000002,-2898279989.386924,0.5100000000000002,-2266843296.392008,0.5100000000000002,-1523142586.381326,0.5100000000000002,-1105385739.95986,0.5100000000000002,-842819982.8959256,0.5100000000000002,-665593247.5153136,0.5100000000000002,-539773533.9016215,0.5100000000000002,-446980356.1898382,0.5100000000000002,-321551637.6588808,0.5100000000000002,-242666193.3101701,0.5100000000000002,-189738817.8845132,0.5100000000000002,-152470005.3300416,0.5100000000000002,-125221659.9554872,0.5100000000000002,-104689587.9108042,0.5100000000000002,-88830438.82105163
0.5200000000000002,-3202165984.35529,0.5200000000000002,-2498743250.108286,0.5200000000000002,-1671149346.759253,0.5200000000000002,-1207915175.442298,0.5200000000000002,-917941085.3177458,0.5200000000000002,-722953024.4536793,0.5200000000000002,-584986050.9329417,0.5200000000000002,-483528679.7150621,0.5200000000000002,-346858949.7025893,0.5200000000000002,-261228061.7299632,0.5200000000000002,-203938132.7214128,0.5200000000000002,-163685630.4335759,0.5200000000000002,-134306430.1667926,0.5200000000000002,-112199273.0250932,0.5200000000000002,-95142763.41274568
0.5300000000000002,-3520844437.542749,0.5300000000000002,-2741085431.322174,0.5300000000000002,-1824919820.659946,0.5300000000000002,-1314013457.867754,0.5300000000000002,-995483026.608037,0.5300000000000002,-782074378.4770774,0.5300000000000002,-631550150.1431714,0.5300000000000002,-521155985.9846722,0.5300000000000002,-372913042.8313516,0.5300000000000002,-280345511.9796961,0.5300000000000002,-218570336.8026415,0.5300000000000002,-175249520.1406599,0.5300000000000002,-143678097.0981361,0.5300000000000002,-119949692.9239794,0.5300000000000002,-101660112.925912
0.5400000000000003,-3853615049.778053,0.5400000000000003,-2993373672.762182,0.5400000000000003,-1984249435.414877,0.5400000000000003,-1423632988.448799,0.5400000000000003,-1075474125.476506,0.5400000000000003,-843018680.0676297,0.5400000000000003,-679538727.9756224,0.5400000000000003,-559936291.5148131,0.5400000000000003,-399778752.2292675,0.5400000000000003,-300071387.9144128,0.5400000000000003,-233677839.0708939,0.5400000000000003,-187195807.4312464,0.5400000000000003,-153364391.5716441,0.5400000000000003,-127963636.2146827,0.5400000000000003,-108401434.93951
0.5500000000000003,-4199969888.048414,0.5500000000000003,-3255300904.931295,0.5500000000000003,-2149077824.83503,0.5500000000000003,-1536822372.765461,0.5500000000000003,-1158002976.725473,0.5500000000000003,-905883355.9675555,0.5500000000000003,-729045035.0742016,0.5500000000000003,-599953945.7070248,0.5500000000000003,-427520911.3876824,0.5500000000000003,-320454553.7902427,0.5500000000000003,-249297732.8877175,0.5500000000000003,-199553081.0042074,0.5500000000000003,-163387725.7526616,0.5500000000000003,-136258967.7300425,0.5500000000000003,-115381191.7056985
0.5600000000000003,-4559556962.671112,0.5600000000000003,-3526705282.275198,0.5600000000000003,-2319440077.842183,0.5600000000000003,-1653682576.787885,0.5600000000000003,-1243182453.05057,0.5600000000000003,-970773419.2193969,0.5600000000000003,-780160446.8465762,0.5600000000000003,-641286290.0722159,0.5600000000000003,-456193613.2843505,0.5600000000000003,-341533009.0430652,0.5600000000000003,-265457218.6755781,0.5600000000000003,-212341239.6078703,0.5600000000000003,-173762967.5507433,0.5600000000000003,-144847013.7675441,0.5600000000000003,-122608162.9017529
0.5700000000000003,-4932108970.810734,0.5700000000000003,-3807501508.797998,0.5700000000000003,-2495408816.288323,0.5700000000000003,-1774322342.162615,0.5700000000000003,-1331116731.970398,0.5700000000000003,-1037777376.988037,0.5700000000000003,-832956837.0848573,0.5700000000000003,-683990665.4957333,0.5700000000000003,-485832929.7319002,0.5700000000000003,-363329634.5894096,0.5700000000000003,-282171028.3257605,0.5700000000000003,-225569889.0939523,0.5700000000000003,-184496424.146883,0.5700000000000003,-153731911.3795623,0.5700000000000003,-130085029.5741688
0.5800000000000003,-5317357672.006505,0.5800000000000003,-4097604993.245809,0.5800000000000003,-2677038817.387035,0.5800000000000003,-1898819933.552812,0.5800000000000003,-1421875371.547004,0.5800000000000003,-1106949682.911334,0.5800000000000003,-887474626.9381979,0.5800000000000003,-728096205.2628495,0.5800000000000003,-516452960.2825732,0.5800000000000003,-385850277.9934024,0.5800000000000003,-299440533.2925622,0.5800000000000003,-239237984.5877227,0.5800000000000003,-195585770.1027046,0.5800000000000003,-162910690.9397319,0.5800000000000003,-137808539.0524963
0.5900000000000003,-5714951973.310317,0.5900000000000003,-4396863052.713428,0.5900000000000003,-2864321985.813049,0.5900000000000003,-2027195003.107911,0.5900000000000003,-1515476001.333506,0.5900000000000003,-1178300149.7997,0.5900000000000003,-943716356.0251768,0.5900000000000003,-773599997.6576939,0.5900000000000003,-548044665.1960202,0.5900000000000003,-409083679.5226493,0.5900000000000003,-317254118.4615288,0.5900000000000003,-253334374.6986288,0.5900000000000003,-207020638.7978609,0.5900000000000003,-172373859.9366468,0.5900000000000003,-145770057.6050324
0.6000000000000003,-6124392391.108743,0.6000000000000003,-4705002176.428517,0.6000000000000003,-3057156411.78543,0.6000000000000003,-2159391573.994473,0.6000000000000003,-1611875399.772709,0.6000000000000003,-1251789609.151424,0.6000000000000003,-1001644920.639726,0.6000000000000003,-820466770.424126,0.6000000000000003,-580576784.4370188,0.6000000000000003,-433002701.8712055,0.6000000000000003,-335588411.0720003,0.6000000000000003,-267838930.2698235,0.6000000000000003,-218783627.7484016,0.6000000000000003,-182106288.6622922,0.6000000000000003,-153956348.9559087
0.6100000000000003,-6544988478.122653,0.6100000000000003,-5021595237.907387,0.6100000000000003,-3255329997.994088,0.6100000000000003,-2295271255.818411,0.6100000000000003,-1710967684.302542,0.6100000000000003,-1327330549.11489,0.6100000000000003,-1061185347.326023,0.6100000000000003,-868631129.2617925,0.6100000000000003,-613998160.3973925,0.6100000000000003,-457566380.7881374,0.6100000000000003,-354410015.1037394,0.6100000000000003,-282723997.6428021,0.6100000000000003,-230851519.3839888,0.6100000000000003,-192088242.8396512,0.6100000000000003,-162350455.154524
0.6200000000000003,-6975840599.868537,0.6200000000000003,-5346048549.276984,0.6200000000000003,-3458517024.983428,0.6200000000000003,-2434614795.173008,0.6200000000000003,-1812587910.797332,0.6200000000000003,-1404791323.346536,0.6200000000000003,-1122228971.547381,0.6200000000000003,-918001448.7526118,0.6200000000000003,-648240882.6703378,0.6200000000000003,-482722407.4091199,0.6200000000000003,-373677480.1754867,0.6200000000000003,-297955980.823688,0.6200000000000003,-243196571.5041516,0.6200000000000003,-202296451.5363537,0.6200000000000003,-170932592.2495121
0.6300000000000003,-7415843779.983734,0.6300000000000003,-5677606094.935134,0.6300000000000003,-3666284957.632755,0.6300000000000003,-2577129726.408028,0.6300000000000003,-1916519359.698532,0.6300000000000003,-1484002630.458599,0.6300000000000003,-1184639039.504265,0.6300000000000003,-968464667.0989294,0.6300000000000003,-683223801.7707007,0.6300000000000003,-508409752.2533936,0.6300000000000003,-393343309.7092666,0.6300000000000003,-313496915.3457665,0.6300000000000003,-255787777.4419779,0.6300000000000003,-212705135.2664991,0.6300000000000003,-179681002.877169
0.6400000000000003,-7863709241.773832,0.6400000000000003,-6015367015.811481,0.6400000000000003,-3878108500.884256,0.6400000000000003,-2722461974.66532,0.6400000000000003,-2022502991.38141,0.6400000000000003,-1564765185.293852,0.6400000000000003,-1248256954.107838,0.6400000000000003,-1019891411.420262,0.6400000000000003,-718856083.0853013,0.6400000000000003,-534561228.9495987,0.6400000000000003,-413355876.9337797,0.6400000000000003,-329305944.1198603,0.6400000000000003,-268592032.244431,0.6400000000000003,-223286947.5541925,0.6400000000000003,-188572730.5243181
0.6500000000000004,-8317998460.771069,0.6500000000000004,-6358312104.828052,0.6500000000000004,-4093388098.384698,0.6500000000000004,-2870209570.243538,0.6500000000000004,-2130247849.515002,0.6500000000000004,-1646857754.128985,0.6500000000000004,-1312908589.675432,0.6500000000000004,-1072141043.584843,0.6500000000000004,-755040578.2355537,0.6500000000000004,-561105866.9167008,0.6500000000000004,-433661167.0678125,0.6500000000000004,-345340641.6727743,0.6500000000000004,-281575168.2308742,0.6500000000000004,-234013804.0649609,0.6500000000000004,-197584296.6507882
0.6600000000000004,-8777164620.818005,0.6600000000000004,-6705335368.567276,0.6600000000000004,-4311470498.296923,0.6600000000000004,-3019937019.981456,0.6600000000000004,-2239441497.66872,0.6600000000000004,-1730044960.26424,0.6600000000000004,-1378410278.257171,0.6600000000000004,-1125066353.314663,0.6600000000000004,-791676874.6825019,0.6600000000000004,-587971016.3510051,0.6600000000000004,-454204300.8777503,0.6600000000000004,-361558159.3793526,0.6600000000000004,-294702842.6146737,0.6600000000000004,-244857588.1005557,0.6600000000000004,-206692273.3134205
0.6700000000000004,-9239596977.993446,0.6700000000000004,-7055277325.506647,0.6700000000000004,-4531669526.877775,0.6700000000000004,-3171189265.197819,0.6700000000000004,-2349759850.227426,0.6700000000000004,-1814084464.772269,0.6700000000000004,-1444574215.115433,0.6700000000000004,-1178517732.742039,0.6700000000000004,-828663947.2545555,0.6700000000000004,-615084148.3156176,0.6700000000000004,-474930821.0585433,0.6700000000000004,-377916182.6319492,0.6700000000000004,-307941273.1980237,0.6700000000000004,-255790731.2572496,0.6700000000000004,-215873751.6533203
0.6800000000000004,-9703664508.378588,0.6800000000000004,-7406957448.541105,0.6800000000000004,-4753285718.265275,0.6800000000000004,-3323504495.9854,0.6800000000000004,-2460875987.982845,0.6800000000000004,-1898733284.96082,0.6800000000000004,-1511213142.256395,0.6800000000000004,-1232346747.276117,0.6800000000000004,-865902380.7296711,0.6800000000000004,-642374340.4768404,0.6800000000000004,-495787740.9562534,0.6800000000000004,-394373703.2827101,0.6800000000000004,-321257827.0131438,0.6800000000000004,-266786674.6096753,0.6800000000000004,-225106711.6079196
0.6900000000000004,-10167756158.68497,0.6900000000000004,-7759203894.402045,0.6900000000000004,-4975623900.130464,0.6900000000000004,-3476425373.142064,0.6900000000000004,-2572467729.505499,0.6900000000000004,-1983753133.131358,0.6900000000000004,-1578144251.329389,0.6900000000000004,-1286409076.004345,0.6900000000000004,-903296164.3203231,0.6900000000000004,-669773457.8432333,0.6900000000000004,-516724367.1000023,0.6900000000000004,-410891618.7092271,0.6900000000000004,-334621472.3997962,0.6900000000000004,-277820219.8619689,0.6900000000000004,-234370301.2621169
0.7000000000000004,-10630315915.12113,0.7000000000000004,-8110879325.316617,0.7000000000000004,-5198008210.052786,0.7000000000000004,-3629508430.405575,0.7000000000000004,-2684223865.878544,0.7000000000000004,-2068914746.008118,0.7000000000000004,-1645192305.916843,0.7000000000000004,-1340566835.482113,0.7000000000000004,-940754080.119836,0.7000000000000004,-697217050.0009943,0.7000000000000004,-537692914.465019,0.7000000000000004,-427433173.6917953,0.7000000000000004,-348003108.2901657,0.7000000000000004,-288867782.2142606,0.7000000000000004,-243645035.9223107
0.7100000000000004,-11089871689.27808,0.7100000000000004,-8460902185.672429,0.7100000000000004,-5419794313.524722,0.7100000000000004,-3782331596.145217,0.7100000000000004,-2795849065.165593,0.7100000000000004,-2154001236.729599,0.7100000000000004,-1712192023.188769,0.7100000000000004,-1394690327.661887,0.7100000000000004,-978190720.8825492,0.7100000000000004,-724644993.5552409,0.7100000000000004,-558648937.5711488,0.7100000000000004,-443964263.8389596,0.7100000000000004,-361375786.0836705,0.7100000000000004,-299907557.7394193,0.7100000000000004,-252912927.6896598
0.7200000000000004,-11545057659.62428,0.7200000000000004,-8808263238.208845,0.7200000000000004,-5640378816.579386,0.7200000000000004,-3934499892.927953,0.7200000000000004,-2907067520.921129,0.7200000000000004,-2238810541.996801,0.7200000000000004,-1778989780.330225,0.7200000000000004,-1448659269.167499,0.7200000000000004,-1015527179.962437,0.7200000000000004,-752001912.1104063,0.7200000000000004,-579551602.3453115,0.7200000000000004,-460453620.212466,0.7200000000000004,-374714839.923543,0.7200000000000004,-310919618.2259146,0.7200000000000004,-262157556.3182145
0.7300000000000004,-11994630196.35382,0.7300000000000004,-9152037493.640167,0.7300000000000004,-5859206023.188969,0.7300000000000004,-4085649453.5704,0.7300000000000004,-3017625462.415461,0.7300000000000004,-2323157061.528183,0.7300000000000004,-1845444725.542224,0.7300000000000004,-1502363567.749756,0.7300000000000004,-1052691459.395513,0.7300000000000004,-779237407.1596903,0.7300000000000004,-600363823.825153,0.7300000000000004,-476872894.5693422,0.7300000000000004,-387997940.7943622,0.7300000000000004,-321885945.9934314,0.7300000000000004,-271364091.686272
0.7400000000000004,-12437477843.79561,0.7400000000000004,-9491391895.647121,0.7400000000000004,-6075772290.219547,0.7400000000000004,-4235450041.152076,0.7400000000000004,-3127292668.516208,0.7400000000000004,-2406872599.270671,0.7400000000000004,-1911429379.578542,0.7400000000000004,-1555703714.645561,0.7400000000000004,-1089618642.195743,0.7400000000000004,-806306132.4727249,0.7400000000000004,-621052293.772858,0.7400000000000004,-493196663.6252018,0.7400000000000004,-401205088.9160137,0.7400000000000004,-332790420.3349281,0.7400000000000004,-280519277.4470199
0.7500000000000004,-12872626055.25728,0.7500000000000004,-9825589264.811909,0.7500000000000004,-6289628291.340612,0.7500000000000004,-4383606284.979436,0.7500000000000004,-3235863137.0137,0.7500000000000004,-2489806719.060437,0.7500000000000004,-1976829813.975887,0.7500000000000004,-1608590860.352853,0.7500000000000004,-1126250872.889002,0.7500000000000004,-833167742.5642081,0.7500000000000004,-641587420.4988279,0.7500000000000004,-509402369.2280947,0.7500000000000004,-414318557.6205249,0.7500000000000004,-343618766.1386405,0.7500000000000004,-289611384.4798876
0.7600000000000005,-13299237491.45922,0.7600000000000005,-10153989076.76249,0.7600000000000005,-6500379525.773161,0.7600000000000005,-4529857850.758484,0.7600000000000005,-3343155060.511372,0.7600000000000005,-2571826624.23307,0.7600000000000005,-2041545488.180073,0.7600000000000005,-1660946637.334887,0.7600000000000005,-1162537186.872989,0.7600000000000005,-859786743.0519205,0.7600000000000005,-661943200.9689635,0.7600000000000005,-525470209.5303426,0.7600000000000005,-427322800.420261,0.7600000000000005,-354358474.0149862,0.7600000000000005,-298630141.7294721
0.7700000000000005,-13716608728.34709,0.7700000000000005,-10476045667.74504,0.7700000000000005,-6707685406.986117,0.7700000000000005,-4673978756.453076,0.7700000000000005,-3449010252.052345,0.7700000000000005,-2652816663.159761,0.7700000000000005,-2105488821.112624,0.7700000000000005,-1712702787.408833,0.7700000000000005,-1198433224.935351,0.7700000000000005,-886132267.52104,0.7700000000000005,-682097042.8181144,0.7700000000000005,-541382994.3176926,0.7700000000000005,-440204331.4266807,0.7700000000000005,-364998699.984743,0.7700000000000005,-307566650.9634371
0.7800000000000005,-14124164194.88846,0.7800000000000005,-10791304439.96898,0.7800000000000005,-6911257248.084051,0.7800000000000005,-4815776029.786023,0.7800000000000005,-3553293151.026851,0.7800000000000005,-2732677552.512363,0.7800000000000005,-2168584564.490649,0.7800000000000005,-1763800644.851293,0.7800000000000005,-1233900864.623409,0.7800000000000005,-912177802.1670117,0.7800000000000005,-702029551.3878176,0.7800000000000005,-557125975.7202147,0.7800000000000005,-452951587.7443638,0.7800000000000005,-375530151.5413381,0.7800000000000005,-316413290.9541771
0.7900000000000005,-14521448095.90677,0.7900000000000005,-11099396592.3076,0.7900000000000005,-7110855431.015188,0.7900000000000005,-4955087882.5485,0.7900000000000005,-3655889524.655408,0.7900000000000005,-2811325398.529707,0.7900000000000005,-2230769036.273078,0.7900000000000005,-1814190519.168657,0.7900000000000005,-1268907795.459349,0.7900000000000005,-937900876.1837859,0.7900000000000005,-721724294.4731185,0.7900000000000005,-572686663.6720816,0.7900000000000005,-465554781.0057936,0.7900000000000005,-385944965.7259191,0.7900000000000005,-325163615.6255977
0.8000000000000005,-14908114985.39473,0.8000000000000005,-11400032839.93016,0.8000000000000005,-7306286010.934188,0.8000000000000005,-5091781553.507398,0.8000000000000005,-3756704964.026693,0.8000000000000005,-2888690584.640111,0.8000000000000005,-2291989263.593115,0.8000000000000005,-1863831014.470128,0.8000000000000005,-1303427060.464432,0.8000000000000005,-963282732.7316447,0.8000000000000005,-741167555.1849087,0.8000000000000005,-588054633.7642733,0.8000000000000005,-478005743.867971,0.8000000000000005,-396236583.7783475,0.8000000000000005,-333812249.8277919
0.8100000000000005,-15283919554.94563,0.8100000000000005,-11692996517.50325,0.8100000000000005,-7497396968.921618,0.8100000000000005,-5225750947.741577,0.8100000000000005,-3855663257.424673,0.8100000000000005,-2964716582.18286,0.8100000000000005,-2352202075.897251,0.8100000000000005,-1912688315.746201,0.8100000000000005,-1337436582.246071,0.8100000000000005,-988307992.4453319,0.8100000000000005,-760348081.2635558,0.8100000000000005,-603221333.5791199,0.8100000000000005,-490297776.0855041,0.8100000000000005,-406399625.9663155,0.8100000000000005,-342354785.6203718
0.8200000000000005,-15648706099.5087,0.8200000000000005,-11978136390.87156,0.8200000000000005,-7684074288.575999,0.8200000000000005,-5356914177.102571,0.8200000000000005,-3952704708.285287,0.8200000000000005,-3039358730.12694,0.8200000000000005,-2411373181.035882,0.8200000000000005,-1960735466.288044,0.8200000000000005,-1370918688.105576,0.8200000000000005,-1012964318.876981,0.8200000000000005,-779256837.3443207,0.8200000000000005,-618179892.225389,0.8200000000000005,-502425493.7165917,0.8200000000000005,-416429769.3552129,0.8200000000000005,-350787681.2641684
0.8300000000000005,-16002398025.22299,0.8300000000000005,-12255359435.82931,0.8300000000000005,-7866237996.624845,0.8300000000000005,-5485211085.105325,0.8300000000000005,-4047784451.072164,0.8300000000000005,-3112583019.891843,0.8300000000000005,-2469476249.909676,0.8300000000000005,-2007951655.088242,0.8300000000000005,-1403859645.285795,0.8300000000000005,-1037242093.030175,0.8300000000000005,-797886765.0840199,0.8300000000000005,-632924936.6103936,0.8300000000000005,-514384684.1090817,0.8300000000000005,-426323630.5623074,0.8300000000000005,-359108164.5393289
0.8400000000000005,-16344987675.74733,0.8400000000000005,-12524623782.38161,0.8400000000000005,-8043838275.789611,0.8400000000000005,-5610600820.444226,0.8400000000000005,-4140870805.92173,0.8400000000000005,-3184364912.771727,0.8400000000000005,-2526492029.04415,0.8400000000000005,-2054321528.382458,0.8400000000000005,-1436249214.607097,0.8400000000000005,-1061134102.229625,0.8400000000000005,-816232554.7068993,0.8400000000000005,-647452416.9859773,0.8400000000000005,-526172168.5476572,0.8400000000000005,-436078654.9348798,0.8400000000000005,-367314141.5205562
0.8500000000000005,-16676526676.49099,0.8500000000000005,-12785931970.17856,0.8500000000000005,-8216851730.265726,0.8500000000000005,-5733059506.740277,0.8500000000000005,-4231943702.180371,0.8500000000000005,-3254688210.090139,0.8500000000000005,-2582407495.152226,0.8500000000000005,-2099834535.518928,0.8500000000000005,-1468080228.322476,0.8500000000000005,-1084635246.97095,0.8500000000000005,-834290430.4020224,0.8500000000000005,-661759443.4758816,0.8500000000000005,-537785673.8098148,0.8500000000000005,-445693013.0939656,0.8500000000000005,-375404111.5395453
0.8600000000000005,-16997116931.21131,0.8600000000000005,-13039324616.09002,0.8600000000000005,-8385277860.505133,0.8600000000000005,-5852578042.089411,0.8600000000000005,-4320993191.92344,0.8600000000000005,-3323543990.0316,0.8600000000000005,-2637215061.310635,0.8600000000000005,-2144484316.040952,0.8600000000000005,-1499348196.02719,0.8600000000000005,-1107742268.081765,0.8600000000000005,-852057951.0850521,0.8600000000000005,-675844134.6173068,0.8600000000000005,-549223713.3647927,0.8600000000000005,-455165505.3829865,0.8600000000000005,-383377088.7415677
0.8700000000000006,-17306902352.35557,0.8700000000000006,-13284874558.03226,0.8700000000000006,-8549135784.397884,0.8700000000000006,-5969160050.385506,0.8700000000000006,-4408018067.108243,0.8700000000000006,-3390929620.02775,0.8700000000000006,-2690911840.754475,0.8700000000000006,-2188268132.180099,0.8700000000000006,-1530050940.844414,0.8700000000000006,-1130453495.469193,0.8700000000000006,-869533827.3012788,0.8700000000000006,-689705478.4117224,0.8700000000000006,-560485478.5416861,0.8700000000000006,-464495474.4417817,0.8700000000000006,-391232530.3880771
0.8800000000000006,-17606061364.4031,0.8800000000000006,-13522681509.6197,0.8800000000000006,-8708461226.137169,0.8800000000000006,-6082819997.034662,0.8800000000000006,-4493024588.027453,0.8800000000000006,-3456847849.509235,0.8800000000000006,-2743498971.398625,0.8800000000000006,-2231186348.81703,0.8800000000000006,-1560188266.831711,0.8800000000000006,-1152768618.898183,0.8800000000000006,-886717754.4709784,0.8800000000000006,-703343205.9609865,0.8800000000000006,-571570739.6765659,0.8800000000000006,-473682725.8802534,0.8800000000000006,-398970271.8606116
0.8900000000000006,-17894800187.08605,0.8900000000000006,-13752867237.20682,0.8900000000000006,-8863303781.61738,0.8900000000000006,-6193581474.307648,0.8900000000000006,-4576025326.023032,0.8900000000000006,-3521305984.647985,0.8900000000000006,-2794981001.9339,0.8900000000000006,-2273241961.301147,0.8900000000000006,-1589761657.566531,0.8900000000000006,-1174688480.607447,0.8900000000000006,-903610262.2387313,0.8900000000000006,-716757677.4470364,0.8900000000000006,-582479757.0094632,0.8900000000000006,-482727456.8405429,0.8900000000000006,-406590468.1740285
0.9000000000000006,-18173346881.34911,0.9000000000000006,-13975571253.5306,0.9000000000000006,-9013724459.705925,0.9000000000000006,-6301475655.9297,0.9000000000000006,-4657038119.819796,0.9000000000000006,-3584315144.283075,0.9000000000000006,-2845365338.627575,0.9000000000000006,-2314440170.260124,0.9000000000000006,-1618774005.128902,0.9000000000000006,-1196214889.095462,0.9000000000000006,-920212579.3639189,0.9000000000000006,-729949779.980116,0.9000000000000006,-593213200.9277929,0.9000000000000006,-491630192.1024254,0.9000000000000006,-414093541.7009404
0.9100000000000006,-18441946123.86489,0.9100000000000006,-14190947009.5571,0.9100000000000006,-9159793491.699995,0.9100000000000006,-6406539916.312418,0.9100000000000006,-4736085142.166723,0.9100000000000006,-3645889594.427507,0.9100000000000006,-2894661750.694459,0.9100000000000006,-2354788001.607982,0.9100000000000006,-1647229368.164134,0.9100000000000006,-1217350453.069216,0.9100000000000006,-936526513.3596404,0.9100000000000006,-742920836.6769178,0.9100000000000006,-603772081.0316788,0.9100000000000006,-500391727.2939054,0.9100000000000006,-421480135.7364827
0.9200000000000006,-18700854664.5358,0.9200000000000006,-14399158557.43181,0.9200000000000006,-9301588396.295437,0.9200000000000006,-6508816606.843165,0.9200000000000006,-4813192071.573373,0.9200000000000006,-3706046157.48045,0.9200000000000006,-2942881931.21588,0.9200000000000006,-2394293969.316969,0.9200000000000006,-1675132757.34012,0.9200000000000006,-1238098434.318904,0.9200000000000006,-952554343.9342235,0.9200000000000006,-755672526.2226293,0.9200000000000006,-614157683.4182239,0.9200000000000006,-509013078.7099597,0.9200000000000006,-428751073.4867976
0.9300000000000006,-18950337414.51391,0.9300000000000006,-14600377651.85031,0.9300000000000006,-9439192284.071831,0.9300000000000006,-6608351979.635835,0.9300000000000006,-4888387362.652925,0.9300000000000006,-3764803691.422649,0.9300000000000006,-2990039109.997574,0.9300000000000006,-2432967778.098598,0.9300000000000006,-1702489946.280309,0.9300000000000006,-1258462618.139726,0.9300000000000006,-968298729.197549,0.9300000000000006,-768206812.1082031,0.9300000000000006,-624371515.5372756,0.9300000000000006,-517495439.2096271,0.9300000000000006,-435907322.0399536
0.9400000000000006,-19190664108.83079,0.9400000000000006,-14794781254.03218,0.9400000000000006,-9572692383.488663,0.9400000000000006,-6705195247.91286,0.9400000000000006,-4961701607.804815,0.9400000000000006,-3822182633.762398,0.9400000000000006,-3036147714.411958,0.9400000000000006,-2470820062.897437,0.9400000000000006,-1729307305.92565,0.9400000000000006,-1278447199.849043,0.9400000000000006,-983762623.5502588,0.9400000000000006,-780525880.7062489,0.9400000000000006,-634415257.9530213,0.9400000000000006,-525840139.6495914,0.9400000000000006,-442949960.8697937
0.9500000000000006,-19422106486.88775,0.9500000000000006,-14982549401.21534,0.9500000000000006,-9702178769.398294,0.9500000000000006,-6799397771.561717,0.9500000000000006,-5033166982.57931,0.9500000000000006,-3878204604.752695,0.9500000000000006,-3081223074.110865,0.9500000000000006,-2507862161.997028,0.9500000000000006,-1755591660.232785,0.9500000000000006,-1298056685.927255,0.9500000000000006,-998949206.1663407,0.9500000000000006,-792632087.3475496,0.9500000000000006,-644290722.3475015,0.9500000000000006,-534048615.3155689,0.9500000000000006,-449880154.427195
0.9600000000000006,-19644935935.10408,0.9600000000000006,-15163863404.70988,0.9600000000000006,-9827743274.864887,0.9600000000000006,-6891012356.243866,0.9600000000000006,-5102816766.972016,0.9600000000000006,-3932892064.354118,0.9600000000000006,-3125281165.478135,0.9600000000000006,-2544105920.537462,0.9600000000000006,-1781350161.131352,0.9600000000000006,-1317295808.330098,0.9600000000000006,-1013861818.999039,0.9600000000000006,-804527909.5782514,0.9600000000000006,-653999815.1183394,0.9600000000000006,-542122376.8274598,0.9600000000000006,-456699128.3862185
0.9700000000000006,-19859421538.38611,0.9700000000000006,-15338904340.66855,0.9700000000000006,-9949478567.429443,0.9700000000000006,-6980092654.611383,0.9700000000000006,-5170684935.020745,0.9700000000000006,-3986268017.519544,0.9700000000000006,-3168338391.77915,0.9700000000000006,-2579563521.321446,0.9700000000000006,-1806590180.723713,0.9700000000000006,-1336169450.568427,0.9700000000000006,-1028503913.279031,0.9700000000000006,-816215906.8098186,0.9700000000000006,-663544505.9497712,0.9700000000000006,-550062985.0166589,0.9700000000000006,-463408149.1317625
