nch18_ft (ll=3.5e-07) X,nch18_ft (ll=3.5e-07) Y,nch18_ft (ll=4e-07) X,nch18_ft (ll=4e-07) Y,nch18_ft (ll=5e-07) X,nch18_ft (ll=5e-07) Y,nch18_ft (ll=6e-07) X,nch18_ft (ll=6e-07) Y,nch18_ft (ll=7e-07) X,nch18_ft (ll=7e-07) Y,nch18_ft (ll=8e-07) X,nch18_ft (ll=8e-07) Y,nch18_ft (ll=9e-07) X,nch18_ft (ll=9e-07) Y,nch18_ft (ll=1e-06) X,nch18_ft (ll=1e-06) Y,nch18_ft (ll=1.2e-06) X,nch18_ft (ll=1.2e-06) Y,nch18_ft (ll=1.4e-06) X,nch18_ft (ll=1.4e-06) Y,nch18_ft (ll=1.6e-06) X,nch18_ft (ll=1.6e-06) Y,nch18_ft (ll=1.8e-06) X,nch18_ft (ll=1.8e-06) Y,nch18_ft (ll=2e-06) X,nch18_ft (ll=2e-06) Y,nch18_ft (ll=2.2e-06) X,nch18_ft (ll=2.2e-06) Y,nch18_ft (ll=2.4e-06) X,nch18_ft (ll=2.4e-06) Y
0.12,-567481.1526268141,0.12,-496535.1198714776,0.12,-423670.8177889175,0.12,-385855.8047122408,0.12,-361329.9002120117,0.12,-342888.0132905717,0.12,-327599.4262308299,0.12,-314123.3028182986,0.12,-290295.6248379641,0.12,-269090.9738151461,0.12,-249819.532889086,0.12,-232220.0257076002,0.12,-216143.818180279,0.12,-201468.8865630176,0.12,-188078.9364188972
0.13,-761073.3410849795,0.13,-666648.7114568395,0.13,-569544.1054425462,0.13,-518990.2642482741,0.13,-486056.9357741299,0.13,-461176.2621429536,0.13,-440464.9969536631,0.13,-422152.2890885834,0.13,-389683.7922213823,0.13,-360745.8713432103,0.13,-334446.8310639411,0.13,-310448.3202717781,0.13,-288552.5206643492,0.13,-268592.2809334787,0.13,-250405.9991484292
0.14,-1020333.935043042,0.14,-894689.4890596048,0.14,-765289.4429098078,0.14,-697688.0802818987,0.14,-653438.2563524361,0.14,-619841.037715115,0.14,-591754.6116004298,0.14,-566842.4368553014,0.14,-522553.8160862179,0.14,-483027.9261249733,0.14,-447114.7144301222,0.14,-414375.9531690046,0.14,-384547.050573155,0.14,-357397.5863885403,0.14,-332701.7479275443
0.15,-1367351.635877168,0.15,-1200204.772325497,0.15,-1027774.467154642,0.15,-937342.6452889836,0.15,-877838.4075771348,0.15,-832417.1742347943,0.15,-794276.3221777137,0.15,-760336.5769609063,0.15,-699838.432698953,0.15,-645783.6417487378,0.15,-596693.2807771573,0.15,-551999.5164410784,0.15,-511346.1375733676,0.15,-474412.9810373798,0.15,-440882.2859660392
0.16,-1831537.153440193,0.16,-1609232.812389819,0.16,-1379458.49724726,0.16,-1258418.695287076,0.16,-1178310.476100914,0.16,-1116806.164382866,0.16,-1064915.128718843,0.16,-1018585.402365174,0.16,-935786.1560383013,0.16,-861737.532980717,0.16,-794544.6983115402,0.16,-733470.8809146433,0.16,-678032.1535893215,0.16,-627779.0182527634,0.16,-582260.2202473864
0.17,-2451980.756566778,0.17,-2156388.48114971,0.17,-1850167.673452432,0.17,-1688030.397414343,0.17,-1580017.122281923,0.17,-1496557.988962541,0.17,-1425786.021724442,0.17,-1362379.749472919,0.17,-1248774.396370186,0.17,-1147116.269380065,0.17,-1054988.241286895,0.17,-971430.8910728265,0.17,-895778.0226726985,0.17,-827389.7312749752,0.17,-765617.4743809646
0.18,-3280521.173519078,0.18,-2887570.104606997,0.18,-2479376.380505701,0.18,-2261941.464458589,0.18,-2115999.887282987,0.18,-2002432.905342763,0.18,-1905603.114463585,0.18,-1818539.722662433,0.18,-1662176.266988631,0.18,-1522244.821937489,0.18,-1395676.017630282,0.18,-1281210.08584916,0.18,-1177911.863354792,0.18,-1084853.391480842,0.18,-1001088.146082567
0.19,-4385706.611711441,0.19,-3863436.888525777,0.19,-3319096.662650916,0.19,-3027047.794313264,0.19,-2829318.889333704,0.19,-2674229.709937273,0.19,-2541219.239926278,0.19,-2421186.970262168,0.19,-2205164.584549679,0.19,-2011972.458218522,0.19,-1837725.882888355,0.19,-1680742.254080489,0.19,-1539671.733511182,0.19,-1413136.320022728,0.19,-1299728.236170769
0.2,-5857849.799336142,0.2,-5163815.705699157,0.2,-4437464.456974966,0.2,-4044369.138301553,0.2,-3775531.86648103,0.2,-3562797.707360792,0.2,-3379208.765729227,0.2,-3212936.55239875,0.2,-2913241.892351073,0.2,-2645699.423104321,0.2,-2405386.52665516,0.2,-2189984.306322079,0.2,-1997470.369169057,0.2,-1825739.308968861,0.2,-1672651.658218213
0.21,-7815382.358131121,0.21,-6893182.939775058,0.21,-5923066.198226252,0.21,-5392501.141377172,0.21,-5025381.281931574,0.21,-4732031.050902757,0.21,-4477237.16615165,0.21,-4245712.624614513,0.21,-3828166.615795953,0.21,-3456687.391106668,0.21,-3124960.356474065,0.21,-2829624.984995381,0.21,-2567512.921316286,0.21,-2335307.135583093,0.21,-2129684.054249134
0.2200000000000001,-10412680.35914933,0.2200000000000001,-9187311.137256347,0.2200000000000001,-7889948.884247975,0.2200000000000001,-7171340.161361369,0.2200000000000001,-6667392.022561028,0.2200000000000001,-6260464.685341566,0.2200000000000001,-5904782.571071166,0.2200000000000001,-5580727.812604452,0.2200000000000001,-4996836.679060423,0.2200000000000001,-4480300.627136592,0.2200000000000001,-4022744.656620058,0.2200000000000001,-3618958.66318135,0.2200000000000001,-3263747.420817673,0.2200000000000001,-2951735.876263856,0.2200000000000001,-2677664.507689813
0.2300000000000001,-13849432.829442,0.2300000000000001,-12221041.00964223,0.2300000000000001,-10483071.34374897,0.2300000000000001,-9505667.213994794,0.2300000000000001,-8809839.489373781,0.2300000000000001,-8241858.057709381,0.2300000000000001,-7742574.795612928,0.2300000000000001,-7287017.778002649,0.2300000000000001,-6468673.036811705,0.2300000000000001,-5750932.991260403,0.2300000000000001,-5121957.278596794,0.2300000000000001,-4573066.444435682,0.2300000000000001,-4095419.903094098,0.2300000000000001,-3680135.206489907,0.2300000000000001,-3318800.505648346
