pch18_Id_W (ll=3.5e-07) X,pch18_Id_W (ll=3.5e-07) Y,pch18_Id_W (ll=4e-07) X,pch18_Id_W (ll=4e-07) Y,pch18_Id_W (ll=5e-07) X,pch18_Id_W (ll=5e-07) Y,pch18_Id_W (ll=6e-07) X,pch18_Id_W (ll=6e-07) Y,pch18_Id_W (ll=7e-07) X,pch18_Id_W (ll=7e-07) Y,pch18_Id_W (ll=8e-07) X,pch18_Id_W (ll=8e-07) Y,pch18_Id_W (ll=9e-07) X,pch18_Id_W (ll=9e-07) Y,pch18_Id_W (ll=1e-06) X,pch18_Id_W (ll=1e-06) Y,pch18_Id_W (ll=1.2e-06) X,pch18_Id_W (ll=1.2e-06) Y,pch18_Id_W (ll=1.4e-06) X,pch18_Id_W (ll=1.4e-06) Y,pch18_Id_W (ll=1.6e-06) X,pch18_Id_W (ll=1.6e-06) Y,pch18_Id_W (ll=1.8e-06) X,pch18_Id_W (ll=1.8e-06) Y,pch18_Id_W (ll=2e-06) X,pch18_Id_W (ll=2e-06) Y,pch18_Id_W (ll=2.2e-06) X,pch18_Id_W (ll=2.2e-06) Y,pch18_Id_W (ll=2.4e-06) X,pch18_Id_W (ll=2.4e-06) Y
0.09999999999999999,-1.650585853822267e-05,0.09999999999999999,-1.471673120795944e-05,0.09999999999999999,-1.260964709865794e-05,0.09999999999999999,-1.122056189571619e-05,0.09999999999999999,-1.014593169070528e-05,0.09999999999999999,-9.265685068103483e-06,0.09999999999999999,-8.525698877040279e-06,0.09999999999999999,-7.893705034956778e-06,0.09999999999999999,-6.870931405481164e-06,0.09999999999999999,-6.079698788945226e-06,0.09999999999999999,-5.450029051889287e-06,0.09999999999999999,-4.937412741050973e-06,0.09999999999999999,-4.512213543521493e-06,0.09999999999999999,-4.153963724522546e-06,0.09999999999999999,-3.848089984841954e-06
0.11,-2.175595840884745e-05,0.11,-1.942208355514287e-05,0.11,-1.666756829200477e-05,0.11,-1.484552723380775e-05,0.11,-1.343221777250178e-05,0.11,-1.227240930473304e-05,0.11,-1.129613225252619e-05,0.11,-1.046153367778871e-05,0.11,-9.10954233753691e-06,0.11,-8.062647813810977e-06,0.11,-7.228995633948142e-06,0.11,-6.550009323905416e-06,0.11,-5.986619634051879e-06,0.11,-5.511812101248558e-06,0.11,-5.106335326340703e-06
0.12,-2.866621721230582e-05,0.12,-2.562293840431946e-05,0.12,-2.202339105281606e-05,0.12,-1.963425624042486e-05,0.12,-1.777614076579891e-05,0.12,-1.624848999953925e-05,0.12,-1.496090671986403e-05,0.12,-1.385913480098982e-05,0.12,-1.207259488622718e-05,0.12,-1.068794383399671e-05,0.12,-9.584650587035647e-06,0.12,-8.685650315282538e-06,0.12,-7.939455135999902e-06,0.12,-7.310421745052638e-06,0.12,-6.773127673375962e-06
0.13,-3.775771929450812e-05,0.13,-3.379101907303807e-05,0.13,-2.908897236396188e-05,0.13,-2.595732177760714e-05,0.13,-2.351523475578673e-05,0.13,-2.150377043018772e-05,0.13,-1.98062156063501e-05,0.13,-1.835227200522289e-05,0.13,-1.599240559669551e-05,0.13,-1.416174961188474e-05,0.13,-1.270219449671237e-05,0.13,-1.151238442977011e-05,0.13,-1.052448817878473e-05,0.13,-9.69149372701507e-06,0.13,-8.97984143231451e-06
0.14,-4.971347876615551e-05,0.14,-4.454532308730478e-05,0.14,-3.840545578814518e-05,0.14,-3.430197284183399e-05,0.14,-3.109350466477285e-05,0.14,-2.844595133873967e-05,0.14,-2.620871986910091e-05,0.14,-2.42907731341761e-05,0.14,-2.117484052374866e-05,0.14,-1.875553414357861e-05,0.14,-1.682551658144203e-05,0.14,-1.52515284726436e-05,0.14,-1.394423843461165e-05,0.14,-1.284166206071871e-05,0.14,-1.189951471109619e-05
0.15,-6.542803698047646e-05,0.15,-5.869741948043279e-05,0.15,-5.068321602607005e-05,0.15,-4.530826193589508e-05,0.15,-4.109443270808449e-05,0.15,-3.761094803401482e-05,0.15,-3.466362440979872e-05,0.15,-3.213462603529519e-05,0.15,-2.80221528282935e-05,0.15,-2.482635243335759e-05,0.15,-2.227541968048809e-05,0.15,-2.019420865064994e-05,0.15,-1.846511530482809e-05,0.15,-1.700644550506027e-05,0.15,-1.575978539911545e-05
0.16,-8.607191358688083e-05,0.16,-7.731035718393521e-05,0.16,-6.685384036217363e-05,0.16,-5.981606723834798e-05,0.16,-5.428393839612741e-05,0.16,-4.970239932572581e-05,0.16,-4.58212151399483e-05,0.16,-4.248793474608139e-05,0.16,-3.706269346297283e-05,0.16,-3.284322389343936e-05,0.16,-2.947332232842594e-05,0.16,-2.672287017614697e-05,0.16,-2.443710076284663e-05,0.16,-2.250838611153618e-05,0.16,-2.085970778280468e-05
0.17,-0.0001131751964540426,0.17,-0.0001017751184949993,0.17,-8.813762521164794e-05,0.17,-7.8926151702081e-05,0.17,-7.166615631922443e-05,0.17,-6.56429561385025e-05,0.17,-6.053428141922482e-05,0.17,-5.614298470999094e-05,0.17,-4.898945524495279e-05,0.17,-4.342134462898568e-05,0.17,-3.897199331118462e-05,0.17,-3.533916382206264e-05,0.17,-3.231926368187546e-05,0.17,-2.977055866550079e-05,0.17,-2.759154618297306e-05
0.18,-0.0001487357117932604,0.18,-0.0001339096116385548,0.18,-0.0001161309971961113,0.18,-0.0001040792362068809,0.18,-9.455565186026813e-05,0.18,-8.664066697528319e-05,0.18,-7.991948115019882e-05,0.18,-7.41372496670132e-05,0.18,-6.470991594236226e-05,0.18,-5.736631355349186e-05,0.18,-5.149527081298124e-05,0.18,-4.669997599138216e-05,0.18,-4.271271838423208e-05,0.18,-3.934693426819472e-05,0.18,-3.646891841984184e-05
0.19,-0.0001953586438745087,0.19,-0.0001760865038667517,0.19,-0.0001529194120032424,0.19,-0.0001371580854161264,0.19,-0.0001246706165076034,0.19,-0.0001142746152283926,0.19,-0.0001054364728018984,0.19,-9.782687934895529e-05,0.19,-8.541025508403603e-05,0.19,-7.573108678286666e-05,0.19,-6.798919405644943e-05,0.19,-6.166379734588219e-05,0.19,-5.640302974518674e-05,0.19,-5.196143840720033e-05,0.19,-4.816299146890407e-05
0.2,-0.0002564362178842498,0.2,-0.0002313977899805403,0.2,-0.0002012226709732848,0.2,-0.0001806188371206909,0.2,-0.0001642526910547544,0.2,-0.0001506049656580011,0.2,-0.0001389895532629393,0.2,-0.0001289810472631923,0.2,-0.0001126377402863973,0.2,-9.988900535573158e-05,0.2,-8.968753512656097e-05,0.2,-8.135012803479583e-05,0.2,-7.441452368628407e-05,0.2,-6.855796163821447e-05,0.2,-6.354881671155126e-05
0.21,-0.0003363781604818929,0.21,-0.00030386590526622,0.21,-0.0002645812498457079,0.21,-0.0002376592665050052,0.21,-0.0002162203695304271,0.21,-0.0001983137533686113,0.21,-0.0001830576092099239,0.21,-0.0001699025161964524,0.21,-0.0001484059138518301,0.21,-0.0001316269683224887,0.21,-0.0001181953617834778,0.21,-0.0001072151937966441,0.21,-9.807948363528768e-05,0.21,-9.036405753977755e-05,0.21,-8.376433064610249e-05
0.2200000000000001,-0.0004409061409453448,0.2200000000000001,-0.0003987134506267978,0.2200000000000001,-0.0003475941696772729,0.2200000000000001,-0.0003124333716343733,0.2200000000000001,-0.0002843644397384174,0.2200000000000001,-0.0002608840953799714,0.2200000000000001,-0.0002408594073407693,0.2200000000000001,-0.0002235808887537233,0.2200000000000001,-0.0001953281506078967,0.2200000000000001,-0.0001732636372892698,0.2200000000000001,-0.0001555949789597015,0.2200000000000001,-0.0001411478871935198,0.2200000000000001,-0.0001291257912368356,0.2200000000000001,-0.0001189715889061932,0.2200000000000001,-0.0001102850301165798
0.2300000000000001,-0.0005774282812911287,0.2300000000000001,-0.0005227062048250287,0.2300000000000001,-0.0004562211492965882,0.2300000000000001,-0.0004103235807431623,0.2300000000000001,-0.0003735955983975113,0.2300000000000001,-0.0003428270003185777,0.2300000000000001,-0.0003165625918192266,0.2300000000000001,-0.0002938862270395631,0.2300000000000001,-0.0002567861791335707,0.2300000000000001,-0.0002277984360649148,0.2300000000000001,-0.0002045793648448504,0.2300000000000001,-0.0001855905306728844,0.2300000000000001,-0.0001697871831035499,0.2300000000000001,-0.0001564381401267753,0.2300000000000001,-0.0001450178409589406
0.2400000000000001,-0.0007555130812003806,0.2400000000000001,-0.0006845870243384984,0.2400000000000001,-0.0005981642221401692,0.2400000000000001,-0.0005382839697710099,0.2400000000000001,-0.0004902561912210103,0.2400000000000001,-0.0004499665460413362,0.2400000000000001,-0.0004155461760180869,0.2400000000000001,-0.0003858120008026514,0.2400000000000001,-0.0003371412146903421,0.2400000000000001,-0.0002990980072383681,0.2400000000000001,-0.0002686189970583256,0.2400000000000001,-0.0002436897458480018,0.2400000000000001,-0.0002229409099850428,0.2400000000000001,-0.0002054135688591831,0.2400000000000001,-0.0001904182049357287
0.2500000000000001,-0.0009874856539127737,0.2500000000000001,-0.0008956213950201895,0.2500000000000001,-0.0007833465915914696,0.2500000000000001,-0.0007052700507304624,0.2500000000000001,-0.0006425098816829468,0.2500000000000001,-0.0005897958009573814,0.2500000000000001,-0.0005447277258804122,0.2500000000000001,-0.0005057775760706417,0.2500000000000001,-0.0004419963692155664,0.2500000000000001,-0.0003921276384884462,0.2500000000000001,-0.000352168693152897,0.2500000000000001,-0.0003194833489656045,0.2500000000000001,-0.0002922781472579941,0.2500000000000001,-0.0002692965739963318,0.2500000000000001,-0.0002496348657317962
0.2600000000000001,-0.00128917285676715,0.2600000000000001,-0.001170278650903247,0.2600000000000001,-0.001024509088860352,0.2600000000000001,-0.0009227728015499544,0.2600000000000001,-0.0008408248055721037,0.2600000000000001,-0.0007719173477807968,0.2600000000000001,-0.0007129677060723255,0.2600000000000001,-0.000662001565295858,0.2600000000000001,-0.0005785198726375853,0.2600000000000001,-0.0005132358766387203,0.2600000000000001,-0.0004609216778577653,0.2600000000000001,-0.0004181296937610114,0.2600000000000001,-0.0003825129402785715,0.2600000000000001,-0.0003524265392365649,0.2600000000000001,-0.0003266871750903912
