pch18_gm_Id (ll=3.5e-07) X,pch18_gm_Id (ll=3.5e-07) Y,pch18_gm_Id (ll=4e-07) X,pch18_gm_Id (ll=4e-07) Y,pch18_gm_Id (ll=5e-07) X,pch18_gm_Id (ll=5e-07) Y,pch18_gm_Id (ll=6e-07) X,pch18_gm_Id (ll=6e-07) Y,pch18_gm_Id (ll=7e-07) X,pch18_gm_Id (ll=7e-07) Y,pch18_gm_Id (ll=8e-07) X,pch18_gm_Id (ll=8e-07) Y,pch18_gm_Id (ll=9e-07) X,pch18_gm_Id (ll=9e-07) Y,pch18_gm_Id (ll=1e-06) X,pch18_gm_Id (ll=1e-06) Y,pch18_gm_Id (ll=1.2e-06) X,pch18_gm_Id (ll=1.2e-06) Y,pch18_gm_Id (ll=1.4e-06) X,pch18_gm_Id (ll=1.4e-06) Y,pch18_gm_Id (ll=1.6e-06) X,pch18_gm_Id (ll=1.6e-06) Y,pch18_gm_Id (ll=1.8e-06) X,pch18_gm_Id (ll=1.8e-06) Y,pch18_gm_Id (ll=2e-06) X,pch18_gm_Id (ll=2e-06) Y,pch18_gm_Id (ll=2.2e-06) X,pch18_gm_Id (ll=2.2e-06) Y,pch18_gm_Id (ll=2.4e-06) X,pch18_gm_Id (ll=2.4e-06) Y
0,27.91262971390455,0,28.0429529741459,0,28.2090248368061,0,28.31042113270171,0,28.37896122245346,0,28.42850840965854,0,28.46604462459243,0,28.49548045430846,0,28.53868701092689,0,28.56887249802347,0,28.59114931596644,0,28.60826403533659,0,28.62182397263918,0,28.63283218956033,0,28.64194694746916
0.01,27.88772736801046,0.01,28.01777528235785,0.01,28.18340773806737,0.01,28.28447324458264,0.01,28.35275696126505,0.01,28.40210012491792,0.01,28.43947025713433,0.01,28.46876828947645,0.01,28.51175940922248,0.01,28.54178419924984,0.01,28.5639365805381,0.01,28.58095213852366,0.01,28.59443124035873,0.01,28.60537233232071,0.01,28.61443048861151
0.02,27.86243245986798,0.02,27.99218146439745,0.02,28.15733161410722,0.02,28.2580309589711,0.02,28.32602952428584,0.02,28.375145057852,0.02,28.41232948412843,0.02,28.44147318380603,0.02,28.48422258726609,0.02,28.51406676176501,0.02,28.53607910940459,0.02,28.55298297511516,0.02,28.5663709629774,0.02,28.57723635359543,0.02,28.58623064869737
0.03,27.83667890445446,0.03,27.96610174592115,0.03,28.13071991362503,0.03,28.23101209500977,0.03,28.29869212812805,0.03,28.34755263613211,0.03,28.38452857494804,0.03,28.41349873955202,0.03,28.45597589815774,0.03,28.48561631010057,0.03,28.50747049452589,0.03,28.52424809966686,0.03,28.53753302215339,0.03,28.54831273804155,0.03,28.55723472909998
0.04,27.810390035801,0.04,27.93945514741731,0.04,28.10348373088306,0.04,28.20332116110749,0.04,28.27064389621211,0.04,28.31921754980085,0.04,28.3559585240056,0.04,28.38473283015834,0.04,28.4269022430396,0.04,28.45631196735637,0.04,28.47798689543316,0.04,28.49462128761014,0.04,28.5077892357785,0.04,28.51847166887693,0.04,28.52731152845753
0.05,27.78347684208708,0.05,27.9121476114186,0.05,28.07551973549414,0.05,28.17484712155421,0.05,28.24176749263883,0.05,28.29001727633047,0.05,28.32649248543154,0.05,28.35504495884648,0.05,28.39686530891114,0.05,28.42601300163104,0.05,28.44748411421497,0.05,28.46395555291534,0.05,28.47699032868192,0.05,28.48756195943907,0.05,28.49630824113014
0.06,27.75583591137366,0.06,27.88406982311843,0.06,28.04670776450293,0.06,28.1454608002251,0.06,28.21192637301776,0.06,28.25980920639029,0.06,28.29598279514583,0.06,28.32428319351049,0.06,28.36570636538467,0.06,28.39455551845271,0.06,28.41579420650028,0.06,28.4320796938076,0.06,28.44496242492237,0.06,28.45540750098437,0.06,28.46404686739569
0.07000000000000001,27.7273470453517,0.07000000000000001,27.85509467978961,0.07000000000000001,28.01690802870923,0.07000000000000001,28.11501187072263,0.07000000000000001,28.18096159969442,0.07000000000000001,28.22842731634457,0.07000000000000001,28.26425752526117,0.07000000000000001,28.29227062201162,0.07000000000000001,28.33324056328283,0.07000000000000001,28.36174864130488,0.07000000000000001,28.38272156997782,0.07000000000000001,28.39879430765886,0.07000000000000001,28.41150300249064,0.07000000000000001,28.4218031673087,0.07000000000000001,28.43032007578132
0.08,27.69787049427186,0.08,27.82507436028354,0.08,27.98595788132499,0.08,28.08332537878144,0.08,28.14868816562887,0.08,28.1956783306506,0.08,28.23111651322152,0.08,28.25880126974016,0.08,28.29925267625029,0.08,28.32737012105948,0.08,28.34803845106476,0.08,28.3638672155766,0.08,28.37637625089952,0.08,28.38651011666231,0.08,28.39488645801292
0.09,27.66724376244269,0.09,27.7938369424393,0.09,27.95366809422378,0.09,28.05019774055987,0.09,28.11489076962661,0.09,28.16133731636372,0.09,28.19632680767327,0.09,28.22363542138766,0.09,28.26349222751842,0.09,28.29116131680102,0.09,28.3114798126095,0.09,28.32702823997482,0.09,28.33930777532689,0.09,28.34925043497757,0.09,28.35746512093448
0.09999999999999999,27.63527793085295,0.09999999999999999,27.76118251396346,0.09999999999999999,27.91981858594614,0.09999999999999999,28.01539216049211,0.09999999999999999,28.0793189867205,0.09999999999999999,28.12514265403834,0.09999999999999999,28.15961747601694,0.09999999999999999,28.1864942926247,0.09999999999999999,28.22566794903595,0.09999999999999999,28.25282149669665,0.09999999999999999,28.27273751258105,0.09999999999999999,28.28796328622496,0.09999999999999999,28.29997859942937,0.09999999999999999,28.30970107342361,0.09999999999999999,28.31772956919732
0.11,27.60175344224115,0.11,27.72687872210737,0.11,27.88415354729063,0.11,27.97863341583469,0.11,28.04168178262716,0.11,28.0867903359153,0.11,28.12067372652053,0.11,28.1470540064902,0.11,28.18544153129507,0.11,28.21200142028209,0.11,28.23145375772102,0.11,28.2463076946068,0.11,28.25801843497167,0.11,28.267487050111,0.11,28.27530085001301
0.12,27.56641529526272,0.12,27.69065571034438,0.12,27.84637591615776,0.12,27.93960196361982,0.12,28.00164133222667,0.12,28.04592755549769,0.12,28.07913031301041,0.12,28.10493884612333,0.12,28.14242064184615,0.12,28.16829618547581,0.12,28.18721381992984,0.12,28.20163885409317,0.12,28.21299821302062,0.12,28.22217391345703,0.12,28.22973995987518
0.13,27.52896759958076,0.13,27.65220039773632,0.13,27.80614116518106,0.13,27.89792734154225,0.13,27.95880612135737,0.13,28.00214557503998,0.13,28.03456421528131,0.13,28.0597137829855,0.13,28.09615122196157,0.13,28.12123735822781,0.13,28.139538040281,0.13,28.15346810871446,0.13,28.16442191240519,0.13,28.17325950715276,0.13,28.18053955686121
0.14,27.48906745445395,0.14,27.61115007077096,0.14,27.76305038600756,0.14,27.85318086022158,0.14,27.9127233419995,0.14,27.95497189251505,0.14,27.98648662709929,0.14,28.01087632165693,0.14,28.04610911816567,0.14,28.07028445415238,0.14,28.08787320036927,0.14,28.10123204481849,0.14,28.1117177810055,0.14,28.12016513847986,0.14,28.12711508557753
0.15,27.44631813195971,0.15,27.567085280687,0.15,27.71664268597549,0.15,27.80486762376357,0.15,27.8628706370042,0.15,27.9038617813599,0.15,27.93433434029582,0.15,27.95784776316438,0.15,27.9916911731546,0.15,28.01481591472116,0.15,28.03158341825066,0.15,28.04428332862081,0.15,28.0542291294481,0.15,28.06222633819111,0.15,28.06879551039028
0.16,27.40026157522945,0.16,27.51952207489591,0.16,27.66638696016706,0.16,27.7524179728618,0.16,27.80864731643508,0.16,27.84818934955343,0.16,27.87746069296493,0.16,27.89996407368873,0.16,27.93220599426579,0.16,27.95411982097039,0.16,27.96994083196138,0.16,27.981881373501,0.16,27.99120499041201,0.16,27.99868351679924,0.16,28.00481397174525
0.17,27.35037026549069,0.17,27.4679036429338,0.17,27.61167316883725,0.17,27.69517852462316,0.17,27.74936525840254,0.17,27.78723836450446,0.17,27.8151263574014,0.17,27.83646665968618,0.17,27.86686474234124,0.17,27.88738472036802,0.17,27.90211647255737,0.17,27.91318326048084,0.17,27.92179108484195,0.17,27.92867297362637,0.17,27.93429883477697
0.18,27.29603857345084,0.18,27.41159152989608,0.18,27.55180334189373,0.18,27.63240309091316,0.18,27.68423982798602,0.18,27.7201932217492,0.18,27.74649038390946,0.18,27.76649349846964,0.18,27.79477244367388,0.18,27.81369111113306,0.18,27.82717190403729,0.18,27.83723551609179,0.18,27.84502172145766,0.18,27.85121890360615,0.18,27.85626579101584
0.19,27.23657379519414,0.19,27.34985666824241,0.19,27.48598265317132,0.19,27.56324389670007,0.19,27.6123813023784,0.19,27.64613060189162,0.19,27.67060209266566,0.19,27.68907125722269,0.19,27.71492052362315,0.19,27.7320043327651,0.19,27.74405241833027,0.19,27.75296756750988,0.19,27.75981347542276,0.19,27.76522726936123,0.19,27.7696118990135
0.2,27.17118718485913,0.2,27.2818706065826,0.2,27.41331106122048,0.2,27.48674369396983,0.2,27.53278747971179,0.2,27.5640125611201,0.2,27.58639461560411,0.2,27.60310925010413,0.2,27.62618148690365,0.2,27.64116984420825,0.2,27.65158281035296,0.2,27.65918793450372,0.2,27.66496173368735,0.2,27.66948264912938,0.2,27.67311269377091
0.21,27.09898543958146,0.21,27.20669747430914,0.21,27.33277620064625,0.21,27.4018295729779,0.21,27.44433836801524,0.21,27.47268202814921,0.21,27.49268112337677,0.21,27.50739631971141,0.21,27.52730690939582,0.21,27.53991211129263,0.21,27.54846699731413,0.21,27.55458445518637,0.21,27.55914142993873,0.21,27.56264940441064,0.21,27.56542372603838
0.2200000000000001,27.01896326768293,0.2200000000000001,27.12328741281694,0.2200000000000001,27.24324842297173,0.2200000000000001,27.30730950009142,0.2200000000000001,27.34579408358082,0.2200000000000001,27.37086191399149,0.2200000000000001,27.38815500388548,0.2200000000000001,27.40060195680493,0.2200000000000001,27.41693012384696,0.2200000000000001,27.42683853146197,0.2200000000000001,27.43329294188547,0.2200000000000001,27.43773002778375,0.2200000000000001,27.44091346795222,0.2200000000000001,27.44327867856841,0.2200000000000001,27.44508805223224
0.2300000000000001,26.92999787501821,0.2300000000000001,27.03047241970024,0.2300000000000001,27.14347911215695,0.2300000000000001,27.2018728352031,0.2300000000000001,27.23579730146979,0.2300000000000001,27.25715923991261,0.2300000000000001,27.27139544134223,0.2300000000000001,27.28128313749768,0.2300000000000001,27.29357511350785,0.2300000000000001,27.30044992461676,0.2300000000000001,27.30454441220244,0.2300000000000001,27.30709539976391,0.2300000000000001,27.30873835996773,0.2300000000000001,27.30982274667643,0.2300000000000001,27.3105511881629
0.2400000000000001,26.83084642403847,0.2400000000000001,26.9269657722449,0.2400000000000001,27.03210360384565,0.2400000000000001,27.08409625491704,0.2400000000000001,27.11288173609349,0.2400000000000001,27.13007578362079,0.2400000000000001,27.14087989919254,0.2400000000000001,27.14789837272999,0.2400000000000001,27.15567307260157,0.2400000000000001,27.15915900257458,0.2400000000000001,27.16062094287208,0.2400000000000001,27.16107032184494,0.2400000000000001,27.16099835402836,0.2400000000000001,27.16065795047238,0.2400000000000001,27.16018472384691
0.2500000000000001,26.72014772866683,0.2500000000000001,26.81136638326566,0.2500000000000001,26.9076501609026,0.2500000000000001,26.95245655333037,0.2500000000000001,26.9754880933118,0.2500000000000001,26.98802662680508,0.2500000000000001,26.99500481735064,0.2500000000000001,26.99883020158867,0.2500000000000001,27.00158770559013,0.2500000000000001,27.00131773953163,0.2500000000000001,26.99986678473648,0.2500000000000001,26.99799373522757,0.2500000000000001,26.99602861318166,0.2500000000000001,26.99411668814359,0.2500000000000001,26.99231898656477
