pch18_Cdd_Cgg (ll=4e-07) X,pch18_Cdd_Cgg (ll=4e-07) Y,pch18_Cdd_Cgg (ll=5e-07) X,pch18_Cdd_Cgg (ll=5e-07) Y,pch18_Cdd_Cgg (ll=6e-07) X,pch18_Cdd_Cgg (ll=6e-07) Y,pch18_Cdd_Cgg (ll=7e-07) X,pch18_Cdd_Cgg (ll=7e-07) Y,pch18_Cdd_Cgg (ll=8e-07) X,pch18_Cdd_Cgg (ll=8e-07) Y,pch18_Cdd_Cgg (ll=9e-07) X,pch18_Cdd_Cgg (ll=9e-07) Y,pch18_Cdd_Cgg (ll=1e-06) X,pch18_Cdd_Cgg (ll=1e-06) Y,pch18_Cdd_Cgg (ll=1.2e-06) X,pch18_Cdd_Cgg (ll=1.2e-06) Y,pch18_Cdd_Cgg (ll=1.4e-06) X,pch18_Cdd_Cgg (ll=1.4e-06) Y,pch18_Cdd_Cgg (ll=1.6e-06) X,pch18_Cdd_Cgg (ll=1.6e-06) Y,pch18_Cdd_Cgg (ll=1.8e-06) X,pch18_Cdd_Cgg (ll=1.8e-06) Y,pch18_Cdd_Cgg (ll=2e-06) X,pch18_Cdd_Cgg (ll=2e-06) Y,pch18_Cdd_Cgg (ll=2.2e-06) X,pch18_Cdd_Cgg (ll=2.2e-06) Y,pch18_Cdd_Cgg (ll=2.4e-06) X,pch18_Cdd_Cgg (ll=2.4e-06) Y,pch18_Cdd_Cgg (ll=3.5e-07) X,pch18_Cdd_Cgg (ll=3.5e-07) Y
0.09999999999999999,0.2036051525080273,0.09999999999999999,0.1729081259660318,0.09999999999999999,0.1502845199885583,0.09999999999999999,0.1329091753338471,0.09999999999999999,0.1191416518097443,0.09999999999999999,0.1079621976481356,0.09999999999999999,0.09870289003742606,0.09999999999999999,0.08425454854378817,0.09999999999999999,0.07349822310095479,0.09999999999999999,0.06517852158414367,0.09999999999999999,0.05855146298334493,0.09999999999999999,0.05314805239613059,0.09999999999999999,0.04865794908190172,0.09999999999999999,0.0448675965585932,0.09999999999999999,0.2234823081130167
0.11,0.2041199780560732,0.11,0.1734084315842677,0.11,0.1507587749327697,0.11,0.1333549472854026,0.11,0.1195597693005966,0.11,0.1083546135890844,0.11,0.09907184647345305,0.11,0.08458301601584077,0.11,0.07379350990858301,0.11,0.06544638362343003,0.11,0.05879638854011829,0.11,0.05337356369584063,0.11,0.0488668419466938,0.11,0.04506211838184791,0.11,0.2239930819849202
0.12,0.2046297602210371,0.12,0.1739025418440248,0.12,0.1512263851689437,0.12,0.1337939767197543,0.12,0.1199712248119554,0.12,0.1087405378103082,0.12,0.09943452423408511,0.12,0.08490566886519996,0.12,0.07408343247527704,0.12,0.06570929146925235,0.12,0.05903672507025189,0.12,0.053594808969559,0.12,0.04907175439712724,0.12,0.04525291299160727,0.12,0.2244998515839636
0.13,0.2051330838484307,0.13,0.1743891688898584,0.13,0.1516861475438378,0.13,0.1342251300794753,0.13,0.1203749465373452,0.13,0.1091189546673669,0.13,0.09978995914688849,0.13,0.08522163373134672,0.13,0.07436719450391122,0.13,0.06596651460431427,0.13,0.05927179860113795,0.13,0.05381116321694648,0.13,0.04927210416392287,0.13,0.04543943567021653,0.13,0.2250010927392372
0.14,0.20562814212247,0.14,0.1748666613805162,0.14,0.1521365162570797,0.14,0.1346469494859907,0.14,0.1207695552117516,0.14,0.1094885566910996,0.14,0.1001369096943881,0.14,0.08552978565370141,0.14,0.07464377004953415,0.14,0.06621711163953081,0.14,0.05950074044456913,0.14,0.05402182072295935,0.14,0.04946714048488272,0.14,0.0456209839513292,0.14,0.2254948671908408
0.15,0.20611263992886,0.15,0.1753329107674494,0.15,0.1525755121995847,0.15,0.135057565507367,0.15,0.12115328048791,0.15,0.1098476645787974,0.15,0.10047378051825,0.15,0.0858286780943118,0.15,0.07491183929101324,0.15,0.06645987110012662,0.15,0.05972243235223961,0.15,0.05422574403289684,0.15,0.0496558964353252,0.15,0.04579665291435134,0.15,0.2259787238139855
0.16,0.2065836729644425,0.16,0.1757852343927281,0.16,0.1530006100919154,0.16,0.1354545887118274,0.16,0.1215238570750238,0.16,0.1101941278926427,0.16,0.1007985275289539,0.16,0.08611645619966289,0.16,0.07516970895912146,0.16,0.06669323809211371,0.16,0.059935438610993,0.16,0.05442160078881947,0.16,0.04983712992662733,0.16,0.04596527985766453,0.16,0.2264495748499646
0.17,0.2070375776462255,0.17,0.1762202305594473,0.17,0.1534085987600455,0.17,0.1358349755601662,0.17,0.1218783964154622,0.17,0.1105252024577454,0.17,0.1011085408187324,0.17,0.08639074986895055,0.17,0.07541521430368971,0.17,0.06691522399975197,0.17,0.06013792245715188,0.17,0.0546076860032843,0.17,0.05000925111913682,0.17,0.0461253762455768,0.17,0.2269035422201168
0.18,0.2074697467081296,0.18,0.1766336004967169,0.18,0.1537954096628951,0.18,0.1361948639960114,0.18,0.1222132295136815,0.18,0.1108374003220143,0.18,0.1014005014731789,0.18,0.08664854313805401,0.18,0.07564559945603247,0.18,0.0671232963606674,0.18,0.06032754420129448,0.18,0.05478182736970548,0.18,0.05017023402712947,0.18,0.04627504486106476,0.18,0.2273357689479412
0.19,0.2078744058075198,0.19,0.1770199324853621,0.19,0.1541559091347191,0.19,0.1365293744682164,0.19,0.1225237169347812,0.19,0.1111263085664446,0.19,0.1016702088206881,0.19,0.08688601685186716,0.19,0.07585737351129379,0.19,0.06731424652965128,0.19,0.06050133890975709,0.19,0.0549412716511567,0.19,0.05031751052208331,0.19,0.04641188051043841,0.19,0.2277401913012166
0.2,0.2082443478809748,0.2,0.1773724447138974,0.2,0.1544836511097835,0.2,0.1368323734448171,0.2,0.1228040233316427,0.2,0.1113863746027743,0.2,0.1019123760048734,0.2,0.08709836291812736,0.2,0.07604614093351807,0.2,0.06748403397017196,0.2,0.06065557266436951,0.2,0.05508255131212954,0.2,0.05044784601248409,0.2,0.04653285364978128,0.2,0.2281092688823236
0.21,0.2085706249172097,0.21,0.1776826862286368,0.21,0.1547705898883633,0.21,0.1370961992790481,0.21,0.1230468566556838,0.21,0.11161065836925,0.21,0.1021203945023151,0.21,0.08727957107202491,0.21,0.07620640740292853,0.21,0.06762760840521759,0.21,0.06078557869294592,0.21,0.05520133271312876,0.21,0.05055719812542159,0.21,0.0466341782494423,0.21,0.2284336730681904
0.2200000000000001,0.2088422019246811,0.2200000000000001,0.1779402003122027,0.2200000000000001,0.1550067574682458,0.2200000000000001,0.1373113552421391,0.2200000000000001,0.1232431771186544,0.2200000000000001,0.11179055667712,0.2200000000000001,0.1022860729581863,0.2200000000000001,0.08742219361139132,0.2200000000000001,0.0763313665175991,0.2200000000000001,0.06773871511611142,0.2200000000000001,0.06088557849584454,0.2200000000000001,0.05529225081172933,0.2200000000000001,0.05064056314608725,0.2200000000000001,0.04671116846656238,0.2200000000000001,0.2287019395865346
0.2300000000000001,0.2090455859254763,0.2300000000000001,0.1781321625671626,0.2300000000000001,0.1551799179016921,0.2300000000000001,0.137466182426878,0.2300000000000001,0.1233818887597739,0.2300000000000001,0.1119155126007764,0.2300000000000001,0.1023993631765334,0.2300000000000001,0.08751710063041344,0.2300000000000001,0.0764126794206569,0.2300000000000001,0.06780969494252435,0.2300000000000001,0.06094849899032236,0.2300000000000001,0.0553487408715788,0.2300000000000001,0.05069182021994795,0.2300000000000001,0.04675809366264876,0.2300000000000001,0.2289000993343202
0.2400000000000001,0.2091644545215048,0.2400000000000001,0.1782430176670868,0.2400000000000001,0.1552752228125168,0.2400000000000001,0.1375465367923565,0.2400000000000001,0.1234495378401171,0.2400000000000001,0.1119727339105062,0.2400000000000001,0.1024480969086853,0.2400000000000001,0.08755324844205709,0.2400000000000001,0.07644026894402288,0.2400000000000001,0.06783129945180791,0.2400000000000001,0.06096580505363625,0.2400000000000001,0.05536288553528695,0.2400000000000001,0.05070359072027446,0.2400000000000001,0.0467680482884461,0.2400000000000001,0.2290113134327436
0.2500000000000001,0.2091793243418729,0.2500000000000001,0.1782541546292498,0.2500000000000001,0.1552749080691164,0.2500000000000001,0.1375355102664066,0.2500000000000001,0.1234300575843092,0.2500000000000001,0.1119469594165574,0.2500000000000001,0.1024177714827689,0.2500000000000001,0.08751749730632115,0.2500000000000001,0.07640216235067365,0.2500000000000001,0.06779255337605512,0.2500000000000001,0.06092737769937499,0.2500000000000001,0.05532530577464326,0.2500000000000001,0.0506671397184403,0.2500000000000001,0.04673286213522374,0.2500000000000001,0.2290155542293221
0.2600000000000001,0.2090673190914791,0.2600000000000001,0.1781436802379084,0.2600000000000001,0.1551580912870957,0.2600000000000001,0.1374132551035723,0.2600000000000001,0.1233046175003519,0.2600000000000001,0.1118203301453997,0.2600000000000001,0.1022914396769721,0.2600000000000001,0.08739453057025275,0.2600000000000001,0.07628443147958903,0.2600000000000001,0.06768071000610718,0.2600000000000001,0.06082148071372714,0.2600000000000001,0.05522513594472776,0.2600000000000001,0.05057235743237535,0.2600000000000001,0.04664308670357214,0.2600000000000001,0.2288893929282096
0.2700000000000001,0.2088021181574348,0.2700000000000001,0.1778863721136987,0.2700000000000001,0.1549007514362207,0.2700000000000001,0.1371569916055096,0.2700000000000001,0.1230516555313813,0.2700000000000001,0.1115724413375092,0.2700000000000001,0.1020497773519317,0.2700000000000001,0.08716694364435057,0.2700000000000001,0.07607129384411145,0.2700000000000001,0.06748135862946472,0.2700000000000001,0.06063487082356915,0.2700000000000001,0.05505013442595629,0.2700000000000001,0.05040786893475672,0.2700000000000001,0.04648810310835863,0.2700000000000001,0.2286059747493029
0.2800000000000001,0.2083541858506048,0.2800000000000001,0.1774539128507851,0.2800000000000001,0.1544759911329744,0.2800000000000001,0.1367412974769865,0.2800000000000001,0.1226471881622161,0.2800000000000001,0.1111806668316236,0.2800000000000001,0.1016714167131483,0.2800000000000001,0.08681558346062762,0.2800000000000001,0.07574544872398768,0.2800000000000001,0.06717875219703953,0.2800000000000001,0.06035311444286627,0.2800000000000001,0.05478698839774057,0.2800000000000001,0.05016132670909761,0.2800000000000001,0.04625640261861714,0.2800000000000001,0.2281352799329319
0.2900000000000001,0.2076913918366873,0.2900000000000001,0.1768155177893525,0.2900000000000001,0.1538546920995137,0.2900000000000001,0.1361387852434525,0.2900000000000001,0.1220654999975732,0.2900000000000001,0.1106208521939967,0.2900000000000001,0.1011336364732105,0.2900000000000001,0.08632022026198792,0.2900000000000001,0.07528872194791321,0.2900000000000001,0.06675642198033621,0.2900000000000001,0.05996117187035829,0.2900000000000001,0.05442186859541017,0.2900000000000001,0.04981993759502103,0.2900000000000001,0.04593608764598206,0.2900000000000001,0.2274447770849693
0.3000000000000001,0.2067801262832834,0.3000000000000001,0.1759390618991416,0.3000000000000001,0.1530066650041478,0.3000000000000001,0.1353212624675941,0.3000000000000001,0.1212803005108283,0.3000000000000001,0.109868457419095,0.3000000000000001,0.1004134833362442,0.3000000000000001,0.08566061505916697,0.3000000000000001,0.07468307378915903,0.3000000000000001,0.06619812650862834,0.3000000000000001,0.05944429048324638,0.3000000000000001,0.05394127092034585,0.3000000000000001,0.04937125714510153,0.3000000000000001,0.04551562300134186,0.3000000000000001,0.2265005658836556
0.3100000000000001,0.2055869790968275,0.3100000000000001,0.1747927754895756,0.3100000000000001,0.1519023558849465,0.3100000000000001,0.1342614275858071,0.3100000000000001,0.1202663916241435,0.3100000000000001,0.1089001846268315,0.3100000000000001,0.09948935308467703,0.3100000000000001,0.08481799978137666,0.3100000000000001,0.07391197898283056,0.3100000000000001,0.06548913809551904,0.3100000000000001,0.05878920616675191,0.3100000000000001,0.05333314122157559,0.3100000000000001,0.04880424560592584,0.3100000000000001,0.0449848301134183,0.3100000000000001,0.225269070315958
0.3200000000000001,0.2040809842724177,0.3200000000000001,0.1733475062533823,0.3200000000000001,0.1505150951257218,0.3200000000000001,0.1329350752675323,0.3200000000000001,0.119001809566913,0.3200000000000001,0.1076960457710587,0.3200000000000001,0.09834297973207481,0.3200000000000001,0.08377690995396887,0.3200000000000001,0.07296211422874722,0.3200000000000001,0.06461780043710555,0.3200000000000001,0.05798558616533385,0.3200000000000001,0.0525882171001224,0.3200000000000001,0.04811052061414292,0.3200000000000001,0.04433606087032713,0.3200000000000001,0.2237192755275768
0.3300000000000001,0.2022363280387372,0.3300000000000001,0.1715794367013871,0.3300000000000001,0.14882376284642,0.3300000000000001,0.1313236719998199,0.3300000000000001,0.1174702920812684,0.3300000000000001,0.1062417150743936,0.3300000000000001,0.09696167374282347,0.3300000000000001,0.08252720897302791,0.3300000000000001,0.07182519473041088,0.3300000000000001,0.06357720354253676,0.3300000000000001,0.05702756534878722,0.3300000000000001,0.05170144482424725,0.3300000000000001,0.04728567079644467,0.3300000000000001,0.04356542119156258,0.3300000000000001,0.2218254023932483
0.3400000000000001,0.2000352953247904,0.3400000000000001,0.1694730149341935,0.3400000000000001,0.1468156122969901,0.3400000000000001,0.129417032759517,0.3400000000000001,0.1156637966443766,0.3400000000000001,0.1045308909231894,0.3400000000000001,0.09534053611235695,0.3400000000000001,0.08106604019721586,0.3400000000000001,0.07049970871995682,0.3400000000000001,0.06236673854992999,0.3400000000000001,0.05591515180032432,0.3400000000000001,0.05067325988153558,0.3400000000000001,0.04633043050424259,0.3400000000000001,0.04267385532056994,0.3400000000000001,0.2195697965320426
