nch18_gm_Id (ll=3.5e-07) X,nch18_gm_Id (ll=3.5e-07) Y,nch18_gm_Id (ll=4e-07) X,nch18_gm_Id (ll=4e-07) Y,nch18_gm_Id (ll=5e-07) X,nch18_gm_Id (ll=5e-07) Y,nch18_gm_Id (ll=6e-07) X,nch18_gm_Id (ll=6e-07) Y,nch18_gm_Id (ll=7e-07) X,nch18_gm_Id (ll=7e-07) Y,nch18_gm_Id (ll=8e-07) X,nch18_gm_Id (ll=8e-07) Y,nch18_gm_Id (ll=9e-07) X,nch18_gm_Id (ll=9e-07) Y,nch18_gm_Id (ll=1e-06) X,nch18_gm_Id (ll=1e-06) Y,nch18_gm_Id (ll=1.2e-06) X,nch18_gm_Id (ll=1.2e-06) Y,nch18_gm_Id (ll=1.4e-06) X,nch18_gm_Id (ll=1.4e-06) Y,nch18_gm_Id (ll=1.6e-06) X,nch18_gm_Id (ll=1.6e-06) Y,nch18_gm_Id (ll=1.8e-06) X,nch18_gm_Id (ll=1.8e-06) Y,nch18_gm_Id (ll=2e-06) X,nch18_gm_Id (ll=2e-06) Y,nch18_gm_Id (ll=2.2e-06) X,nch18_gm_Id (ll=2.2e-06) Y,nch18_gm_Id (ll=2.4e-06) X,nch18_gm_Id (ll=2.4e-06) Y
0,29.85566408486319,0,30.00960896336263,0,30.23320307851158,0,30.38802523182394,0,30.50165441460967,0,30.58861381111741,0,30.65730455850425,0,30.71293124192115,0,30.79750192226842,0,30.85873909177421,0,30.9051164788282,0,30.94145071800762,0,30.9706814878211,0,30.99470418089921,0,31.01479552940637
0.01,29.84392600429046,0.01,29.99774017228953,0.01,30.22107009498794,0.01,30.37564699761149,0.01,30.48905504005063,0.01,30.57581616107659,0.01,30.64432900109682,0.01,30.69979560231989,0.01,30.78409072553182,0.01,30.84509994513416,0.01,30.8912861506706,0.01,30.92745804965328,0.01,30.95654944701983,0.01,30.98045131469224,0.01,31.00043700548598
0.02,29.83191373389871,0.02,29.98558987026289,0.02,30.20863446063717,0.02,30.36294280748185,0.02,30.47610691523512,0.02,30.56264829560839,0.02,30.63096331488234,0.02,30.68625147403527,0.02,30.7702386137277,0.02,30.83099239370359,0.02,30.87696396535927,0.02,30.91295335784336,0.02,30.9418879018769,0.02,30.965653673701,0.02,30.98552027085123
0.03,29.81958315844434,0.03,29.97311324552517,0.03,30.19584871737833,0.03,30.34986202688606,0.03,30.46275618908196,0.03,30.54905327265621,0.03,30.61714765021452,0.03,30.67223629877389,0.03,30.75587819028484,0.03,30.81634489306427,0.03,30.862074810912,0.03,30.89785844380809,0.03,30.92661596475608,0.03,30.95022801211993,0.03,30.96995999805476
0.04,29.80688284394852,0.04,29.9602580813818,0.04,30.1826576012125,0.04,30.33634570884404,0.04,30.44894017405405,0.04,30.53496480348409,0.04,30.60281232636034,0.04,30.65767723271191,0.04,30.74093095509007,0.04,30.80107408863957,0.04,30.84653115411654,0.04,30.88208215667291,0.04,30.91063933202366,0.04,30.93407726029197,0.04,30.95365667504563
0.05,29.79375276485482,0.05,29.94696346629526,0.05,30.16899667869625,0.05,30.3223251383413,0.05,30.43458579533274,0.05,30.52030560906653,0.05,30.58787609970081,0.05,30.64248933190674,0.05,30.72530534074897,0.05,30.78508272306316,0.05,30.83023083644512,0.05,30.86551809257948,0.05,30.89384789862568,0.05,30.91708806499809,0.05,30.93649407978759
0.06,29.78012280637754,0.06,29.93315827494618,0.06,30.15479073967092,0.06,30.30772011546492,0.06,30.41960776097099,0.06,30.50498548031907,0.06,30.57224411964163,0.06,30.62657341036119,0.06,30.70889439463652,0.06,30.76825716635337,0.06,30.81305447306827,0.06,30.8480418799207,0.06,30.87611294405256,0.06,30.89912788827043,0.06,30.91833630209325
0.07000000000000001,29.76591100358263,0.07000000000000001,29.91875938085926,0.07000000000000001,30.13995190402081,0.07000000000000001,30.292436931973,0.07000000000000001,30.40390640468895,0.07000000000000001,30.48889899104222,0.07000000000000001,30.5558055185048,0.07000000000000001,30.60981351466905,0.07000000000000001,30.69157304656473,0.07000000000000001,30.75046450535015,0.07000000000000001,30.79486238863812,0.07000000000000001,30.82950798203449,0.07000000000000001,30.85728381906414,0.07000000000000001,30.88004159242646,0.07000000000000001,30.89902423893254
0.08,29.75102147294816,0.08,29.90366955516943,0.08,30.12437739387483,0.08,30.2763659892437,0.08,30.38736514594103,0.08,30.47192280510502,0.08,30.53843057413372,0.08,30.59207395143275,0.08,30.67319489395458,0.08,30.7315491208156,0.08,30.77549101540928,0.08,30.8097459406014,0.08,30.8371840544967,0.08,30.8596474310369,0.08,30.87837148156596
0.09,29.73534198585111,0.09,29.8877749996713,0.09,30.10794691579675,0.09,30.25937899835409,0.09,30.36984750439105,0.09,30.45391251173701,0.09,30.51996737613996,0.09,30.57319579578849,0.09,30.65358842850764,0.09,30.71132867280853,0.09,30.75474867163888,0.09,30.78855597556452,0.09,30.81560680627281,0.09,30.83773235857042,0.09,30.8561595061201
