pch18_Cgd_Cgg (ll=3.5e-07) X,pch18_Cgd_Cgg (ll=3.5e-07) Y,pch18_Cgd_Cgg (ll=4e-07) X,pch18_Cgd_Cgg (ll=4e-07) Y,pch18_Cgd_Cgg (ll=5e-07) X,pch18_Cgd_Cgg (ll=5e-07) Y,pch18_Cgd_Cgg (ll=6e-07) X,pch18_Cgd_Cgg (ll=6e-07) Y,pch18_Cgd_Cgg (ll=7e-07) X,pch18_Cgd_Cgg (ll=7e-07) Y,pch18_Cgd_Cgg (ll=8e-07) X,pch18_Cgd_Cgg (ll=8e-07) Y,pch18_Cgd_Cgg (ll=9e-07) X,pch18_Cgd_Cgg (ll=9e-07) Y,pch18_Cgd_Cgg (ll=1e-06) X,pch18_Cgd_Cgg (ll=1e-06) Y,pch18_Cgd_Cgg (ll=1.2e-06) X,pch18_Cgd_Cgg (ll=1.2e-06) Y,pch18_Cgd_Cgg (ll=1.4e-06) X,pch18_Cgd_Cgg (ll=1.4e-06) Y,pch18_Cgd_Cgg (ll=1.6e-06) X,pch18_Cgd_Cgg (ll=1.6e-06) Y,pch18_Cgd_Cgg (ll=1.8e-06) X,pch18_Cgd_Cgg (ll=1.8e-06) Y,pch18_Cgd_Cgg (ll=2e-06) X,pch18_Cgd_Cgg (ll=2e-06) Y,pch18_Cgd_Cgg (ll=2.2e-06) X,pch18_Cgd_Cgg (ll=2.2e-06) Y,pch18_Cgd_Cgg (ll=2.4e-06) X,pch18_Cgd_Cgg (ll=2.4e-06) Y
0.09999999999999999,-0.2234812871261062,0.09999999999999999,-0.203604369833335,0.09999999999999999,-0.1729074203386278,0.09999999999999999,-0.1502837848248549,0.09999999999999999,-0.1329084025052914,0.09999999999999999,-0.119140845649713,0.09999999999999999,-0.1079613631948002,0.09999999999999999,-0.09870203155226295,0.09999999999999999,-0.08425365173445565,0.09999999999999999,-0.07349729730832803,0.09999999999999999,-0.06517757325610668,0.09999999999999999,-0.05855049672876148,0.09999999999999999,-0.05314707160870873,0.09999999999999999,-0.04865695632400031,0.09999999999999999,-0.04486659380649827
0.11,-0.2239919392388572,0.11,-0.2041190958072673,0.11,-0.1734076314461125,0.11,-0.1507579400340348,0.11,-0.1333540690689445,0.11,-0.1195588528600701,0.11,-0.1083536647251492,0.11,-0.09907087007703656,0.11,-0.08458199572033268,0.11,-0.0737924564169192,0.11,-0.06544530432103775,0.11,-0.05879528870495524,0.11,-0.05337244721385731,0.11,-0.04886571175173025,0.11,-0.04506097673664754
0.12,-0.2244985738415514,0.12,-0.2046287667857727,0.12,-0.1739016355714607,0.12,-0.151225438114868,0.12,-0.1337929799269811,0.12,-0.1199701842490449,0.12,-0.1087394601441696,0.12,-0.09943341506923924,0.12,-0.08490450948489701,0.12,-0.0740822351253267,0.12,-0.0657080645969888,0.12,-0.05903547471147151,0.12,-0.05359353956775679,0.12,-0.04907046930692564,0.12,-0.04525161480024414
0.13,-0.2249996651735157,0.13,-0.2051319662380451,0.13,-0.1743881434798017,0.13,-0.1516850744346642,0.13,-0.1342239999463625,0.13,-0.1203737663524876,0.13,-0.1091177320804711,0.13,-0.09978870057062948,0.13,-0.0852203177877244,0.13,-0.0743658351850524,0.13,-0.06596512155946922,0.13,-0.05927037872389607,0.13,-0.05380972158192536,0.13,-0.04927064460209469,0.13,-0.0454379611361973
0.14,-0.225493273103802,0.14,-0.2056268857629458,0.14,-0.1748655022622899,0.14,-0.1521353015150436,0.14,-0.1346456694618,0.14,-0.1207682180255031,0.14,-0.1094871711062558,0.14,-0.1001354830381367,0.14,-0.08552829353551727,0.14,-0.07464222843701175,0.14,-0.06621553154163527,0.14,-0.0594991297253917,0.14,-0.05402018517123995,0.14,-0.04946548447064699,0.14,-0.04561931084497667
0.15,-0.225976944294941,0.15,-0.2061112284118117,0.15,-0.1753316015824118,0.15,-0.1525741383371254,0.15,-0.1350561170084162,0.15,-0.121151766781875,0.15,-0.1098460956901439,0.15,-0.1004721648084349,0.15,-0.08582698776317185,0.15,-0.07491009254003346,0.15,-0.06645808047605638,0.15,-0.05972060681692073,0.15,-0.05422389018293508,0.15,-0.04965401925064342,0.15,-0.04579475623583745
0.16,-0.2264475883615804,0.16,-0.2065820877508126,0.16,-0.1757837567363684,0.16,-0.1529990574413218,0.16,-0.1354529508345746,0.16,-0.1215221448901509,0.16,-0.1101923528513242,0.16,-0.1007966991619254,0.16,-0.08611454284767509,0.16,-0.07516773134936053,0.16,-0.06669121051031027,0.16,-0.05993337126057983,0.16,-0.05441950118027283,0.16,-0.04983500372990127,0.16,-0.04596313144603034
0.17,-0.226901324098129,0.17,-0.2070357977143161,0.17,-0.1762185636800403,0.17,-0.1534068451587015,0.17,-0.1358331247475743,0.17,-0.1218764610014895,0.17,-0.1105231955069371,0.17,-0.1011064731835048,0.17,-0.08638858552181611,0.17,-0.07541297682745737,0.17,-0.06691292964672609,0.17,-0.06013558283512868,0.17,-0.05460530965660336,0.17,-0.05000684449851429,0.17,-0.04612294432676239
0.18,-0.2273332907986106,0.18,-0.2074677481365715,0.18,-0.176631720944126,0.18,-0.1537934300878999,0.18,-0.1361927736508345,0.18,-0.1222110429232387,0.18,-0.1108351323747001,0.18,-0.1013981645153408,0.18,-0.08664609619685633,0.18,-0.07564306934331615,0.18,-0.06712070155300093,0.18,-0.06032489789518418,0.18,-0.05477913927927834,0.18,-0.05016751148665791,0.18,-0.0462722935282033
0.19,-0.2277374202789462,0.19,-0.2078721612829518,0.19,-0.1770178137032626,0.19,-0.1541536752804955,0.19,-0.1365270145067917,0.19,-0.1225212475556968,0.19,-0.1111237467194946,0.19,-0.1016675685410418,0.19,-0.08688325156719559,0.19,-0.07585451368541686,0.19,-0.06731131315533048,0.19,-0.0604983469810687,0.19,-0.05493823220602324,0.19,-0.05031443189480975,0.19,-0.04640876913058629
