pch18_Cdd_Cgg (ll=2e-07) X,pch18_Cdd_Cgg (ll=2e-07) Y,pch18_Cdd_Cgg (ll=3e-07) X,pch18_Cdd_Cgg (ll=3e-07) Y,pch18_Cdd_Cgg (ll=4e-07) X,pch18_Cdd_Cgg (ll=4e-07) Y,pch18_Cdd_Cgg (ll=5e-07) X,pch18_Cdd_Cgg (ll=5e-07) Y,pch18_Cdd_Cgg (ll=6e-07) X,pch18_Cdd_Cgg (ll=6e-07) Y,pch18_Cdd_Cgg (ll=7e-07) X,pch18_Cdd_Cgg (ll=7e-07) Y,pch18_Cdd_Cgg (ll=8e-07) X,pch18_Cdd_Cgg (ll=8e-07) Y,pch18_Cdd_Cgg (ll=9e-07) X,pch18_Cdd_Cgg (ll=9e-07) Y,pch18_Cdd_Cgg (ll=1e-06) X,pch18_Cdd_Cgg (ll=1e-06) Y,pch18_Cdd_Cgg (ll=1.2e-06) X,pch18_Cdd_Cgg (ll=1.2e-06) Y,pch18_Cdd_Cgg (ll=1.4e-06) X,pch18_Cdd_Cgg (ll=1.4e-06) Y,pch18_Cdd_Cgg (ll=1.6e-06) X,pch18_Cdd_Cgg (ll=1.6e-06) Y,pch18_Cdd_Cgg (ll=1.8e-06) X,pch18_Cdd_Cgg (ll=1.8e-06) Y,pch18_Cdd_Cgg (ll=2e-06) X,pch18_Cdd_Cgg (ll=2e-06) Y,pch18_Cdd_Cgg (ll=2.2e-06) X,pch18_Cdd_Cgg (ll=2.2e-06) Y,pch18_Cdd_Cgg (ll=2.4e-06) X,pch18_Cdd_Cgg (ll=2.4e-06) Y
0.09999999999999999,0.2925241826247127,0.09999999999999999,0.239163271325454,0.09999999999999999,0.2022922844171564,0.09999999999999999,0.1752831387445175,0.09999999999999999,0.1547334592179894,0.09999999999999999,0.1384972720886665,0.09999999999999999,0.1253458817886764,0.09999999999999999,0.1144764985460648,0.09999999999999999,0.105342564978906,0.09999999999999999,0.09084724909276315,0.09999999999999999,0.07989444764980233,0.09999999999999999,0.07129935770806149,0.09999999999999999,0.0643745742430936,0.09999999999999999,0.05867625131482266,0.09999999999999999,0.05390501245984895,0.09999999999999999,0.04985159368500983
0.11,0.2931191564708596,0.11,0.2398903341731871,0.11,0.2030456079098979,0.11,0.1760233158278257,0.11,0.1554401980492038,0.11,0.1391675948665173,0.11,0.1259802465067789,0.11,0.1150767793881749,0.11,0.1059111475649541,0.11,0.0913597932043908,0.11,0.08035941841133756,0.11,0.07172432782257367,0.11,0.06476560025294592,0.11,0.05903819010918194,0.11,0.05424179068305017,0.11,0.05016641748680416
0.12,0.2937298484621974,0.12,0.2406228609547175,0.12,0.203799617114458,0.12,0.1767618049263813,0.12,0.1561440894980098,0.12,0.1398344973568812,0.12,0.1266109253871599,0.12,0.1156732775900289,0.12,0.1064759459227199,0.12,0.09186868891101652,0.12,0.08082098912110809,0.12,0.07214614738531176,0.12,0.0651537079839271,0.12,0.05939742070442481,0.12,0.05457604862213999,0.12,0.05047888855237424
0.13,0.294355590278611,0.13,0.2413604207538139,0.13,0.2045540078968641,0.13,0.1774983749091663,0.13,0.1568449967232083,0.13,0.140497897090899,0.13,0.1272378683034835,0.13,0.1162659628556424,0.13,0.1070369422339738,0.13,0.09237393164826567,0.13,0.08127916748392737,0.13,0.07256483035990312,0.13,0.06553891463637884,0.13,0.05975396193809176,0.13,0.05490780587263143,0.13,0.0507890267392753
0.14,0.2949956926258042,0.14,0.242102600274078,0.14,0.2053085141135666,0.14,0.1782328423653488,0.14,0.1575428219158716,0.14,0.1411577402341528,0.14,0.1278610442715581,0.14,0.1168548160245657,0.14,0.1075941232615256,0.14,0.09287551186517568,0.14,0.08173394812505619,0.14,0.07298037227846255,0.14,0.06592121547464262,0.14,0.06010780845687032,0.14,0.05523705643798771,0.14,0.05109682550107064
0.15,0.2956494655733192,0.15,0.2428490128076153,0.15,0.2060629067379205,0.15,0.1789650641851654,0.15,0.1582374878585995,0.15,0.1418139760364469,0.15,0.1284804112999604,0.15,0.1174397959645561,0.15,0.1081474453838926,0.15,0.09337337837231442,0.15,0.08218527477285537,0.15,0.07339271234098974,0.15,0.06630054643684351,0.15,0.06045889416075473,0.15,0.05556373317766308,0.15,0.05140221741806501
0.16,0.2963162321456447,0.16,0.2435992968320932,0.16,0.2068169803133573,0.16,0.1796949163274414,0.16,0.1589289047905913,0.16,0.1424665160697763,0.16,0.1290958707204068,0.16,0.1180207907899373,0.16,0.108696783921313,0.16,0.09386738616598359,0.16,0.08263298696174444,0.16,0.07380168026480854,0.16,0.06667673183737886,0.16,0.06080704114627051,0.16,0.05588765819215796,0.16,0.05170502611410335
0.17,0.2969953342417604,0.17,0.2443531026864299,0.17,0.2075705247709692,0.17,0.1804222565003706,0.17,0.1596169197378995,0.17,0.1431151748002319,0.17,0.1297072020254882,0.17,0.1185975490357923,0.17,0.1092418620947908,0.17,0.09435722374091646,0.17,0.0830767459584113,0.17,0.07420692246059393,0.17,0.06704941172613116,0.17,0.06115188876984124,0.17,0.05620847386493001,0.17,0.05200489940215637
0.18,0.2976861301365357,0.18,0.2451100657121218,0.18,0.2083232801688538,0.18,0.181146867648783,0.18,0.1603012439595031,0.18,0.1437595860900473,0.18,0.1303139720204017,0.18,0.1191695840380289,0.18,0.1097821524942028,0.18,0.09484231239582332,0.18,0.0835159320876639,0.18,0.07460779963109367,0.18,0.06741794106438875,0.18,0.0614927951376846,0.18,0.05652554705957213,0.18,0.05230121637246948
0.19,0.2983879828243647,0.19,0.2458697636902883,0.19,0.2090748706726115,0.19,0.1818683774009291,0.19,0.1609813516780886,0.19,0.1443990873174431,0.19,0.1309154089560015,0.19,0.119736041519357,0.19,0.1103167406450288,0.19,0.09532166679830008,0.19,0.08394950245850505,0.19,0.0750032448283755,0.19,0.06778124995279435,0.19,0.06182870054374738,0.19,0.05683783632222064,0.19,0.05259295861820559
