nch18_Cgd_Cgg (ll=2e-07) X,nch18_Cgd_Cgg (ll=2e-07) Y,nch18_Cgd_Cgg (ll=3e-07) X,nch18_Cgd_Cgg (ll=3e-07) Y,nch18_Cgd_Cgg (ll=4e-07) X,nch18_Cgd_Cgg (ll=4e-07) Y,nch18_Cgd_Cgg (ll=5e-07) X,nch18_Cgd_Cgg (ll=5e-07) Y,nch18_Cgd_Cgg (ll=6e-07) X,nch18_Cgd_Cgg (ll=6e-07) Y,nch18_Cgd_Cgg (ll=7e-07) X,nch18_Cgd_Cgg (ll=7e-07) Y,nch18_Cgd_Cgg (ll=8e-07) X,nch18_Cgd_Cgg (ll=8e-07) Y,nch18_Cgd_Cgg (ll=9e-07) X,nch18_Cgd_Cgg (ll=9e-07) Y,nch18_Cgd_Cgg (ll=1e-06) X,nch18_Cgd_Cgg (ll=1e-06) Y,nch18_Cgd_Cgg (ll=1.2e-06) X,nch18_Cgd_Cgg (ll=1.2e-06) Y,nch18_Cgd_Cgg (ll=1.4e-06) X,nch18_Cgd_Cgg (ll=1.4e-06) Y,nch18_Cgd_Cgg (ll=1.6e-06) X,nch18_Cgd_Cgg (ll=1.6e-06) Y,nch18_Cgd_Cgg (ll=1.8e-06) X,nch18_Cgd_Cgg (ll=1.8e-06) Y,nch18_Cgd_Cgg (ll=2e-06) X,nch18_Cgd_Cgg (ll=2e-06) Y,nch18_Cgd_Cgg (ll=2.2e-06) X,nch18_Cgd_Cgg (ll=2.2e-06) Y,nch18_Cgd_Cgg (ll=2.4e-06) X,nch18_Cgd_Cgg (ll=2.4e-06) Y
0.09999999999999999,-0.3255710140116377,0.09999999999999999,-0.2682923102498401,0.09999999999999999,-0.2281310211283681,0.09999999999999999,-0.1984208206368628,0.09999999999999999,-0.1756053012995487,0.09999999999999999,-0.1574920531073447,0.09999999999999999,-0.1427636416772707,0.09999999999999999,-0.1305527172674784,0.09999999999999999,-0.1202648958601577,0.09999999999999999,-0.1038891673236249,0.09999999999999999,-0.09142837011287681,0.09999999999999999,-0.08163516968018709,0.09999999999999999,-0.07373593956101904,0.09999999999999999,-0.06722981015005514,0.09999999999999999,-0.06177820018314574,0.09999999999999999,-0.05714401425534293
0.11,-0.3260571011935846,0.11,-0.2689142143628691,0.11,-0.2287875637741708,0.11,-0.1990732202183824,0.11,-0.1762362237672102,0.11,-0.1580959359114481,0.11,-0.143339018448983,0.11,-0.1311000245216472,0.11,-0.1207854319729457,0.11,-0.1043612010217646,0.11,-0.09185764799104412,0.11,-0.08202783034797448,0.11,-0.0740971485725678,0.11,-0.06756384856715679,0.11,-0.06208860833925482,0.11,-0.05743372995327661
0.12,-0.3265443435870035,0.12,-0.2695318401641007,0.12,-0.2294376817594287,0.12,-0.199718376388384,0.12,-0.1768596559027433,0.12,-0.1586922909401442,0.12,-0.1439069300913285,0.12,-0.1316399775789844,0.12,-0.1212987473095923,0.12,-0.1048263013951818,0.12,-0.09227995011482902,0.12,-0.08241347340707407,0.12,-0.07445131830496222,0.12,-0.06789085052955146,0.12,-0.06239200591615084,0.12,-0.05771648064839292
0.13,-0.3270324225455771,0.13,-0.2701449764759532,0.13,-0.2300811195361611,0.13,-0.2003559511003272,0.13,-0.1774751099844628,0.13,-0.1592804928913338,0.13,-0.1444666308199937,0.13,-0.1321717275301547,0.13,-0.1218039057825522,0.13,-0.1052833982726648,0.13,-0.09269397405821374,0.13,-0.08279062419432057,0.13,-0.07479684853269643,0.13,-0.06820912601998089,0.13,-0.06268664042029656,0.13,-0.05799047224416417
0.14,-0.3275208986700576,0.14,-0.2707532574334319,0.14,-0.2307174145472102,0.14,-0.2009853525763467,0.14,-0.1780817838220013,0.14,-0.1598595518840814,0.14,-0.1450169694548284,0.14,-0.1326939871137862,0.14,-0.122299506545915,0.14,-0.1057309192386302,0.14,-0.09309785766126502,0.14,-0.08315721027165153,0.14,-0.07513151728287681,0.14,-0.06851634945277635,0.14,-0.0629701172966753,0.14,-0.05825326738202458
0.15,-0.3280091791565673,0.15,-0.2713561099397391,0.15,-0.2313458224806464,0.15,-0.2016056420112242,0.15,-0.1786784469136022,0.15,-0.1604279831126429,0.15,-0.1455562460806184,0.15,-0.1332048772983984,0.15,-0.1227835228727976,0.15,-0.1061666184868424,0.15,-0.0934889968090724,0.15,-0.08351037385790672,0.15,-0.07545229172691244,0.15,-0.06880937152950536,0.15,-0.0632392143755913,0.15,-0.05850160351539242
0.16,-0.3284964710259604,0.16,-0.2719526818840495,0.16,-0.2319652166240494,0.16,-0.2022154087459192,0.16,-0.1792632892300593,0.16,-0.1609836348017768,0.16,-0.1460820239228952,0.16,-0.133701726965079,0.16,-0.1232530927696762,0.16,-0.1065873562744142,0.16,-0.09386381425163669,0.16,-0.08384623707530307,0.16,-0.0757550943445464,0.16,-0.06908398912941632,0.16,-0.06348965720079559,0.16,-0.05873117466892243
0.17,-0.3289817158810616,0.17,-0.272541744965289,0.17,-0.2325739531741034,0.17,-0.202812604341295,0.17,-0.1798337220023564,0.17,-0.1615234633273175,0.17,-0.1465908851707709,0.17,-0.1341808145551005,0.17,-0.1237042505039999,0.17,-0.1069888190922769,0.17,-0.09421747167344946,0.17,-0.08415961434813515,0.17,-0.07603452070992256,0.17,-0.06933467141501318,0.17,-0.06371585504860948,0.17,-0.05893637812342867
0.18,-0.3294635005281824,0.18,-0.2731215642710046,0.18,-0.233169692396599,0.18,-0.2033943239590912,0.18,-0.1803861180758292,0.18,-0.1620432428976696,0.18,-0.147078118436303,0.18,-0.134637039970016,0.18,-0.1241315881236173,0.18,-0.1073651715028691,0.18,-0.09454351946736791,0.18,-0.08444366974688369,0.18,-0.07628350970488662,0.18,-0.06955424559502514,0.18,-0.06391060334769806,0.18,-0.05911003366281896
0.19,-0.3299399362700552,0.19,-0.2736897248603697,0.19,-0.2337491634757541,0.19,-0.2039565215185102,0.19,-0.180915477986374,0.19,-0.1625371964834063,0.19,-0.1475373256131697,0.19,-0.135063515892797,0.19,-0.1245278377248658,0.19,-0.1077086337578013,0.19,-0.09483348386532266,0.19,-0.0846895239163671,0.19,-0.07649297509252671,0.19,-0.06973355488212744,0.19,-0.06406476801116714,0.19,-0.05924309331832688
0.2,-0.3304084979703322,0.2,-0.2742429035966106,0.2,-0.234307858973967,0.2,-0.2044936436417021,0.2,-0.1814150075402547,0.2,-0.1629975355784042,0.2,-0.1479599381277644,0.2,-0.1354510712476605,0.2,-0.1248833700317315,0.2,-0.108008986350814,0.2,-0.09507640087244197,0.2,-0.08488582707597746,0.2,-0.07665142068860496,0.2,-0.06986111545785753,0.2,-0.06416698206020656,0.2,-0.05932437471716884
0.21,-0.3308658122046292,0.21,-0.2747765725825779,0.21,-0.2348396434887284,0.21,-0.2049981671392552,0.21,-0.1818755943830354,0.21,-0.1634139002224941,0.21,-0.1483346385603409,0.21,-0.1357876675289221,0.21,-0.1251856147242636,0.21,-0.1082530156904982,0.21,-0.09525832285066581,0.21,-0.08501833318216016,0.21,-0.07674458124907543,0.21,-0.06992281972383918,0.21,-0.06420340547073281,0.21,-0.05934037142883578
0.2200000000000001,-0.3313073821567595,0.2200000000000001,-0.2752846191848673,0.2200000000000001,-0.2353362611212756,0.2200000000000001,-0.2054600268934934,0.2200000000000001,-0.1822851764566399,0.2200000000000001,-0.1637726995135822,0.2200000000000001,-0.1486466956238905,0.2200000000000001,-0.1360577436507099,0.2200000000000001,-0.1254184254337053,0.2200000000000001,-0.1084239365977969,0.2200000000000001,-0.09536184857886508,0.2200000000000001,-0.08506953696596706,0.2200000000000001,-0.07675515815194908,0.2200000000000001,-0.06990175953339951,0.2200000000000001,-0.06415762447775394,0.2200000000000001,-0.05927521755294393
0.2300000000000001,-0.331727235778621,0.2300000000000001,-0.2757588675067196,0.2300000000000001,-0.235786729035093,0.2300000000000001,-0.2058659272982967,0.2300000000000001,-0.1826280067378382,0.2300000000000001,-0.1640563693209892,0.2300000000000001,-0.1488772414376075,0.2300000000000001,-0.1362415297301698,0.2300000000000001,-0.1255614402187869,0.2300000000000001,-0.1085008596437713,0.2300000000000001,-0.09536576214132902,0.2300000000000001,-0.08501846973295249,0.2300000000000001,-0.07666275117127617,0.2300000000000001,-0.06977827245129849,0.2300000000000001,-0.06401079261612848,0.2300000000000001,-0.05911090638352198
0.2400000000000001,-0.3321174837778988,0.2400000000000001,-0.2761884884661099,0.2400000000000001,-0.2361766116299422,0.2400000000000001,-0.2061985435414226,0.2400000000000001,-0.1828838393654831,0.2400000000000001,-0.1642425913767278,0.2400000000000001,-0.1490025530609799,0.2400000000000001,-0.1363144075567035,0.2400000000000001,-0.1255895288113585,0.2400000000000001,-0.1084584151265463,0.2400000000000001,-0.09524490816940255,0.2400000000000001,-0.08484078728780667,0.2400000000000001,-0.07644411892260899,0.2400000000000001,-0.06953033868321565,0.2400000000000001,-0.0637421337729126,0.2400000000000001,-0.05882787478869858
0.2500000000000001,-0.3324677763118402,0.2500000000000001,-0.2765592921581066,0.2500000000000001,-0.236487184452214,0.2500000000000001,-0.2064356424114943,0.2500000000000001,-0.1830270957804964,0.2500000000000001,-0.1643035594890691,0.2500000000000001,-0.1489934475589029,0.2500000000000001,-0.1362464463732562,0.2500000000000001,-0.1254724705005409,0.2500000000000001,-0.1082666972628042,0.2500000000000001,-0.09497047327023152,0.2500000000000001,-0.08450931354018644,0.2500000000000001,-0.07607391825728445,0.2500000000000001,-0.06913446230989423,0.2500000000000001,-0.06332992312249507,0.2500000000000001,-0.05840605160323579
0.2600000000000001,-0.3327646534847923,0.2600000000000001,-0.2768529094968426,0.2600000000000001,-0.236694522437798,0.2600000000000001,-0.206549189820195,0.2600000000000001,-0.1830261187910648,0.2600000000000001,-0.1642054354884081,0.2600000000000001,-0.14881496030722,0.2600000000000001,-0.1360023032608093,0.2600000000000001,-0.1251750648272755,0.2600000000000001,-0.1078917406865366,0.2600000000000001,-0.09451086984026857,0.2600000000000001,-0.08399520757473505,0.2600000000000001,-0.07552605749778481,0.2600000000000001,-0.06856713881038615,0.2600000000000001,-0.06275301724374156,0.2600000000000001,-0.05782641383063881
0.2700000000000001,-0.3329907971634358,0.2700000000000001,-0.2770458935430124,0.2700000000000001,-0.2367685872295218,0.2700000000000001,-0.2065045668398206,0.2700000000000001,-0.1828426875864803,0.2700000000000001,-0.1639082057295278,0.2700000000000001,-0.1484265414886562,0.2700000000000001,-0.1355417352645891,0.2700000000000001,-0.1246579248094922,0.2700000000000001,-0.1072967641550441,0.2700000000000001,-0.09383340326164247,0.2700000000000001,-0.0832698751417178,0.2700000000000001,-0.07477572767161356,0.2700000000000001,-0.06780692329474709,0.2700000000000001,-0.06199290613882288,0.2700000000000001,-0.0570729893627254
0.2800000000000001,-0.3331242131184919,0.2800000000000001,-0.2771088080198897,0.2800000000000001,-0.2366724457489358,0.2800000000000001,-0.2062600872482656,0.2800000000000001,-0.1824320408446446,0.2800000000000001,-0.1633662147965321,0.2800000000000001,-0.1477830555825599,0.2800000000000001,-0.1348209998913752,0.2800000000000001,-0.1238792096671575,0.2800000000000001,-0.1064443798517498,0.2800000000000001,-0.09290681645685349,0.2800000000000001,-0.08230762488261431,0.2800000000000001,-0.07380203597857697,0.2800000000000001,-0.06683696532925701,0.2800000000000001,-0.06103611009224461,0.2800000000000001,-0.05613509871936952
0.2900000000000001,-0.3331374060906607,0.2900000000000001,-0.2770054239279175,0.2900000000000001,-0.2363618255078855,0.2900000000000001,-0.205767088900224,0.2900000000000001,-0.1817437193422912,0.2900000000000001,-0.1625296883669955,0.2900000000000001,-0.1468368682621098,0.2900000000000001,-0.1337953830289838,0.2900000000000001,-0.1227974810811873,0.2900000000000001,-0.105299834816927,0.2900000000000001,-0.09170462665979938,0.2900000000000001,-0.08108887192731004,0.2900000000000001,-0.07259096840425303,0.2900000000000001,-0.06564769036639821,0.2900000000000001,-0.05987657564048121,0.2900000000000001,-0.05500947922386579
0.3000000000000001,-0.3329966580109616,0.3000000000000001,-0.2766922139735798,0.3000000000000001,-0.2357852912649551,0.3000000000000001,-0.2049709367397653,0.3000000000000001,-0.1807235588411289,0.3000000000000001,-0.1613475190305977,0.3000000000000001,-0.1455412093652431,0.3000000000000001,-0.1324229463747461,0.3000000000000001,-0.1213756780379218,0.3000000000000001,-0.1038351068847398,0.3000000000000001,-0.09020891118879294,0.3000000000000001,-0.07960345320017095,0.3000000000000001,-0.07113820529917075,0.3000000000000001,-0.06423914457899341,0.3000000000000001,-0.05851760063510421,0.3000000000000001,-0.05370184611824731
0.3100000000000001,-0.3326615798319836,0.3100000000000001,-0.2761184101540126,0.3100000000000001,-0.2348853884498649,0.3100000000000001,-0.20381328753729,0.3100000000000001,-0.1793170895341409,0.3100000000000001,-0.1597714297401122,0.3100000000000001,-0.1438547722211227,0.3100000000000001,-0.1306693084663479,0.3100000000000001,-0.1195858967588421,0.3100000000000001,-0.1020333533210073,0.3100000000000001,-0.08841392889409511,0.3100000000000001,-0.07785342318721608,0.3100000000000001,-0.06945119147228671,0.3100000000000001,-0.0626224611924,0.3100000000000001,-0.05697281137896355,0.3100000000000001,-0.05222747859406338
0.3200000000000001,-0.3320851718205649,0.3200000000000001,-0.2752269510528782,0.3200000000000001,-0.2336011000789853,0.3200000000000001,-0.2022358724645621,0.3200000000000001,-0.177474383115797,0.3200000000000001,-0.1577613240989341,0.3200000000000001,-0.1417471521873548,0.3200000000000001,-0.1285128981432916,0.3200000000000001,-0.1174142952186472,0.3200000000000001,-0.09989290710694561,0.3200000000000001,-0.08632879740205153,0.3200000000000001,-0.07585465222808807,0.3200000000000001,-0.06754990689042178,0.3200000000000001,-0.06082001516537486,0.3200000000000001,-0.05526586613583472,0.3200000000000001,-0.0506105964647941
0.3300000000000001,-0.3312146763276328,0.3300000000000001,-0.2739566552738715,0.3300000000000001,-0.2318718530103447,0.3300000000000001,-0.2001858061194953,0.3300000000000001,-0.1751560211759372,0.3300000000000001,-0.1552912159862519,0.3300000000000001,-0.139204319612505,0.3300000000000001,-0.125949759594444,0.3300000000000001,-0.1148651515930663,0.3300000000000001,-0.09742988282513268,0.3300000000000001,-0.08397850002323111,0.3300000000000001,-0.07363672343512313,0.3300000000000001,-0.06546602558059947,0.3300000000000001,-0.05886410605712217,0.3300000000000001,-0.0534288410741462,0.3300000000000001,-0.04888257018000833
0.3400000000000001,-0.3299935088737843,0.3400000000000001,-0.2722458677692307,0.3400000000000001,-0.2296430437792209,0.3400000000000001,-0.1976220253794791,0.3400000000000001,-0.1723394035092519,0.3400000000000001,-0.152354725603072,0.3400000000000001,-0.1362330227727169,0.3400000000000001,-0.1229968152330848,0.3400000000000001,-0.1119630588014134,0.3400000000000001,-0.09467861573216343,0.3400000000000001,-0.08140281235714279,0.3400000000000001,-0.071240997525819,0.3400000000000001,-0.06324052598509322,0.3400000000000001,-0.05679436011635493,0.3400000000000001,-0.05149957020824754,0.3400000000000001,-0.04707928375868319
0.3500000000000001,-0.3283644682816458,0.3500000000000001,-0.2700375955436213,0.3500000000000001,-0.2268726393913431,0.3500000000000001,-0.1945219788590843,0.3500000000000001,-0.1690242285033711,0.3500000000000001,-0.1489689232146168,0.3500000000000001,-0.1328630054395735,0.3500000000000001,-0.1196926541903327,0.3500000000000001,-0.108752535189154,0.3500000000000001,-0.09168962061176242,0.3500000000000001,-0.07865323326955335,0.3500000000000001,-0.06871716114492321,0.3500000000000001,-0.06092018857165801,0.3500000000000001,-0.05465434019420801,0.3500000000000001,-0.04951844140943859,0.3500000000000001,-0.04523814408561184
0.3600000000000002,-0.3262742244253191,0.3600000000000002,-0.2672857777056485,0.3600000000000002,-0.2235379353801323,0.3600000000000002,-0.1908873029081627,0.3600000000000002,-0.1652358632210847,0.3600000000000002,-0.1451754611922267,0.3600000000000002,-0.1291462966723289,0.3600000000000002,-0.1160954279058783,0.3600000000000002,-0.1052949222606167,0.3600000000000002,-0.08852537202881731,0.3600000000000002,-0.07578849348418223,0.3600000000000002,-0.06611892261962161,0.3600000000000002,-0.05855364569906166,0.3600000000000002,-0.05248798901801842,0.3600000000000002,-0.04752521899829797,0.3600000000000002,-0.04339524869948939
0.3700000000000002,-0.3236787697912683,0.3700000000000002,-0.2639618962756454,0.3700000000000002,-0.2196412002723956,0.3700000000000002,-0.1867471448548941,0.3700000000000002,-0.1610256180486654,0.3700000000000002,-0.1410384852064977,0.3700000000000002,-0.1251535059527548,0.3700000000000002,-0.1122781391121327,0.3700000000000002,-0.1016631135043342,0.3700000000000002,-0.08525473456770337,0.3700000000000002,-0.07286951052699249,0.3700000000000002,-0.06349964705524595,0.3700000000000002,-0.05618766625494943,0.3700000000000002,-0.05033647947458135,0.3700000000000002,-0.04555636959551845,0.3700000000000002,-0.04158310626749969
0.3800000000000002,-0.3205491665528561,0.3800000000000002,-0.2600607822405539,0.3800000000000002,-0.2152129017775131,0.3800000000000002,-0.1821581563637223,0.3800000000000002,-0.1564676139632467,0.3800000000000002,-0.1366395872062734,0.3800000000000002,-0.1209677894315327,0.3800000000000002,-0.1083222351947403,0.3800000000000002,-0.09793515099280659,0.3800000000000002,-0.08194711362370859,0.3800000000000002,-0.06995467322944583,0.3800000000000002,-0.06090861587212684,0.3800000000000002,-0.05386419247025524,0.3800000000000002,-0.04823585710981281,0.3800000000000002,-0.04364317490204891,0.3800000000000002,-0.03982911606589583
