nch18_Id_W  (ll=2e-07) X,nch18_Id_W  (ll=2e-07) Y,nch18_Id_W  (ll=3e-07) X,nch18_Id_W  (ll=3e-07) Y,nch18_Id_W  (ll=4e-07) X,nch18_Id_W  (ll=4e-07) Y,nch18_Id_W  (ll=5e-07) X,nch18_Id_W  (ll=5e-07) Y,nch18_Id_W  (ll=6e-07) X,nch18_Id_W  (ll=6e-07) Y,nch18_Id_W  (ll=7e-07) X,nch18_Id_W  (ll=7e-07) Y,nch18_Id_W  (ll=8e-07) X,nch18_Id_W  (ll=8e-07) Y,nch18_Id_W  (ll=9e-07) X,nch18_Id_W  (ll=9e-07) Y,nch18_Id_W  (ll=1e-06) X,nch18_Id_W  (ll=1e-06) Y,nch18_Id_W  (ll=1.2e-06) X,nch18_Id_W  (ll=1.2e-06) Y,nch18_Id_W  (ll=1.4e-06) X,nch18_Id_W  (ll=1.4e-06) Y,nch18_Id_W  (ll=1.6e-06) X,nch18_Id_W  (ll=1.6e-06) Y,nch18_Id_W  (ll=1.8e-06) X,nch18_Id_W  (ll=1.8e-06) Y,nch18_Id_W  (ll=2e-06) X,nch18_Id_W  (ll=2e-06) Y,nch18_Id_W  (ll=2.2e-06) X,nch18_Id_W  (ll=2.2e-06) Y,nch18_Id_W  (ll=2.4e-06) X,nch18_Id_W  (ll=2.4e-06) Y
0.09999999999999999,0.0001124497945105527,0.09999999999999999,6.773482300720323e-05,0.09999999999999999,5.840652349376286e-05,0.09999999999999999,5.376559545057346e-05,0.09999999999999999,5.425238323825977e-05,0.09999999999999999,5.420330122888801e-05,0.09999999999999999,5.3837932893933e-05,0.09999999999999999,5.328094843799168e-05,0.09999999999999999,5.26063190232881e-05,0.09999999999999999,5.107092827927334e-05,0.09999999999999999,5.052788715424365e-05,0.09999999999999999,4.958317143642143e-05,0.09999999999999999,4.843686976013008e-05,0.09999999999999999,4.719708262092525e-05,0.09999999999999999,4.592483631036741e-05,0.09999999999999999,4.465545700387128e-05
0.11,0.0001493841573579712,0.11,8.980796666371015e-05,0.11,7.737236786862742e-05,0.11,7.118765522125894e-05,0.11,7.169100679428638e-05,0.11,7.152890637123318e-05,0.11,7.09757085186704e-05,0.11,7.018727228784987e-05,0.11,6.925595806679552e-05,0.11,6.717242110212584e-05,0.11,6.620854475683236e-05,0.11,6.479319093647742e-05,0.11,6.316370765462171e-05,0.11,6.144627438288605e-05,0.11,5.971084338112334e-05,0.11,5.799699776333835e-05
0.12,0.0001983979566350513,0.12,0.0001190429062374276,0.12,0.0001024681395864861,0.12,9.422718699298241e-05,0.12,9.470507814432757e-05,0.12,9.436104270041401e-05,0.12,9.353622917700534e-05,0.12,9.242462954720694e-05,0.12,9.114105757599368e-05,0.12,8.83154844649604e-05,0.12,8.672054850929812e-05,0.12,8.463427115005196e-05,0.12,8.233377769657272e-05,0.12,7.996357229952146e-05,0.12,7.760195018036279e-05,0.12,7.529188573566668e-05
0.13,0.0002634186038095203,0.13,0.0001577490127853543,0.13,0.0001356617417661084,0.13,0.0001246823190275158,0.13,0.0001250631050747849,0.13,0.0001244350592662597,0.13,0.0001232200527538105,0.13,0.000121658320638067,0.13,0.0001198918671649209,0.13,0.0001160622565101534,0.13,0.0001135362847763066,0.13,0.0001105005478317914,0.13,0.0001072720593214146,0.13,0.0001040121583937072,0.13,0.0001008056226911054,0.13,9.769698615646077e-05
0.14,0.0003496398111172015,0.14,0.0002089737837152171,0.14,0.0001795466876729399,0.14,0.000164920652923981,0.14,0.0001650880270133718,0.14,0.0001640263282355877,0.14,0.000162253913205047,0.14,0.0001600665425122706,0.14,0.0001576388192155017,0.14,0.0001524512630241733,0.14,0.0001485694682707472,0.14,0.0001441986867789376,0.14,0.0001396916981334568,0.14,0.0001352223232990464,0.14,0.0001308779417587829,0.14,0.0001267013347427866
0.15,0.0004639247715948295,0.15,0.0002767356357359917,0.15,0.0002375380348595922,0.15,0.0002180566794564671,0.15,0.0002178278970488863,0.15,0.0002161150125860577,0.15,0.000213550132123322,0.15,0.0002104948763910227,0.15,0.0002071624490477009,0.15,0.0002001390751143554,0.15,0.0001943039969320163,0.15,0.0001880666858148076,0.15,0.0001818045945301067,0.15,0.0001756951507507119,0.15,0.0001698213598803024,0.15,0.0001642187218275193
0.16,0.0006153351675484669,0.16,0.000366328574875817,0.16,0.0003141282296926628,0.16,0.0002881830202240772,0.16,0.0002872775782071277,0.16,0.000284599514212023,0.16,0.000280912688073318,0.16,0.0002766556370318006,0.16,0.0002720865560713211,0.16,0.0002625823695766157,0.16,0.0002539588400772167,0.16,0.0002451254041932638,0.16,0.0002364620980606818,0.16,0.0002281341573194368,0.16,0.0002202086043442364,0.16,0.0002127048716155991
0.17,0.0008158239879410431,0.17,0.0004847201634531825,0.17,0.0004152204561212736,0.17,0.0003806711069717709,0.17,0.0003786659515295939,0.17,0.0003745722127710835,0.17,0.0003693028121853742,0.17,0.0003633843130371572,0.17,0.0003571262739437937,0.17,0.0003442711081893005,0.17,0.0003316983123922634,0.17,0.0003192711736152941,0.17,0.0003073333911013128,0.17,0.0002960118531102512,0.17,0.0002853391827674946,0.17,0.0002753052428493702
0.18,0.001081140939691771,0.18,0.0006410701979980663,0.18,0.0005485618880787329,0.18,0.0005025610835919195,0.18,0.0004988268894528037,0.18,0.0004926745412838988,0.18,0.0004851801553162978,0.18,0.0004769682883522105,0.18,0.0004684054936880424,0.18,0.0004510260263664841,0.18,0.0004328991954049192,0.18,0.0004155196950573897,0.18,0.0003991308006966131,0.18,0.0003837796917868369,0.18,0.0003694363262665131,0.18,0.0003560407540540414
0.19,0.001432012778399584,0.19,0.0008474049884277363,0.19,0.0007243051846092234,0.19,0.0006630658313941164,0.19,0.0006566768036191633,0.19,0.0006475525748369909,0.19,0.0006369393621134893,0.19,0.0006255665435609082,0.19,0.0006138613537017443,0.19,0.000590376506425833,0.19,0.0005644886204942261,0.19,0.0005403135727843064,0.19,0.0005178931961402701,0.19,0.0004971316186062774,0.19,0.0004778938019791089,0.19,0.0004600402140998079
