pch18_Vgs_Vth (ll=2e-07) X,pch18_Vgs_Vth (ll=2e-07) Y,pch18_Vgs_Vth (ll=3e-07) X,pch18_Vgs_Vth (ll=3e-07) Y,pch18_Vgs_Vth (ll=4e-07) X,pch18_Vgs_Vth (ll=4e-07) Y,pch18_Vgs_Vth (ll=5e-07) X,pch18_Vgs_Vth (ll=5e-07) Y,pch18_Vgs_Vth (ll=6e-07) X,pch18_Vgs_Vth (ll=6e-07) Y,pch18_Vgs_Vth (ll=7e-07) X,pch18_Vgs_Vth (ll=7e-07) Y,pch18_Vgs_Vth (ll=8e-07) X,pch18_Vgs_Vth (ll=8e-07) Y,pch18_Vgs_Vth (ll=9e-07) X,pch18_Vgs_Vth (ll=9e-07) Y,pch18_Vgs_Vth (ll=1e-06) X,pch18_Vgs_Vth (ll=1e-06) Y,pch18_Vgs_Vth (ll=1.2e-06) X,pch18_Vgs_Vth (ll=1.2e-06) Y,pch18_Vgs_Vth (ll=1.4e-06) X,pch18_Vgs_Vth (ll=1.4e-06) Y,pch18_Vgs_Vth (ll=1.6e-06) X,pch18_Vgs_Vth (ll=1.6e-06) Y,pch18_Vgs_Vth (ll=1.8e-06) X,pch18_Vgs_Vth (ll=1.8e-06) Y,pch18_Vgs_Vth (ll=2e-06) X,pch18_Vgs_Vth (ll=2e-06) Y,pch18_Vgs_Vth (ll=2.2e-06) X,pch18_Vgs_Vth (ll=2.2e-06) Y,pch18_Vgs_Vth (ll=2.4e-06) X,pch18_Vgs_Vth (ll=2.4e-06) Y
0.09999999999999999,0.4558281567691459,0.09999999999999999,0.4274507071316631,0.09999999999999999,0.4141279830297167,0.09999999999999999,0.406667900251753,0.09999999999999999,0.3994436541004861,0.09999999999999999,0.3944389068539158,0.09999999999999999,0.3907517147980692,0.09999999999999999,0.3879131753507186,0.09999999999999999,0.3856548730898806,0.09999999999999999,0.3822765430306987,0.09999999999999999,0.3788191633363811,0.09999999999999999,0.3762318403014865,0.09999999999999999,0.3742192084328181,0.09999999999999999,0.3726068782139775,0.09999999999999999,0.3712850180238383,0.09999999999999999,0.3701808867739969
0.11,0.4458281579972815,0.11,0.4174507079024973,0.11,0.4041279836346914,0.11,0.3966679007510696,0.11,0.3894436545805977,0.11,0.3844389073074079,0.11,0.3807517152237558,0.11,0.3779131757497879,0.11,0.3756548734643517,0.11,0.3722765433624835,0.11,0.3688191636343721,0.11,0.3662318405713966,0.11,0.3642192086792072,0.11,0.3626068784404661,0.11,0.3612850182333061,0.11,0.3601808869687679
0.12,0.4358281596207483,0.12,0.4074507089355819,0.12,0.39412798444987,0.12,0.3866679014258122,0.12,0.3794436552285108,0.12,0.3744389079188341,0.12,0.3707517157973094,0.12,0.3679131762872077,0.12,0.3656548739684405,0.12,0.3622765438088506,0.12,0.3588191640351455,0.12,0.3562318409343158,0.12,0.3542192090104405,0.12,0.3526068787448969,0.12,0.3512850185148281,0.12,0.3501808872305096
0.13,0.4258281617660941,0.13,0.3974507103196073,0.13,0.3841279855478285,0.13,0.3766679023372148,0.13,0.3694436561024729,0.13,0.3644389087428067,0.13,0.3607517165697157,0.13,0.3579131770105801,0.13,0.3556548746466755,0.13,0.3522765444090595,0.13,0.3488191645738671,0.13,0.3462318414220336,0.13,0.3442192094554908,0.13,0.3426068791538734,0.13,0.341285018892979,0.13,0.3401808875820569
0.14,0.4158281646000784,0.14,0.3874507121730221,0.14,0.3741279870259997,0.14,0.3666679035676963,0.14,0.3594436572807545,0.14,0.3544389098526316,0.14,0.3507517176093637,0.14,0.3479131779837128,0.14,0.3456548755587033,0.14,0.3422765452156704,0.14,0.3388191652975976,0.14,0.3362318420770756,0.14,0.3342192100531068,0.14,0.3326068797029624,0.14,0.3312850194006152,0.14,0.3301808880539278
0.15,0.4058281683423373,0.15,0.3774507146539023,0.15,0.3641279890150586,0.15,0.3566679052280949,0.15,0.3494436588684445,0.15,0.3444389113466166,0.15,0.3407517190078851,0.15,0.3379131792920508,0.15,0.3356548767843659,0.15,0.33227654629898,0.15,0.3288191662692471,0.15,0.3262318429562711,0.15,0.3242192108550598,0.15,0.3226068804396719,0.15,0.3212850200816161,0.15,0.3201808886868736
0.16,0.3958281732819492,0.16,0.3674507179730474,0.16,0.3541279916901228,0.16,0.34666790746732,0.16,0.3394436610064869,0.16,0.3344389133564618,0.16,0.3307517208879294,0.16,0.3279131810498784,0.16,0.3256548784303912,0.16,0.3222765477528842,0.16,0.3188191675728069,0.16,0.3162318441354653,0.16,0.3142192119304207,0.16,0.312606881427375,0.16,0.3112850209945008,0.16,0.3101808895352439
0.17,0.3858281797991286,0.17,0.357450722411307,0.17,0.3441279952856254,0.17,0.3366679104852152,0.17,0.3294436638836964,0.17,0.3244389160583684,0.17,0.3207517234134405,0.17,0.3179131834098583,0.17,0.3156548806392708,0.17,0.3122765497026361,0.17,0.3088191693202578,0.17,0.3062318457157406,0.17,0.3042192133712206,0.17,0.3026068827504861,0.17,0.3012850222172028,0.17,0.3001808906713925
0.18,0.375828188393569,0.18,0.3474507283424818,0.18,0.3341280001150414,0.18,0.3266679145496333,0.18,0.3194436677526717,0.18,0.3144389196877664,0.18,0.3107517268032599,0.18,0.3079131865756194,0.18,0.3056548836009467,0.18,0.3022765523150552,0.18,0.2988191716606655,0.18,0.2962318478315963,0.18,0.2942192152998671,0.18,0.2926068845212589,0.18,0.2912850238533398,0.18,0.2901808921915101
0.19,0.3658281997213929,0.19,0.3374507362635217,0.19,0.324128006596981,0.19,0.3166679200190858,0.19,0.3094436729508378,0.19,0.3044389245587034,0.19,0.3007517313490125,0.19,0.297913190818298,0.19,0.2956548875681853,0.19,0.2922765558119277,0.19,0.2888191747920906,0.19,0.2862318506616663,0.19,0.2842192178788883,0.19,0.2826068868886926,0.19,0.2812850260404099,0.19,0.2801808942232133
