nch18_gm_Id (ll=2e-07) X,nch18_gm_Id (ll=2e-07) Y,nch18_gm_Id (ll=3e-07) X,nch18_gm_Id (ll=3e-07) Y,nch18_gm_Id (ll=4e-07) X,nch18_gm_Id (ll=4e-07) Y,nch18_gm_Id (ll=5e-07) X,nch18_gm_Id (ll=5e-07) Y,nch18_gm_Id (ll=6e-07) X,nch18_gm_Id (ll=6e-07) Y,nch18_gm_Id (ll=7e-07) X,nch18_gm_Id (ll=7e-07) Y,nch18_gm_Id (ll=8e-07) X,nch18_gm_Id (ll=8e-07) Y,nch18_gm_Id (ll=9e-07) X,nch18_gm_Id (ll=9e-07) Y,nch18_gm_Id (ll=1e-06) X,nch18_gm_Id (ll=1e-06) Y,nch18_gm_Id (ll=1.2e-06) X,nch18_gm_Id (ll=1.2e-06) Y,nch18_gm_Id (ll=1.4e-06) X,nch18_gm_Id (ll=1.4e-06) Y,nch18_gm_Id (ll=1.6e-06) X,nch18_gm_Id (ll=1.6e-06) Y,nch18_gm_Id (ll=1.8e-06) X,nch18_gm_Id (ll=1.8e-06) Y,nch18_gm_Id (ll=2e-06) X,nch18_gm_Id (ll=2e-06) Y,nch18_gm_Id (ll=2.2e-06) X,nch18_gm_Id (ll=2.2e-06) Y,nch18_gm_Id (ll=2.4e-06) X,nch18_gm_Id (ll=2.4e-06) Y
0,28.5784654474752,0,28.37843449339929,0,28.296980232247,0,28.25223502738905,0,28.06561376042433,0,27.93868598220215,0,27.84661670536516,0,27.77668778851147,0,27.72170835925206,0,27.64066166589616,0,27.27092747920799,0,27.00336110573849,0,26.80067444580308,0,26.64177029716938,0,26.51381214152017,0,26.40853985165206
0.01,28.5755427494416,0.01,28.37526476156246,0.01,28.29336660610494,0.01,28.24821909038745,0.01,28.061103945604,0.01,27.93374897448344,0.01,27.8413035518289,0.01,27.77103893070789,0.01,27.71575673286485,0.01,27.63418256779137,0.01,27.26401000425617,0.01,26.9960678257867,0.01,26.79305437262673,0.01,26.63386275587789,0.01,26.50564930667746,0.01,26.40014847301045
0.02,28.57217049833727,0.02,28.37161266516146,0.02,28.28920333760131,0.02,28.24359174831931,0.02,28.05591107973297,0.02,27.92806664641818,0.02,27.83519005436235,0.02,27.76454048644581,0.02,27.7089110121775,0.02,27.62673164689793,0.02,27.25607682546991,0.02,26.98772021870878,0.02,26.784345762344,0.02,26.62483617358274,0.02,26.49634005851195,0.02,26.39058597551275
0.03,28.56468216254636,0.03,28.36740176419008,0.03,28.28440351115901,0.03,28.23825636993946,0.03,28.04992796529653,0.03,27.92152259413313,0.03,27.82815166299234,0.03,27.75706061044167,0.03,27.70103275615917,0.03,27.618158944143,0.03,27.24697478996703,0.03,26.97816202694666,0.03,26.77438943975675,0.03,26.61452867039306,0.03,26.48572002317675,0.03,26.37968568905318
0.04,28.54642882449138,0.04,28.35815088566779,0.04,28.27886613683326,0.04,28.23210072668034,0.04,28.04303028257512,0.04,27.91398196592909,0.04,27.8200442106647,0.04,27.7484467968478,0.04,27.69196192317662,0.04,27.60829126689731,0.04,27.23652765101343,0.04,26.96721391948632,0.04,26.76300311725213,0.04,26.60275518507996,0.04,26.47360156198962,0.04,26.36725758902137
0.05,28.52750117315365,0.05,28.33888915946718,0.05,28.25959207596414,0.05,28.21488065569412,0.05,28.02493350466097,0.05,27.8951307604955,0.05,27.80053084947209,0.05,27.72834374012929,0.05,27.67132784013616,0.05,27.58673350719505,0.05,27.21386133634874,0.05,26.94365557828798,0.05,26.73870445256246,0.05,26.57782814650231,0.05,26.44813199113587,0.05,26.34131326767533
0.06,28.50778775670771,0.06,28.31878727071797,0.06,28.23861941837406,0.06,28.19310169377573,0.06,28.00227358803964,0.06,27.87169000389222,0.06,27.77639168595471,0.06,27.70357444685152,0.06,27.64598571719586,0.06,27.56038517846718,0.06,27.1870073099705,0.06,26.91633432124044,0.06,26.71095645769901,0.06,26.54969156047465,0.06,26.41964135722231,0.06,26.31249938482626
0.07000000000000001,28.48715898653401,0.07000000000000001,28.29770864576817,0.07000000000000001,28.21653264584237,0.07000000000000001,28.17008188818259,0.07000000000000001,27.97823280488125,0.07000000000000001,27.84674662085123,0.07000000000000001,27.75064231500633,0.07000000000000001,27.67709870857008,0.07000000000000001,27.61885021712356,0.07000000000000001,27.53209181650898,0.07000000000000001,27.15815257972189,0.07000000000000001,26.88696059342346,0.07000000000000001,26.68110858520668,0.07000000000000001,26.51941188365263,0.07000000000000001,26.38896825285222,0.07000000000000001,26.28146708613231
0.08,28.46546422389466,0.08,28.27549487518309,0.08,28.19315239761858,0.08,28.14562242840874,0.08,27.95259255878483,0.08,27.82006483595516,0.08,27.72303182077016,0.08,27.64865210490948,0.08,27.58964475832424,0.08,27.50155572126481,0.08,27.12699916778056,0.08,26.85523503819737,0.08,26.64885962827147,0.08,26.48668588335827,0.08,26.35580738971076,0.08,26.24790907113005
0.09,28.44252843021408,0.09,28.25196231940602,0.09,28.16827104408558,0.09,28.11949341922892,0.09,27.92510064870352,0.09,27.79137311125361,0.09,27.69327165011675,0.09,27.61793092952624,0.09,27.55805200873987,0.09,27.46843594743802,0.09,27.09320734668124,0.09,26.82081755931016,0.09,26.6138683692548,0.09,26.45117086899063,0.09,26.31981445779129,0.09,26.21147937276951
0.09999999999999999,28.41814832911732,0.09999999999999999,28.22689824125858,0.09999999999999999,28.14164845322522,0.09999999999999999,28.09142931645293,0.09999999999999999,27.89546649507676,0.09999999999999999,27.76035920676716,0.09999999999999999,27.66103054121725,0.09999999999999999,27.58458701284125,0.09999999999999999,27.5237086232562,0.09999999999999999,27.43234291718789,0.09999999999999999,27.05639077942369,0.09999999999999999,26.78332285505529,0.09999999999999999,26.57574942582862,0.09999999999999999,26.41248079518786,0.09999999999999999,26.28060244641759,0.09999999999999999,26.17178986702178
0.11,28.39208802772506,0.11,28.20005642141063,0.11,28.11300722556935,0.11,28.06112382268543,0.11,27.86335585200959,0.11,27.72666475577344,0.11,27.62592899728681,0.11,27.54822212120968,0.11,27.48619958914873,0.11,27.3928327037007,0.11,27.01611146328511,0.11,26.74231585917011,0.11,26.53406908791473,0.11,26.37018242670018,0.11,26.23773808818917,0.11,26.12840695914345
0.12,28.3640740466366,0.12,28.17115221795996,0.12,28.08202737132431,0.12,28.02822423035514,0.12,27.82838501435105,0.12,27.68987938425419,0.12,27.58753335437743,0.12,27.50838199992375,0.12,27.44505226454396,0.12,27.34940110312756,0.12,26.97187462005932,0.12,26.69730725127738,0.12,26.48834132491953,0.12,26.32379175870381,0.12,26.19073863194574,0.12,26.08084866358728
0.13,28.33378971396581,0.13,28.13985704107994,0.13,28.04834041971905,0.13,27.99232522225042,0.13,27.79011455942831,0.13,27.64953444200058,0.13,27.54534953681553,0.13,27.46455017820847,0.13,27.39973025119369,0.13,27.30147767858218,0.13,26.92312374343972,0.13,26.64774926922212,0.13,26.43802421359356,0.13,26.27277095820565,0.13,26.1390692236812,0.13,26.02858236814175
