pch18_gm_Id  (ll=2e-07) X,pch18_gm_Id  (ll=2e-07) Y,pch18_gm_Id  (ll=3e-07) X,pch18_gm_Id  (ll=3e-07) Y,pch18_gm_Id  (ll=4e-07) X,pch18_gm_Id  (ll=4e-07) Y,pch18_gm_Id  (ll=5e-07) X,pch18_gm_Id  (ll=5e-07) Y,pch18_gm_Id  (ll=6e-07) X,pch18_gm_Id  (ll=6e-07) Y,pch18_gm_Id  (ll=7e-07) X,pch18_gm_Id  (ll=7e-07) Y,pch18_gm_Id  (ll=8e-07) X,pch18_gm_Id  (ll=8e-07) Y,pch18_gm_Id  (ll=9e-07) X,pch18_gm_Id  (ll=9e-07) Y,pch18_gm_Id  (ll=1e-06) X,pch18_gm_Id  (ll=1e-06) Y,pch18_gm_Id  (ll=1.2e-06) X,pch18_gm_Id  (ll=1.2e-06) Y,pch18_gm_Id  (ll=1.4e-06) X,pch18_gm_Id  (ll=1.4e-06) Y,pch18_gm_Id  (ll=1.6e-06) X,pch18_gm_Id  (ll=1.6e-06) Y,pch18_gm_Id  (ll=1.8e-06) X,pch18_gm_Id  (ll=1.8e-06) Y,pch18_gm_Id  (ll=2e-06) X,pch18_gm_Id  (ll=2e-06) Y,pch18_gm_Id  (ll=2.2e-06) X,pch18_gm_Id  (ll=2.2e-06) Y,pch18_gm_Id  (ll=2.4e-06) X,pch18_gm_Id  (ll=2.4e-06) Y
0,28.24601782690605,0,29.63117039769077,0,30.17977236212978,0,30.47388913774214,0,30.35328296155808,0,30.27201234555881,0,30.21351334097231,0,30.16938136299516,0,30.13489671599033,0,30.08447426117554,0,30.06132086274255,0,30.04422864599238,0,30.0310892314085,0,30.02067139698903,0,30.01220764452758,0,30.00519454077178
0.01,28.23738929650934,0.01,29.62787386543191,0.01,30.1761622240192,0.01,30.47007391668438,0.01,30.34910040783371,0.01,30.26755678451844,0.01,30.20884635136783,0.01,30.16454538902356,0.01,30.12992229883055,0.01,30.07928588138388,0.01,30.05593812899494,0.01,30.03869558592378,0.01,30.02543622283621,0.01,30.01492033037334,0.01,30.00637484382395,0.01,29.99929252041611
0.02,28.21663787974882,0.02,29.62068014928161,0.02,30.17206409600843,0.02,30.46573474381273,0.02,30.34434484486352,0.02,30.26249176421677,0.02,30.20354166489613,0.02,30.15904913471141,0.02,30.12426908445595,0.02,30.07339004927126,0.02,30.04929983988244,0.02,30.03001900154842,0.02,30.01519241181524,0.02,30.00343366742853,0.02,29.99387825944699,0.02,29.98595896009891
0.03,28.19552805074406,0.03,29.59804936676499,0.03,30.1530655215421,0.03,30.45049497641821,0.03,30.32664698964676,0.03,30.24310905904482,0.03,30.18292945830113,0.03,30.13749870195657,0.03,30.10197828626804,0.03,30.05000360352052,0.03,30.02366814397648,0.03,30.0042109554404,0.03,29.98924322792061,0.03,29.97736882161356,0.03,29.96771681130991,0.03,29.95971556115284
0.04,28.17400641463896,0.04,29.57489475698084,0.04,30.12904347765774,0.04,30.42594725314262,0.04,30.30164345496797,0.04,30.2177613972189,0.04,30.15731238665032,0.04,30.1116645525305,0.04,30.0759651530842,0.04,30.0237118461984,0.04,29.997117388732,0.04,29.97745921110676,0.04,29.96233068653076,0.04,29.95032454311857,0.04,29.94056252648021,0.04,29.93246796893768
0.05,28.15201160674222,0.05,29.55113371636303,0.05,30.1043248610321,0.05,30.40064355506338,0.05,30.27581106570258,0.05,30.19153080850576,0.05,30.13077053319354,0.05,30.0848721625115,0.05,30.04896635177194,0.05,29.99639197978796,0.05,29.96950229027439,0.05,29.94961512107855,0.05,29.93430346080403,0.05,29.92214731656909,0.05,29.91226006601908,0.05,29.9040593002337
0.06,28.12947302030412,0.06,29.52667031145147,0.06,30.07879675577337,0.06,30.37445967987634,0.06,30.2490148789811,0.06,30.16427441601726,0.06,30.10315489635643,0.06,30.05696764249895,0.06,30.02082399026607,0.06,29.9678799229989,0.06,29.94065381416935,0.06,29.920505835853,0.06,29.90498566465493,0.06,29.89265877707296,0.06,29.88262900057313,0.06,29.87430737806028
0.07000000000000001,28.10630932913353,0.07000000000000001,29.50139300758875,0.07000000000000001,30.05232735554689,0.07000000000000001,30.34725032876309,0.07000000000000001,30.22109722066103,0.07000000000000001,30.13582541906479,0.07000000000000001,30.07429163837061,0.07000000000000001,30.02777154350709,0.07000000000000001,29.99135402742812,0.07000000000000001,29.93798453859715,0.07000000000000001,29.91037521637205,0.07000000000000001,29.88993029864509,0.07000000000000001,29.87417281201522,0.07000000000000001,29.86165164132113,0.07000000000000001,29.85145971856239,0.07000000000000001,29.84300062083689
0.08,28.08242677449045,0.08,29.47517201401282,0.08,30.02476267388294,0.08,30.31884538915677,0.08,30.1918737398507,0.08,30.1059889868655,0.08,30.04397785916109,0.08,29.99707453779961,0.08,29.96034187929632,0.08,29.90648312700896,0.08,29.87843747630883,0.08,29.85765463486129,0.08,29.84162717340824,0.08,29.82888503845648,0.08,29.81850873640252,0.08,29.80989333565537
0.09,28.0577171823905,0.09,29.44785618774353,0.09,29.99592269965211,0.09,30.28904558674865,0.09,30.16112881363242,0.09,30.07453749140072,0.09,30.01197670255273,0.09,29.96463242761678,0.09,29.92753735025068,0.09,29.87311624133812,0.09,29.84457405854752,0.09,29.82340687686563,0.09,29.80707247385969,0.09,29.79407918766542,0.09,29.78349336024484,0.09,29.77470036734045
0.09999999999999999,28.03205567434942,0.09999999999999999,29.41926943346986,0.09999999999999999,29.96559691926544,0.09999999999999999,30.25761741841582,0.09999999999999999,30.1286102182108,0.09999999999999999,30.04120500003311,0.09999999999999999,29.9780117193558,0.09999999999999999,29.93016040984903,0.09999999999999999,29.89264882023403,0.09999999999999999,29.83758176008429,0.09999999999999999,29.80847494663274,0.09999999999999999,29.78687097360861,0.09999999999999999,29.77018788672838,0.09999999999999999,29.75690938132502,0.09999999999999999,29.74608566170049,0.09999999999999999,29.73709106891242
0.11,28.00529803194906,0.11,29.38920653258389,0.11,29.9335391231381,0.11,30.22428727417105,0.11,30.09402298269972,0.11,30.00568095139585,0.11,29.94176041722048,0.11,29.89332653207934,0.11,29.85533662826526,0.11,29.79952816572542,0.11,29.76977990769412,0.11,29.74768005227698,0.11,29.73060129771649,0.11,29.71699925395233,0.11,29.70590575291582,0.11,29.69668258324532
0.12,27.97727767386746,0.12,29.35742833251175,0.12,29.89946141326146,0.12,30.18873465702136,0.12,30.05702234759443,0.12,29.96760294800358,0.12,29.90284694043687,0.12,29.85374429150069,0.12,29.81520561092535,0.12,29.75854699954371,0.12,29.72807097285135,0.12,29.70540892888865,0.12,29.68788184583597,0.12,29.67391335201676,0.12,29.66251438311826,0.12,29.6530324641216
0.13,27.94780220374592,0.13,29.32365622891076,0.13,29.86302733338629,0.13,30.15058441735727,0.13,30.0172057647079,0.13,29.92654861934608,0.13,29.86083384772003,0.13,29.81096435682545,0.13,29.77179678626455,0.13,29.714164499859,0.13,29.68286416069171,0.13,29.65956591135969,0.13,29.64153179824914,0.13,29.62714907275225,0.13,29.61540493430493,0.13,29.60563072256458
0.14,27.91664948932069,0.14,29.28756587998346,0.14,29.8238440561334,0.14,30.10939793667242,0.14,29.97410390302971,0.14,29.88202654439538,0.14,29.81521299719268,0.14,29.76446543941911,0.14,29.7245782238186,0.14,29.66583248757534,0.14,29.63360053477934,0.14,29.60958400773906,0.14,29.59097788950675,0.14,29.57612811738328,0.14,29.56399497410866,0.14,29.55389146731632
0.15,27.88356323872306,0.15,29.24878010665385,0.15,29.78145358608255,0.15,30.06466322880682,0.15,29.92717067094679,0.15,29.8334662782011,0.15,29.76539561129615,0.15,29.71364440971985,0.15,29.67293521648591,0.15,29.61291864620059,0.15,29.5796367779712,0.15,29.55481175080752,0.15,29.53556235958977,0.15,29.52018771247139,0.15,29.5076176358573,0.15,29.49714442343787
0.16,27.84824805022097,0.16,29.20686095798745,0.16,29.73532297951557,0.16,30.01578398163224,0.16,29.87577233628724,0.16,29.78020761067391,0.16,29.71070168749684,0.16,29.65780585594903,0.16,29.61615997737261,0.16,29.55469646077133,0.16,29.52023559368634,0.16,29.4945039854091,0.16,29.47453406651212,0.16,29.45857199947169,0.16,29.44551324639124,0.16,29.43462676707321
0.17,27.81036392888364,0.17,29.1613009623603,0.17,29.68483364629266,0.17,29.9620676459317,0.17,29.81917592986056,0.17,29.72148930503356,0.17,29.65034905168901,0.17,29.59615142237394,0.17,29.55344123243535,0.17,29.49033523918501,0.17,29.45455641452404,0.17,29.42781314355305,0.17,29.40704023448146,0.17,29.39042418307763,0.17,29.37682181698198,0.17,29.36547591275217
