nch18_Vdsat  (ll=2e-07) X,nch18_Vdsat  (ll=2e-07) Y,nch18_Vdsat  (ll=3e-07) X,nch18_Vdsat  (ll=3e-07) Y,nch18_Vdsat  (ll=4e-07) X,nch18_Vdsat  (ll=4e-07) Y,nch18_Vdsat  (ll=5e-07) X,nch18_Vdsat  (ll=5e-07) Y,nch18_Vdsat  (ll=6e-07) X,nch18_Vdsat  (ll=6e-07) Y,nch18_Vdsat  (ll=7e-07) X,nch18_Vdsat  (ll=7e-07) Y,nch18_Vdsat  (ll=8e-07) X,nch18_Vdsat  (ll=8e-07) Y,nch18_Vdsat  (ll=9e-07) X,nch18_Vdsat  (ll=9e-07) Y,nch18_Vdsat  (ll=1e-06) X,nch18_Vdsat  (ll=1e-06) Y,nch18_Vdsat  (ll=1.2e-06) X,nch18_Vdsat  (ll=1.2e-06) Y,nch18_Vdsat  (ll=1.4e-06) X,nch18_Vdsat  (ll=1.4e-06) Y,nch18_Vdsat  (ll=1.6e-06) X,nch18_Vdsat  (ll=1.6e-06) Y,nch18_Vdsat  (ll=1.8e-06) X,nch18_Vdsat  (ll=1.8e-06) Y,nch18_Vdsat  (ll=2e-06) X,nch18_Vdsat  (ll=2e-06) Y,nch18_Vdsat  (ll=2.2e-06) X,nch18_Vdsat  (ll=2.2e-06) Y,nch18_Vdsat  (ll=2.4e-06) X,nch18_Vdsat  (ll=2.4e-06) Y
0.09999999999999999,0.04210807276895924,0.09999999999999999,0.04285272142911425,0.09999999999999999,0.04297030148203489,0.09999999999999999,0.04296766570554542,0.09999999999999999,0.04293798658030005,0.09999999999999999,0.04290249853211204,0.09999999999999999,0.04286838583446668,0.09999999999999999,0.04283757812767702,0.09999999999999999,0.04281033923365505,0.09999999999999999,0.04276537168225471,0.09999999999999999,0.04224086453302826,0.09999999999999999,0.04184699672046702,0.09999999999999999,0.04154053963150591,0.09999999999999999,0.04129539681303728,0.09999999999999999,0.04109489706311285,0.09999999999999999,0.0409278984531295
0.11,0.04210844242624225,0.11,0.04285318568190213,0.11,0.04297091818287679,0.11,0.04296843489012842,0.11,0.04293896782835505,0.11,0.04290368291567936,0.11,0.04286976401135072,0.11,0.04283914094084856,0.11,0.04281207792934744,0.11,0.0427674377910849,0.11,0.04224325011391161,0.11,0.04184967198450867,0.11,0.04154347895127111,0.11,0.04129857792057471,0.11,0.04109830045366299,0.11,0.0409315069269271
0.12,0.0421089329705524,0.12,0.04285380055000028,0.12,0.04297173418085973,0.12,0.04296945204615425,0.12,0.04294026273442468,0.12,0.04290524363290676,0.12,0.04287157814420036,0.12,0.04284119638867353,0.12,0.04281436315338807,0.12,0.04277015053786237,0.12,0.04224637032872122,0.12,0.04185316131133372,0.12,0.04154730450198255,0.12,0.04130271118033764,0.12,0.04110271648302567,0.12,0.04093618375789954
0.13,0.042109583698591,0.13,0.04285461458913243,0.13,0.04297281343721933,0.13,0.04297079651813779,0.13,0.04294197074116849,0.13,0.04290729921350955,0.13,0.04287396485400021,0.13,0.04284389823989983,0.13,0.04281736493973744,0.13,0.04277371007744838,0.13,0.04225044878910127,0.13,0.04185770942486304,0.13,0.04155228014875747,0.13,0.04130807791087809,0.13,0.04110844246023582,0.13,0.04094224096538079
0.14,0.04211044657159943,0.14,0.04285569186589722,0.14,0.04297424023231871,0.14,0.04297257275684928,0.14,0.04294422243127727,0.14,0.0429100050211921,0.14,0.04287710296595234,0.14,0.04284744753571877,0.14,0.04282130538406938,0.14,0.04277837745475355,0.14,0.04225577593790775,0.14,0.04186363322593693,0.14,0.04155874677600175,0.14,0.04131504086042798,0.14,0.04111586116067686,0.14,0.04095007974501032
0.15,0.04211159024335484,0.15,0.04285711684355398,0.15,0.04297612551844491,0.15,0.04297491812433438,0.15,0.04294718908741815,0.15,0.0429135644552139,0.15,0.04288122624596244,0.15,0.04285210676538126,0.15,0.04282647417182913,0.15,0.0427844926038923,0.15,0.04226272842600794,0.15,0.04187134241223766,0.15,0.04156714403465224,0.15,0.04132406698219902,0.15,0.04112546454088016,0.15,0.04096021504523754
0.16,0.04211310534189677,0.16,0.04285900077106675,0.16,0.04297861520700216,0.16,0.04297801305432687,0.16,0.04295109509071036,0.16,0.04291824343358986,0.16,0.04288663982934252,0.16,0.04285821811345537,0.16,0.04283324852845351,0.16,0.04279249740465712,0.16,0.04227179381323284,0.16,0.04188136566580068,0.16,0.041578037879754,0.16,0.04133575620135315,0.16,0.04113788362936234,0.16,0.04097330648943659
0.17,0.04211511138113759,0.17,0.04286149002075457,0.17,0.0429819009521475,0.17,0.04298209424274063,0.17,0.04295623394978391,0.17,0.0429243890569895,0.17,0.04289374133380604,0.17,0.04286622685534842,0.17,0.04284211874847206,0.17,0.04280296508498983,0.17,0.04228360190772285,0.17,0.04189438374986561,0.17,0.04159215526381942,0.17,0.04135087756278422,0.17,0.04115392600476549,0.17,0.04099019707334592
0.18,0.04211776578328121,0.18,0.04286477694038555,0.18,0.04298623414195404,0.18,0.04298747171501605,0.18,0.04296298894801127,0.18,0.0429324535630335,0.18,0.04290304787558912,0.18,0.04287671121625983,0.18,0.04285372070174921,0.18,0.04281663751354926,0.18,0.04229896431194563,0.18,0.04191127110382437,0.18,0.04161042759518185,0.18,0.04137041438766381,0.18,0.04117462250420606,0.18,0.04101196129705654
0.19,0.04212127562357609,0.19,0.04286911393600739,0.19,0.04299194398903022,0.19,0.04299455082549653,0.19,0.04297185962508976,0.19,0.04294302492620037,0.19,0.04291523046347896,0.19,0.04289042027289709,0.19,0.04286887698853192,0.19,0.04283447220499478,0.19,0.04231892400065287,0.19,0.04193314776890974,0.19,0.04163404480266771,0.19,0.04139562028855404,0.19,0.04120128501937491,0.19,0.04103996459184567
