pch18_ft    (ll=2e-07) X,pch18_ft    (ll=2e-07) Y,pch18_ft    (ll=3e-07) X,pch18_ft    (ll=3e-07) Y,pch18_ft    (ll=4e-07) X,pch18_ft    (ll=4e-07) Y,pch18_ft    (ll=5e-07) X,pch18_ft    (ll=5e-07) Y,pch18_ft    (ll=6e-07) X,pch18_ft    (ll=6e-07) Y,pch18_ft    (ll=7e-07) X,pch18_ft    (ll=7e-07) Y,pch18_ft    (ll=8e-07) X,pch18_ft    (ll=8e-07) Y,pch18_ft    (ll=9e-07) X,pch18_ft    (ll=9e-07) Y,pch18_ft    (ll=1e-06) X,pch18_ft    (ll=1e-06) Y,pch18_ft    (ll=1.2e-06) X,pch18_ft    (ll=1.2e-06) Y,pch18_ft    (ll=1.4e-06) X,pch18_ft    (ll=1.4e-06) Y,pch18_ft    (ll=1.6e-06) X,pch18_ft    (ll=1.6e-06) Y,pch18_ft    (ll=1.8e-06) X,pch18_ft    (ll=1.8e-06) Y,pch18_ft    (ll=2e-06) X,pch18_ft    (ll=2e-06) Y,pch18_ft    (ll=2.2e-06) X,pch18_ft    (ll=2.2e-06) Y,pch18_ft    (ll=2.4e-06) X,pch18_ft    (ll=2.4e-06) Y
0.11,-416848.1235239591,0.11,-275623.1182247773,0.11,-218091.7609117791,0.11,-180393.8413491882,0.11,-172457.3334052058,0.11,-162012.238561057,0.11,-151285.0154561764,0.11,-141106.0965600737,0.11,-131748.7554644289,0.11,-115597.1465441416,0.11,-103012.232703904,0.11,-92553.68327640492,0.11,-83798.03717442862,0.11,-76395.15714910215,0.11,-70072.15173793485,0.11,-64619.25749825392
0.12,-549458.7555133008,0.12,-368226.0803684258,0.12,-292838.1413310822,0.12,-242831.8716361045,0.12,-231725.1567174923,0.12,-217389.9816922955,0.12,-202769.1164553391,0.12,-188946.7295591365,0.12,-176269.9688532649,0.12,-154438.4747356385,0.12,-137466.3314934915,0.12,-123381.1028188867,0.12,-111601.6289659398,0.12,-101650.659708988,0.12,-93157.54121308669,0.12,-85837.9868670867
0.13,-724093.1622002252,0.13,-491773.7027451064,0.13,-393031.1354920745,0.13,-326712.6385538293,0.13,-311178.8073673478,0.13,-291507.2864462768,0.13,-271582.2133887122,0.13,-252815.6063806512,0.13,-235645.8117904274,0.13,-206145.6028271449,0.13,-183265.4213538126,0.13,-164304.5359819222,0.13,-148465.2355403554,0.13,-135096.9646495878,0.13,-123696.2908230724,0.13,-113877.9590261578
0.14,-953984.2260964812,0.14,-656522.0041458086,0.14,-527249.7151804646,0.14,-439319.4686046499,0.14,-417609.064682614,0.14,-390620.7359983688,0.14,-363473.2594501417,0.14,-338000.7044968965,0.14,-314752.6882846519,0.14,-274904.9648376976,0.14,-244074.5462071544,0.14,-218564.2032729946,0.14,-197278.9470841846,0.14,-179332.0149107865,0.14,-164039.7050299673,0.14,-150880.0230120911
0.15,-1256490.466074651,0.15,-876084.3627914464,0.15,-706924.0270912685,0.15,-590370.7454276463,0.15,-560051.4066988903,0.15,-523036.255416278,0.15,-486059.7438474462,0.15,-451497.0021722115,0.15,-420031.4295009737,0.15,-366231.3105402415,0.15,-324711.0140266764,0.15,-290410.506251574,0.15,-261826.8601955191,0.15,-237751.4996825133,0.15,-217256.0851193032,0.15,-199633.5293951878
0.16,-1654362.454577945,0.16,-1168509.615603791,0.16,-947262.1015999212,0.16,-792814.2517636861,0.16,-750507.5727671526,0.16,-699759.8779727014,0.16,-649414.7209934191,0.16,-602537.5712949273,0.16,-559969.656880338,0.16,-487370.5233762889,0.16,-431488.6866936733,0.16,-385401.6499199397,0.16,-347046.9434380887,0.16,-314777.73713282,0.16,-287333.8583918554,0.16,-263757.8056705778
0.17,-2177388.281942032,0.17,-1557695.361040899,0.17,-1268466.419064272,0.17,-1063869.609684588,0.17,-1004887.391132847,0.17,-935343.1318958135,0.17,-866826.0576110935,0.17,-803277.6259597137,0.17,-745720.5824646982,0.17,-647812.4048882357,0.17,-572652.9266906934,0.17,-510776.7943596308,0.17,-459354.3988450035,0.17,-416142.3442967935,0.17,-379430.5615387069,0.17,-347922.9314592089
0.18,-2864526.629091307,0.18,-2075234.623762242,0.18,-1697324.406456992,0.18,-1426389.657892762,0.18,-1344230.817825954,0.18,-1248973.49240498,0.18,-1155770.310271031,0.18,-1069667.198244988,0.18,-991888.2539013218,0.18,-859934.5997886084,0.18,-758920.8894870022,0.18,-675914.5060037774,0.18,-607034.5155992373,0.18,-549225.7650500247,0.18,-500168.4634904151,0.18,-458108.8022029344
0.19,-3766664.569357949,0.19,-2762819.301604528,0.19,-2269277.288764147,0.19,-1910627.555286893,0.19,-1796281.533046592,0.19,-1665867.962087213,0.19,-1539148.17267387,0.19,-1422550.121021328,0.19,-1317509.206722528,0.19,-1139795.740594884,0.19,-1004136.445051169,0.19,-892879.2518249718,0.19,-800702.8598438499,0.19,-723447.8109311562,0.19,-657968.1981782332,0.19,-601891.7525810606
0.2,-4950171.944658926,0.2,-3675353.471354594,0.2,-3031094.329306627,0.2,-2556512.910936322,0.2,-2397493.255764978,0.2,-2219032.156726959,0.2,-2046828.301594698,0.2,-1889023.295963919,0.2,-1747253.921173876,0.2,-1508085.200418697,0.2,-1326035.186144061,0.2,-1177042.787855886,0.2,-1053813.448258149,0.2,-950685.4132743222,0.2,-863393.4519697796,0.2,-788729.5964916361
0.21,-6501465.619048361,0.21,-4884963.00395877,0.21,-4044302.500195533,0.21,-3416554.611896551,0.21,-3195554.319331425,0.21,-2951443.562498648,0.21,-2717536.185072782,0.21,-2504075.014229003,0.21,-2312852.311296994,0.21,-1991212.24677451,0.21,-1747086.334577533,0.21,-1547736.286373475,0.21,-1383163.361286031,0.21,-1245661.223768975,0.21,-1129447.381593481,0.21,-1030184.147584948
0.2200000000000001,-8532845.212074064,0.2200000000000001,-6486123.022679665,0.2200000000000001,-5389541.088634843,0.2200000000000001,-4559494.976758972,0.2200000000000001,-4252507.96921905,0.2200000000000001,-3918697.595466884,0.2200000000000001,-3601095.413590176,0.2200000000000001,-3312484.73387774,0.2200000000000001,-3054705.824186747,0.2200000000000001,-2622469.114741005,0.2200000000000001,-2295325.489837551,0.2200000000000001,-2028834.264397235,0.2200000000000001,-1809287.342040212,0.2200000000000001,-1626192.834327194,0.2200000000000001,-1471709.365596042,0.2200000000000001,-1339970.465473186
0.2300000000000001,-11189916.28212871,0.2300000000000001,-8602157.205680875,0.2300000000000001,-7172019.219635494,0.2300000000000001,-6074829.856613028,0.2300000000000001,-5648513.181865267,0.2300000000000001,-5192104.954910437,0.2300000000000001,-4760965.575986579,0.2300000000000001,-4370894.227371797,0.2300000000000001,-4023569.779666845,0.2300000000000001,-3443116.955972729,0.2300000000000001,-3005003.213404114,0.2300000000000001,-2649083.176790447,0.2300000000000001,-2356551.040553722,0.2300000000000001,-2113112.31928073,0.2300000000000001,-1908126.251883805,0.2300000000000001,-1733653.613150659
0.2400000000000001,-14660975.05306011,0.2400000000000001,-11393384.63186789,0.2400000000000001,-9528238.645549208,0.2400000000000001,-8078266.030347386,0.2400000000000001,-7486213.833906556,0.2400000000000001,-6862127.078487481,0.2400000000000001,-6276902.259007396,0.2400000000000001,-5749830.329238871,0.2400000000000001,-5282053.697108352,0.2400000000000001,-4503105.248180915,0.2400000000000001,-3916738.95422633,0.2400000000000001,-3441860.886263543,0.2400000000000001,-3052636.894491061,0.2400000000000001,-2729564.48916453,0.2400000000000001,-2458184.586775417,0.2400000000000001,-2227739.30242347
