pch18_ft    (ll=2e-07) X,pch18_ft    (ll=2e-07) Y,pch18_ft    (ll=3e-07) X,pch18_ft    (ll=3e-07) Y,pch18_ft    (ll=4e-07) X,pch18_ft    (ll=4e-07) Y,pch18_ft    (ll=5e-07) X,pch18_ft    (ll=5e-07) Y,pch18_ft    (ll=6e-07) X,pch18_ft    (ll=6e-07) Y,pch18_ft    (ll=7e-07) X,pch18_ft    (ll=7e-07) Y,pch18_ft    (ll=8e-07) X,pch18_ft    (ll=8e-07) Y,pch18_ft    (ll=9e-07) X,pch18_ft    (ll=9e-07) Y,pch18_ft    (ll=1e-06) X,pch18_ft    (ll=1e-06) Y,pch18_ft    (ll=1.2e-06) X,pch18_ft    (ll=1.2e-06) Y,pch18_ft    (ll=1.4e-06) X,pch18_ft    (ll=1.4e-06) Y,pch18_ft    (ll=1.6e-06) X,pch18_ft    (ll=1.6e-06) Y,pch18_ft    (ll=1.8e-06) X,pch18_ft    (ll=1.8e-06) Y,pch18_ft    (ll=2e-06) X,pch18_ft    (ll=2e-06) Y,pch18_ft    (ll=2.2e-06) X,pch18_ft    (ll=2.2e-06) Y,pch18_ft    (ll=2.4e-06) X,pch18_ft    (ll=2.4e-06) Y
0.4500000000000002,-2043381143.121787,0.4500000000000002,-1207421858.895731,0.4500000000000002,-745455901.2395004,0.4500000000000002,-494264801.7678243,0.4500000000000002,-351872110.0058078,0.4500000000000002,-262006647.000863,0.4500000000000002,-202173732.0586048,0.4500000000000002,-160509066.7577727,0.4500000000000002,-130405119.9248706,0.4500000000000002,-90844185.02964082,0.4500000000000002,-67507884.43146464,0.4500000000000002,-52125664.95166013,0.4500000000000002,-41456964.71502424,0.4500000000000002,-33756767.31545155,0.4500000000000002,-28018329.21316247,0.4500000000000002,-23627958.47743731
0.4600000000000002,-2382482732.592831,0.4600000000000002,-1340787295.993309,0.4600000000000002,-807014661.695966,0.4600000000000002,-527800215.6782099,0.4600000000000002,-373464548.1614216,0.4600000000000002,-277070143.6458781,0.4600000000000002,-213282296.9206781,0.4600000000000002,-169040353.9260861,0.4600000000000002,-137163057.9993607,0.4600000000000002,-95385469.01120993,0.4600000000000002,-70877178.89201301,0.4600000000000002,-54725737.85818681,0.4600000000000002,-43524447.12915595,0.4600000000000002,-35440109.3669408,0.4600000000000002,-29415462.21961294,0.4600000000000002,-24806126.15758174
0.4700000000000003,-2745053590.04486,0.4700000000000003,-1473027447.631875,0.4700000000000003,-866777451.8064681,0.4700000000000003,-560337592.3022904,0.4700000000000003,-394644428.8378276,0.4700000000000003,-291974437.9152476,0.4700000000000003,-224347467.6752389,0.4700000000000003,-177583035.2683332,0.4700000000000003,-143958353.2908815,0.4700000000000003,-99980161.38434601,0.4700000000000003,-74298566.97127049,0.4700000000000003,-57372168.08960833,0.4700000000000003,-45632138.87213594,0.4700000000000003,-37158150.98740906,0.4700000000000003,-30842613.99677743,0.4700000000000003,-26010402.83291618
0.4800000000000003,-3125780375.820694,0.4800000000000003,-1603039717.994788,0.4800000000000003,-924910592.8476084,0.4800000000000003,-592184707.0937011,0.4800000000000003,-415622450.0786015,0.4800000000000003,-306863536.1258161,0.4800000000000003,-235471019.0487675,0.4800000000000003,-186211674.9816071,0.4800000000000003,-150847423.7462175,0.4800000000000003,-104663206.613852,0.4800000000000003,-77794490.95368518,0.4800000000000003,-60080454.52667721,0.4800000000000003,-47791333.26393421,0.4800000000000003,-38919464.36350288,0.4800000000000003,-32306502.822673,0.4800000000000003,-27246190.50716214
0.4900000000000003,-3518875251.396782,0.4900000000000003,-1730284584.999921,0.4900000000000003,-981795688.5087525,0.4900000000000003,-623720803.7518955,0.4900000000000003,-436640203.1555018,0.4900000000000003,-321898738.9196389,0.4900000000000003,-246766221.0567721,0.4900000000000003,-195009320.6762848,0.4900000000000003,-157893354.4288862,0.4900000000000003,-109474120.5559708,0.4900000000000003,-81391214.9934158,0.4900000000000003,-62869272.59049083,0.4900000000000003,-50015976.59269579,0.4900000000000003,-40734856.65315145,0.4900000000000003,-33815748.16607789,0.4900000000000003,-28520524.04832868
0.5000000000000002,-3918661096.073149,0.5000000000000002,-1854766079.602285,0.5000000000000002,-1037969270.472082,0.5000000000000002,-655360847.9002761,0.5000000000000002,-457951746.6060339,0.5000000000000002,-337247187.0642806,0.5000000000000002,-258349801.3677389,0.5000000000000002,-204061423.1065686,0.5000000000000002,-165161072.5681098,0.5000000000000002,-114453675.4552587,0.5000000000000002,-85116286.02796711,0.5000000000000002,-65758462.85657627,0.5000000000000002,-52321035.50727947,0.5000000000000002,-42616019.0757893,0.5000000000000002,-35379734.97319755,0.5000000000000002,-29841103.49044831
0.5100000000000002,-4320129876.695167,0.5100000000000002,-1976951939.823925,0.5100000000000002,-1094055910.01352,0.5100000000000002,-687520998.799455,0.5100000000000002,-479805043.0279775,0.5100000000000002,-353070001.8702444,0.5100000000000002,-270333547.1370546,0.5100000000000002,-213449497.9977608,0.5100000000000002,-172712358.1766888,0.5100000000000002,-119640544.264289,0.5100000000000002,-88996007.05024524,0.5100000000000002,-68767060.49073753,0.5100000000000002,-54720918.57626189,0.5100000000000002,-44574235.1947282,0.5100000000000002,-37007537.7550441,0.5100000000000002,-31215384.47083053
0.5200000000000002,-4719375604.411373,0.5200000000000002,-2097653148.916096,0.5200000000000002,-1150703586.972854,0.5200000000000002,-720589001.9662393,0.5200000000000002,-502425860.8404559,0.5200000000000002,-369511973.285261,0.5200000000000002,-282817036.3226585,0.5200000000000002,-223245684.5303529,0.5200000000000002,-180601600.0015049,0.5200000000000002,-125068497.383392,0.5200000000000002,-93053348.10921547,0.5200000000000002,-71911681.46676186,0.5200000000000002,-57228194.16853173,0.5200000000000002,-46619338.9851158,0.5200000000000002,-38707057.88577381,0.5200000000000002,-32649852.64564996
0.5300000000000002,-5113836169.369474,0.5300000000000002,-2217886719.011536,0.5300000000000002,-1208528550.551683,0.5300000000000002,-754901945.1244584,0.5300000000000002,-526005795.0009635,0.5300000000000002,-386693968.6150798,0.5300000000000002,-295882348.7687498,0.5300000000000002,-233508830.8612853,0.5300000000000002,-188872774.6501954,0.5300000000000002,-130764443.4005836,0.5300000000000002,-97306495.06788486,0.5300000000000002,-75205408.43223135,0.5300000000000002,-59852710.38034885,0.5300000000000002,-48759003.31020501,0.5300000000000002,-40484437.1649225,0.5300000000000002,-34149532.46081141
0.5400000000000003,-5502326568.102517,0.5400000000000003,-2338743596.19546,0.5400000000000003,-1268073900.761342,0.5400000000000003,-790732159.0307939,0.5400000000000003,-550694942.8162621,0.5400000000000003,-404708419.817704,0.5400000000000003,-309590993.5851029,0.5400000000000003,-244282263.3199798,0.5400000000000003,-197557753.0424862,0.5400000000000003,-136747359.5814227,0.5400000000000003,-101768058.4104858,0.5400000000000003,-78657185.65311159,0.5400000000000003,-62601119.34152655,0.5400000000000003,-50998357.19567557,0.5400000000000003,-42343743.85922673,0.5400000000000003,-35717725.33514941
0.5500000000000003,-5884892016.433035,0.5500000000000003,-2461277274.705803,0.5500000000000003,-1329782969.72157,0.5500000000000003,-828280662.7887483,0.5500000000000003,-576598897.8990401,0.5500000000000003,-423617648.0164295,0.5500000000000003,-323982858.5767266,0.5500000000000003,-255593075.1953646,0.5500000000000003,-206675792.5205996,0.5500000000000003,-143028003.0479795,0.5500000000000003,-106444855.2109918,0.5500000000000003,-82271652.0805048,0.5500000000000003,-65476746.92676812,0.5500000000000003,-53339882.17720874,0.5500000000000003,-44286888.7771568,0.5500000000000003,-37355940.62884062
0.5600000000000003,-6262539266.135736,0.5600000000000003,-2586421020.635034,0.5600000000000003,-1393986198.687444,0.5600000000000003,-867676740.0244874,0.5600000000000003,-603779234.3626077,0.5600000000000003,-443454462.0736648,0.5600000000000003,-339076765.4925967,0.5600000000000003,-267452611.677049,0.5600000000000003,-216233954.7561046,0.5600000000000003,-149609223.2919107,0.5600000000000003,-111338129.5098306,0.5600000000000003,-86049307.44677573,0.5600000000000003,-68479723.60564393,0.5600000000000003,-55783518.66014466,0.5600000000000003,-46313713.75829671,0.5600000000000003,-39063970.60606336
0.5700000000000003,-6636913223.653697,0.5700000000000003,-2714934920.163346,0.5700000000000003,-1460898893.429819,0.5700000000000003,-908981962.8105904,0.5700000000000003,-632256498.5366993,0.5700000000000003,-464224374.4579233,0.5700000000000003,-354872156.3922971,0.5700000000000003,-279857790.0613879,0.5700000000000003,-226228165.1634646,0.5700000000000003,-156486686.0383367,0.5700000000000003,-116444070.876289,0.5700000000000003,-89986903.64832576,0.5700000000000003,-71607291.09002492,0.5700000000000003,-58326913.05231423,0.5700000000000003,-48422195.29700724,0.5700000000000003,-40840061.23160651
0.5800000000000003,-7009977334.772864,0.5800000000000003,-2847379473.516539,0.5800000000000003,-1530626857.790295,0.5800000000000003,-952197081.9083055,0.5800000000000003,-662014789.3357991,0.5800000000000003,-485908826.5331408,0.5800000000000003,-371351476.8128831,0.5800000000000003,-292792928.6612648,0.5800000000000003,-236644659.1223806,0.5800000000000003,-163649841.0417496,0.5800000000000003,-121754508.6381702,0.5800000000000003,-94077967.97757019,0.5800000000000003,-74854211.23805615,0.5800000000000003,-60965746.32590452,0.5800000000000003,-50608714.43094023,0.5800000000000003,-42681137.87532898
0.5900000000000003,-7383738103.620727,0.5900000000000003,-2984110242.426112,0.5900000000000003,-1603177129.022116,0.5900000000000003,-997270487.2252109,0.5900000000000003,-693007176.5552515,0.5900000000000003,-508468929.7685896,0.5900000000000003,-388482905.6290897,0.5900000000000003,-306231822.9654481,0.5900000000000003,-247461612.3520163,0.5900000000000003,-171083001.987011,0.5900000000000003,-127257685.7896284,0.5900000000000003,-98313385.34185889,0.5900000000000003,-78213220.10491021,0.5900000000000003,-63694098.08935624,0.5900000000000003,-52868355.19903888,0.5900000000000003,-44583054.44266547
0.6000000000000003,-7760034375.641504,0.6000000000000003,-3125287592.828695,0.6000000000000003,-1678471551.642429,0.6000000000000003,-1044107273.076494,0.6000000000000003,-725161398.71899,0.6000000000000003,-531849357.3689956,0.6000000000000003,-406223173.6065264,0.6000000000000003,-320139877.3269306,0.6000000000000003,-258650807.5103915,0.6000000000000003,-178766443.0240497,0.6000000000000003,-132939043.3254501,0.6000000000000003,-102681987.1010692,0.6000000000000003,-81675486.23497771,0.6000000000000003,-66504813.37999192,0.6000000000000003,-55195204.82463701,0.6000000000000003,-46540843.5652478
0.6100000000000003,-8140395761.590795,0.6100000000000003,-3270896158.468216,0.6100000000000003,-1756361503.833802,0.6100000000000003,-1092578241.607485,0.6100000000000003,-758385455.3209743,0.6100000000000003,-555982135.190433,0.6100000000000003,-424520294.2027625,0.6100000000000003,-334476161.671082,0.6100000000000003,-270179236.7578026,0.6100000000000003,-186677447.7159482,0.6100000000000003,-138781968.6204359,0.6100000000000003,-107171111.5990958,0.6100000000000003,-85231046.02091061,0.6100000000000003,-69389850.46958129,0.6100000000000003,-57582637.90596601,0.6100000000000003,-48548953.12987716
0.6200000000000003,-8525963837.57724,0.6200000000000003,-3420769695.564867,0.6200000000000003,-1836642608.518255,0.6200000000000003,-1142528414.669677,0.6200000000000003,-792572846.0674405,0.6200000000000003,-580790171.6117842,0.6200000000000003,-443316094.7019004,0.6200000000000003,-349195310.961005,0.6200000000000003,-282010577.4508119,0.6200000000000003,-194791270.5537272,0.6200000000000003,-144768479.2779893,0.6200000000000003,-111767115.0120624,0.6200000000000003,-88869199.59287234,0.6200000000000003,-72340596.54078613,0.6200000000000003,-60023573.93634927,0.6200000000000003,-50601460.30937895
0.6300000000000003,-8917464297.448635,0.6300000000000003,-3574618115.476225,0.6300000000000003,-1919068673.033324,0.6300000000000003,-1193784797.736613,0.6300000000000003,-827607311.2463998,0.6300000000000003,-606190433.0679352,0.6300000000000003,-462548483.3813377,0.6300000000000003,-364249220.7008454,0.6300000000000003,-294106505.6546015,0.6300000000000003,-203081989.0452813,0.6300000000000003,-150879826.903436,0.6300000000000003,-116455821.0344227,0.6300000000000003,-92578858.45925881,0.6300000000000003,-75348144.3278005,0.6300000000000003,-62510702.59244042,0.6300000000000003,-52692258.5292445
0.6400000000000003,-9315216733.687645,0.6400000000000003,-3732054468.858309,0.6400000000000003,-2003364404.585884,0.6400000000000003,-1246163259.844072,0.6400000000000003,-863366998.6155461,0.6400000000000003,-632096719.1721004,0.6400000000000003,-482153421.9656944,0.6400000000000003,-379588516.7897211,0.6400000000000003,-306427831.5201837,0.6400000000000003,-211523236.9089015,0.6400000000000003,-157097014.3820957,0.6400000000000003,-121222904.8391793,0.6400000000000003,-96348841.52757816,0.6400000000000003,-78403527.15147585,0.6400000000000003,-65036674.78040344,0.6400000000000003,-54815215.76326146
0.6500000000000004,-9719169649.146549,0.6500000000000004,-3892620438.619252,0.6500000000000004,-2089236661.069834,0.6500000000000004,-1299474474.751419,0.6500000000000004,-899728030.7684025,0.6500000000000004,-658422023.6239909,0.6500000000000004,-502066595.5500642,0.6500000000000004,-395163795.1194711,0.6500000000000004,-318935453.7592173,0.6500000000000004,-220088817.4005488,0.6500000000000004,-163401226.4080656,0.6500000000000004,-126054211.402263,0.6500000000000004,-100168119.7599728,0.6500000000000004,-81497912.67780931,0.6500000000000004,-67594259.79687269,0.6500000000000004,-56964304.51862304
0.6600000000000004,-10128950390.18879,0.6600000000000004,-4055809480.544662,0.6600000000000004,-2176384140.988221,0.6600000000000004,-1353528922.610851,0.6600000000000004,-936567479.4734342,0.6600000000000004,-685080488.6966611,0.6600000000000004,-522224787.4719305,0.6600000000000004,-410926637.6646825,0.6600000000000004,-331591139.1844009,0.6600000000000004,-228753201.3978713,0.6600000000000004,-169774177.0319874,0.6600000000000004,-130936011.2942226,0.6600000000000004,-104026012.0506487,0.6600000000000004,-84622757.58365504,0.6600000000000004,-70176470.46928963,0.6600000000000004,-59133705.11920165
0.6700000000000004,-10543922091.64038,0.6700000000000004,-4221087162.357371,0.6700000000000004,-2264505512.229598,0.6700000000000004,-1408140987.349626,0.6700000000000004,-973765774.9879656,0.6700000000000004,-711988975.2520087,0.6700000000000004,-542566976.5536109,0.6700000000000004,-426830419.1362708,0.6700000000000004,-344358138.8769587,0.6700000000000004,-237491918.4032587,0.6700000000000004,-176198380.4991436,0.6700000000000004,-135855198.8926212,0.6700000000000004,-107912336.3292311,0.6700000000000004,-87769926.429662,0.6700000000000004,-72776659.04031119,0.6700000000000004,-61317884.63572808
0.6800000000000004,-10963241959.69526,0.6800000000000004,-4387908534.153288,0.6800000000000004,-2353306042.55869,0.6800000000000004,-1463132208.690691,0.6800000000000004,-1011208592.250075,0.6800000000000004,-739068279.2010564,0.6800000000000004,-563035180.3226861,0.6800000000000004,-442830922.7552332,0.6800000000000004,-357201655.9225852,0.6800000000000004,-246281850.7194044,0.6800000000000004,-182657353.0834696,0.6800000000000004,-140799439.0024941,0.6800000000000004,-111817520.6693332,0.6800000000000004,-90931778.64036304,0.6800000000000004,-75388587.03724551,0.6800000000000004,-63511654.1978137
0.6900000000000004,-11385917083.50048,0.6900000000000004,-4555732551.465824,0.6900000000000004,-2442502835.387816,0.6900000000000004,-1518333762.98346,0.6900000000000004,-1048788264.368564,0.6900000000000004,-766244030.5955822,0.6900000000000004,-583575071.3249354,0.6900000000000004,-458886786.1670084,0.6900000000000004,-370089181.4621555,0.6900000000000004,-255101442.1142156,0.6900000000000004,-189135754.3043886,0.6900000000000004,-145757268.3346267,0.6900000000000004,-115732679.5099932,0.6900000000000004,-94101227.73303244,0.6900000000000004,-78006472.55069669,0.6900000000000004,-65710207.56511796
0.7000000000000004,-11810855414.53646,0.7000000000000004,-4724033694.509749,0.7000000000000004,-2531828799.516829,0.7000000000000004,-1573588256.042851,0.7000000000000004,-1086404778.391212,0.7000000000000004,-793447314.1033937,0.7000000000000004,-604136395.2021692,0.7000000000000004,-474959799.5165787,0.7000000000000004,-382990716.472361,0.7000000000000004,-263930832.6194381,0.7000000000000004,-195619476.0631023,0.7000000000000004,-150718158.3546427,0.7000000000000004,-119649660.1163588,0.7000000000000004,-97271776.93215735,0.7000000000000004,-80625018.32930031,0.7000000000000004,-67909143.81111363
0.7100000000000004,-12236910621.7499,0.7100000000000004,-4892311003.415893,0.7100000000000004,-2621035495.407401,0.7100000000000004,-1628750915.415851,0.7100000000000004,-1123966409.887662,0.7100000000000004,-820615050.1639891,0.7100000000000004,-624673219.32507,0.7100000000000004,-491015077.6332023,0.7100000000000004,-395878896.5364222,0.7100000000000004,-272751930.9077995,0.7100000000000004,-202095688.0117429,0.7100000000000004,-155672545.80314,0.7100000000000004,-123561064.2133072,0.7100000000000004,-100437535.1348467,0.7100000000000004,-83239423.94552664,0.7100000000000004,-70104476.83836284
0.7200000000000004,-12662920287.11751,0.7200000000000004,-5060094793.209983,0.7200000000000004,-2709895006.026522,0.7200000000000004,-1683690269.893591,0.7200000000000004,-1161390052.130691,0.7200000000000004,-847690175.1482731,0.7200000000000004,-645144039.8284218,0.7200000000000004,-507021127.4246546,0.7200000000000004,-408729036.1179264,0.7200000000000004,-281548435.1217024,0.7200000000000004,-208552846.9894283,0.7200000000000004,-160611836.788968,0.7200000000000004,-127460249.3932074,0.7200000000000004,-103593216.9122622,0.7200000000000004,-85845385.04889484,0.7200000000000004,-72292634.23892416
0.7300000000000004,-13087737421.62701,0.7300000000000004,-5226951333.216552,0.7300000000000004,-2798200979.346546,0.7300000000000004,-1738288401.453947,0.7300000000000004,-1198601293.154065,0.7300000000000004,-874621656.756879,0.7300000000000004,-665511773.1904826,0.7300000000000004,-522949830.1832679,0.7300000000000004,-421519107.6933724,0.7300000000000004,-290305812.2030559,0.7300000000000004,-214980677.7130249,0.7300000000000004,-165528389.8421959,0.7300000000000004,-131341314.4802907,0.7300000000000004,-106734129.8862061,0.7300000000000004,-88439082.43277732,0.7300000000000004,-74470447.7669417
0.7400000000000004,-13510255617.33967,0.7400000000000004,-5392485779.90694,0.7400000000000004,-2885768983.770813,0.7400000000000004,-1792440849.861716,0.7400000000000004,-1235534290.184894,0.7400000000000004,-901364378.0223908,0.7400000000000004,-685743656.2772,0.7400000000000004,-538776356.7471362,0.7400000000000004,-434229669.6766378,0.7400000000000004,-299011244.7938269,0.7400000000000004,-221370131.1663582,0.7400000000000004,-170415482.7324686,0.7400000000000004,-135199072.5694032,0.7400000000000004,-109856152.4404777,0.7400000000000004,-91017163.3255122,0.7400000000000004,-76635137.42428359
0.7500000000000004,-13929428356.55605,0.7500000000000004,-5556343644.583271,0.7500000000000004,-2972436308.362772,0.7500000000000004,-1846056243.524003,0.7500000000000004,-1272131486.31288,0.7500000000000004,-927878919.9173628,0.7500000000000004,-705811076.2397721,0.7500000000000004,-554479031.4926757,0.7500000000000004,-446843755.5000872,0.7500000000000004,-307653553.7168934,0.7500000000000004,-227713326.3435715,0.7500000000000004,-175267267.2520103,0.7500000000000004,-139029014.9768274,0.7500000000000004,-112955704.3375755,0.7500000000000004,-93576716.99515088,0.7500000000000004,-78784290.89023103
0.7600000000000005,-14344283111.56525,0.7600000000000005,-5718211061.202453,0.7600000000000005,-3058061327.923423,0.7600000000000005,-1899055722.499529,0.7600000000000005,-1308343209.134162,0.7600000000000005,-954131268.9537598,0.7600000000000005,-725689348.980269,0.7600000000000005,-570039159.0839261,0.7600000000000005,-459346734.5973468,0.7600000000000005,-316223102.9664337,0.7600000000000005,-234003480.2116806,0.7600000000000005,-180078715.5604964,0.7600000000000005,-142827268.8678905,0.7600000000000005,-116029712.4302976,0.7600000000000005,-96115246.4438654,0.7600000000000005,-80915839.76422139
0.7700000000000005,-14753930915.68122,0.7700000000000005,-5877814097.86868,0.7700000000000005,-3142522539.675128,0.7700000000000005,-1951372211.319598,0.7700000000000005,-1344127185.799994,0.7700000000000005,-980092472.4870199,0.7700000000000005,-745357462.2199391,0.7700000000000005,-585440825.8672628,0.7700000000000005,-471726154.4354584,0.7700000000000005,-324711693.0825446,0.7700000000000005,-240234829.9945539,0.7700000000000005,-184845561.1130199,0.7700000000000005,-146590550.876354,0.7700000000000005,-119075573.297275,0.7700000000000005,-98630637.67272083,0.7700000000000005,-83028033.8443673
0.7800000000000005,-15157572088.49574,0.7800000000000005,-6034917330.303224,0.7800000000000005,-3225717364.406032,0.7800000000000005,-2002949590.94163,0.7800000000000005,-1379448003.658407,0.7800000000000005,-1005738260.863246,0.7800000000000005,-764797796.6217706,0.7800000000000005,-600670685.8515016,0.7800000000000005,-483971571.2242396,0.7800000000000005,-333112447.7888811,0.7800000000000005,-246402551.167311,0.7800000000000005,-189564236.6573903,0.7800000000000005,-150316118.6149942,0.7800000000000005,-122091114.2995297,0.7800000000000005,-101121127.7264462,0.7800000000000005,-85119414.43902913
0.7900000000000005,-15554498770.29435,0.7900000000000005,-6189321868.743266,0.7900000000000005,-3307560791.084312,0.7900000000000005,-2053741811.070991,0.7900000000000005,-1414276540.686129,0.7900000000000005,-1031048652.183562,0.7900000000000005,-783995836.0068201,0.7900000000000005,-615717739.4039489,0.7900000000000005,-496074375.5255746,0.7900000000000005,-341419697.8574876,0.7900000000000005,-252502673.9000958,0.7900000000000005,-194231811.3022745,0.7900000000000005,-154001721.60178,0.7900000000000005,-125074554.2566673,0.7900000000000005,-103585272.4847323,0.7900000000000005,-87188787.50695066
0.8000000000000005,-15944094873.23723,0.8000000000000005,-6340863002.665051,0.8000000000000005,-3387983930.691844,0.8000000000000005,-2103711976.512886,0.8000000000000005,-1448589385.299915,0.8000000000000005,-1056007552.3814,0.8000000000000005,-802939875.510806,0.8000000000000005,-630573111.1557071,0.8000000000000005,-508027617.718608,0.8000000000000005,-349628865.3446095,0.8000000000000005,-258532000.1112805,0.8000000000000005,-198845928.2279546,0.8000000000000005,-157645552.7948412,0.8000000000000005,-128024464.6783973,0.8000000000000005,-106021914.9529033,0.8000000000000005,-89235197.24446583
0.8100000000000005,-16325833998.2002,0.8100000000000005,-6489407601.555767,0.8100000000000005,-3466932532.717553,0.8100000000000005,-2152831434.323018,0.8100000000000005,-1482368260.991569,0.8100000000000005,-1080602360.560946,0.8100000000000005,-821620734.5805613,0.8100000000000005,-645229832.1615548,0.8100000000000005,-519825837.1598345,0.8100000000000005,-357736350.6211149,0.8100000000000005,-264488022.7847238,0.8100000000000005,-203404744.2379915,0.8100000000000005,-161246201.6424209,0.8100000000000005,-130939732.2598045,0.8100000000000005,-108430154.6205204,0.8100000000000005,-91257900.58584552
0.8200000000000005,-16699275801.94938,0.8200000000000005,-6634851385.454541,0.8200000000000005,-3544365506.633418,0.8200000000000005,-2201078882.411283,0.8200000000000005,-1515599467.589988,0.8200000000000005,-1104823587.145929,0.8200000000000005,-840031480.0173506,0.8200000000000005,-659682630.1052299,0.8200000000000005,-531464897.9119604,0.8200000000000005,-365739424.0012937,0.8200000000000005,-270368848.7730967,0.8200000000000005,-207906872.0314163,0.8200000000000005,-164802609.3098686,0.8200000000000005,-133819523.155925,0.8200000000000005,-110809318.3002854,0.8200000000000005,-93256342.95388807
0.8300000000000005,-17064061233.87246,0.8300000000000005,-6777116156.658691,0.8300000000000005,-3620253480.872537,0.8300000000000005,-2248439514.953634,0.8300000000000005,-1548273347.823539,0.8300000000000005,-1128664490.33726,0.8300000000000005,-858167162.8329219,0.8300000000000005,-673927730.2757473,0.8300000000000005,-542941833.0976201,0.8300000000000005,-373636123.2503093,0.8300000000000005,-276173125.9454492,0.8300000000000005,-212351325.8081519,0.8300000000000005,-168314026.5416941,0.8300000000000005,-136663249.3902821,0.8300000000000005,-113158932.7295952,0.8300000000000005,-95230135.4906043
0.8400000000000005,-17419906997.8004,0.8400000000000005,-6916147064.134129,0.8400000000000005,-3694577423.373565,0.8400000000000005,-2294904215.473742,0.8400000000000005,-1580383785.220482,0.8400000000000005,-1152120734.658844,0.8400000000000005,-876024571.4798617,0.8400000000000005,-687962669.1526443,0.8400000000000005,-554254699.2540833,0.8400000000000005,-381425157.8166561,0.8400000000000005,-281899975.2370668,0.8400000000000005,-216737470.6006923,0.8400000000000005,-171779974.4492477,0.8400000000000005,-139470537.6202579,0.8400000000000005,-115478699.1107239,0.8400000000000005,-97179033.91025634
0.8500000000000005,-17766599534.60131,0.8500000000000005,-7051909954.884024,0.8500000000000005,-3767327340.615093,0.8500000000000005,-2340468804.726619,0.8500000000000005,-1611927737.211209,0.8500000000000005,-1175190073.959123,0.8500000000000005,-893602003.0321715,0.8500000000000005,-701786121.7131281,0.8500000000000005,-565402441.5106934,0.8500000000000005,-389105820.283197,0.8500000000000005,-287548927.9165102,0.8500000000000005,-221064975.5478167,0.8500000000000005,-175200208.3797517,0.8500000000000005,-142241200.3762464,0.8500000000000005,-117768469.6802679,0.8500000000000005,-99102919.0467858
0.8600000000000005,-18103988766.47937,0.8600000000000005,-7184388851.787515,0.8600000000000005,-3838501066.157301,0.8600000000000005,-2385133347.486466,0.8600000000000005,-1642904805.54014,0.8600000000000005,-1197872060.099834,0.8600000000000005,-910899053.1009681,0.8600000000000005,-715397742.9936813,0.8600000000000005,-576384769.9678967,0.8600000000000005,-396677905.2493367,0.8600000000000005,-293119868.1920242,0.8600000000000005,-225333771.1858908,0.8600000000000005,-178574684.916022,0.8600000000000005,-144975209.8081492,0.8600000000000005,-120028226.3313985,0.8600000000000005,-101001779.1125639
0.8700000000000006,-18431981794.99188,0.8700000000000006,-7313583585.092014,0.8700000000000006,-3908103144.923657,0.8700000000000006,-2428901519.936199,0.8700000000000006,-1673316844.708677,0.8700000000000006,-1220167777.670259,0.8700000000000006,-927916424.6501195,0.8700000000000006,-728798023.9848653,0.8700000000000006,-587202047.3110018,0.8700000000000006,-404141635.638219,0.8700000000000006,-298612981.1300595,0.8700000000000006,-229544010.7251387,0.8700000000000006,-181903531.9743415,0.8700000000000006,-147672673.9086984,0.8700000000000006,-122258061.2610111,0.8700000000000006,-102875693.6431891
0.8800000000000006,-18750536701.94886,0.8800000000000006,-7439507594.634298,0.8800000000000006,-3976143815.667561,0.8800000000000006,-2471780037.494172,0.8800000000000006,-1703167608.10403,0.8800000000000006,-1242079604.380845,0.8800000000000006,-944655755.4033127,0.8800000000000006,-741988161.5924104,0.8800000000000006,-597855187.4290979,0.8800000000000006,-411497596.2572098,0.8800000000000006,-304028705.7462355,0.8800000000000006,-233696035.1970425,0.8800000000000006,-185187021.9067038,0.8800000000000006,-150333815.1353307,0.8800000000000006,-124458159.5755938,0.8800000000000006,-104724819.0717214
0.8900000000000006,-19059656565.53088,0.8900000000000006,-7562185911.746222,0.8900000000000006,-4042638091.145235,0.8900000000000006,-2513778141.516679,0.8900000000000006,-1732462430.673157,0.8900000000000006,-1263610996.282232,0.8900000000000006,-961119463.1840074,0.8900000000000006,-754969942.1430815,0.8900000000000006,-608345564.6166937,0.8900000000000006,-418746674.3189327,0.8900000000000006,-309367693.0473055,0.8900000000000006,-237790342.3003656,0.8900000000000006,-188425547.4695573,0.8900000000000006,-152958951.3180349,0.8900000000000006,-126628783.762233,0.8900000000000006,-106549375.8533736
0.9000000000000006,-19359383772.85622,0.9000000000000006,-7681653323.425724,0.9000000000000006,-4107604933.325954,0.9000000000000006,-2554907142.305016,0.9000000000000006,-1761207946.431452,0.9000000000000006,-1284766296.594484,0.9000000000000006,-977310608.2821409,0.9000000000000006,-767745637.7344282,0.9000000000000006,-618674932.8001142,0.9000000000000006,-425890006.5455909,0.9000000000000006,-314630768.7462665,0.9000000000000006,-241827558.7331097,0.9000000000000006,-191619600.4911849,0.9000000000000006,-155548478.7174048,0.9000000000000006,-128770259.9127092,0.9000000000000006,-108349637.0466396
