pch18_Id_W  (ll=2e-07) X,pch18_Id_W  (ll=2e-07) Y,pch18_Id_W  (ll=3e-07) X,pch18_Id_W  (ll=3e-07) Y,pch18_Id_W  (ll=4e-07) X,pch18_Id_W  (ll=4e-07) Y,pch18_Id_W  (ll=5e-07) X,pch18_Id_W  (ll=5e-07) Y,pch18_Id_W  (ll=6e-07) X,pch18_Id_W  (ll=6e-07) Y,pch18_Id_W  (ll=7e-07) X,pch18_Id_W  (ll=7e-07) Y,pch18_Id_W  (ll=8e-07) X,pch18_Id_W  (ll=8e-07) Y,pch18_Id_W  (ll=9e-07) X,pch18_Id_W  (ll=9e-07) Y,pch18_Id_W  (ll=1e-06) X,pch18_Id_W  (ll=1e-06) Y,pch18_Id_W  (ll=1.2e-06) X,pch18_Id_W  (ll=1.2e-06) Y,pch18_Id_W  (ll=1.4e-06) X,pch18_Id_W  (ll=1.4e-06) Y,pch18_Id_W  (ll=1.6e-06) X,pch18_Id_W  (ll=1.6e-06) Y,pch18_Id_W  (ll=1.8e-06) X,pch18_Id_W  (ll=1.8e-06) Y,pch18_Id_W  (ll=2e-06) X,pch18_Id_W  (ll=2e-06) Y,pch18_Id_W  (ll=2.2e-06) X,pch18_Id_W  (ll=2.2e-06) Y,pch18_Id_W  (ll=2.4e-06) X,pch18_Id_W  (ll=2.4e-06) Y
0.09999999999999999,-3.095842776192619e-05,0.09999999999999999,-1.928730690248953e-05,0.09999999999999999,-1.494732525718508e-05,0.09999999999999999,-1.224715425170789e-05,0.09999999999999999,-1.182666491877778e-05,0.09999999999999999,-1.120372869853718e-05,0.09999999999999999,-1.053930079833053e-05,0.09999999999999999,-9.896546041074965e-06,0.09999999999999999,-9.298531906274454e-06,0.09999999999999999,-8.254533022792864e-06,0.09999999999999999,-7.433431827682335e-06,0.09999999999999999,-6.746311265944727e-06,0.09999999999999999,-6.167982277307526e-06,0.09999999999999999,-5.676820629236375e-06,0.09999999999999999,-5.255659238669456e-06,0.09999999999999999,-4.891154534104628e-06
0.11,-4.096774933635711e-05,0.11,-2.587846017171266e-05,0.11,-2.016452482394229e-05,0.11,-1.656970395989461e-05,0.11,-1.598001351789154e-05,0.11,-1.512490988602853e-05,0.11,-1.421877924699906e-05,0.11,-1.334507495751299e-05,0.11,-1.253382127351431e-05,0.11,-1.112017970382571e-05,0.11,-1.00108719468958e-05,0.11,-9.083324632058061e-06,0.11,-8.303074642992228e-06,0.11,-7.64070109347673e-06,0.11,-7.072910518708587e-06,0.11,-6.581626944839409e-06
0.12,-5.419902649133737e-05,0.12,-3.471202254505541e-05,0.12,-2.719448144922338e-05,0.12,-2.2410909566847e-05,0.12,-2.158498303983476e-05,0.12,-2.041169730560714e-05,0.12,-1.917637366962013e-05,0.12,-1.798913877047493e-05,0.12,-1.688898198818007e-05,0.12,-1.497548291468877e-05,0.12,-1.347731929426954e-05,0.12,-1.222566332849905e-05,0.12,-1.117337745384671e-05,0.12,-1.028044411871393e-05,0.12,-9.515266289121368e-06,0.12,-8.853364621886283e-06
0.13,-7.168361417783459e-05,0.13,-4.654636224358911e-05,0.13,-3.66631098578654e-05,0.13,-3.030087045989535e-05,0.13,-2.9145447937091e-05,0.13,-2.75362913148055e-05,0.13,-2.585279311736032e-05,0.13,-2.424008867105037e-05,0.13,-2.274867959179171e-05,0.13,-2.015952924949775e-05,0.13,-1.813693909014955e-05,0.13,-1.644856630131536e-05,0.13,-1.502995669562113e-05,0.13,-1.382669490894496e-05,0.13,-1.279593326219833e-05,0.13,-1.190453127283663e-05
0.14,-9.47806298657219e-05,0.14,-6.239429346420377e-05,0.14,-4.941060927658683e-05,0.14,-4.095308016402028e-05,0.14,-3.933852584761829e-05,0.14,-3.713254931358936e-05,0.14,-3.48391468578922e-05,0.14,-3.264931709155902e-05,0.14,-3.06282842765139e-05,0.14,-2.712629325870083e-05,0.14,-2.439677668312944e-05,0.14,-2.212024909339559e-05,0.14,-2.020860417420494e-05,0.14,-1.858787047112138e-05,0.14,-1.719996221523819e-05,0.14,-1.6000028637122e-05
0.15,-0.0001252800820542649,0.15,-8.360748684193595e-05,0.15,-6.656392391891248e-05,0.15,-5.53270508212178e-05,0.15,-5.307331072805912e-05,0.15,-5.005051526600183e-05,0.15,-4.692748756631822e-05,0.15,-4.395518399964039e-05,0.15,-4.121756787785795e-05,0.15,-3.648291436482898e-05,0.15,-3.280096045218194e-05,0.15,-2.973276426855583e-05,0.15,-2.71579237233349e-05,0.15,-2.497591426508115e-05,0.15,-2.310801961334603e-05,0.15,-2.149356305538217e-05
0.16,-0.0001655379745401288,0.16,-0.0001119884055401029,0.16,-8.963324336758252e-05,0.16,-7.471189183196582e-05,0.16,-7.156908379237235e-05,0.16,-6.742891939227606e-05,0.16,-6.317793274076071e-05,0.16,-5.91452787865206e-05,0.16,-5.543863922963173e-05,0.16,-4.90403908921603e-05,0.16,-4.407596881714957e-05,0.16,-3.994282331582946e-05,0.16,-3.647646814869985e-05,0.16,-3.354033898107589e-05,0.16,-3.102780063242366e-05,0.16,-2.885679867862586e-05
0.17,-0.0002186530755543836,0.17,-0.0001499384978109899,0.17,-0.0001206402733508149,0.17,-0.0001008376221816472,0.17,-9.645922966232352e-05,0.17,-9.079134477741744e-05,0.17,-8.500758625123276e-05,0.17,-7.953882406076525e-05,0.17,-7.452256228481989e-05,0.17,-6.58805433756266e-05,0.17,-5.919038030283269e-05,0.17,-5.362564910804078e-05,0.17,-4.896170888760461e-05,0.17,-4.501310022606733e-05,0.17,-4.16354243139443e-05,0.17,-3.871776528824842e-05
0.18,-0.0002886978667047665,0.18,-0.000200654017638836,0.18,-0.0001622883612584493,0.18,-0.0001360230628957939,0.18,-0.0001299289508058342,0.18,-0.0001221734428648191,0.18,-0.0001143080118974748,0.18,-0.0001068954252246989,0.18,-0.0001001103858213463,0.18,-8.844420217530441e-05,0.18,-7.943349883966995e-05,0.18,-7.194579788377213e-05,0.18,-6.56744062474225e-05,0.18,-6.036756028530032e-05,0.18,-5.582980959195228e-05,0.18,-5.191129701924862e-05
0.19,-0.0003810197820335845,0.19,-0.0002683842165637029,0.19,-0.000218187559841487,0.19,-0.0001833717838828898,0.19,-0.0001748972303722091,0.19,-0.0001642906992271946,0.19,-0.000153599928429646,0.19,-0.0001435581166366575,0.19,-0.000134385915556686,0.19,-0.0001186469454423818,0.19,-0.0001065184542811952,0.19,-9.644996792271698e-05,0.19,-8.802292123826047e-05,0.19,-8.089568756235332e-05,0.19,-7.480384465202422e-05,0.19,-6.954503018593177e-05
0.2,-0.0005026333947822636,0.2,-0.0003587709181407102,0.2,-0.0002931514950996111,0.2,-0.0002470308824971684,0.2,-0.0002352564351514779,0.2,-0.0002207588825793544,0.2,-0.0002062361672739105,0.2,-0.000192640809368231,0.2,-0.0001802495301997054,0.2,-0.0001590303938374136,0.2,-0.0001427168559344836,0.2,-0.0001291881297716792,0.2,-0.0001178731982855191,0.2,-0.0001083087189670535,0.2,-0.0001001371544962457,0.2,-9.308540505117883e-05
0.21,-0.0006627299205673124,0.21,-0.000479293836347519,0.21,-0.0003935876169834454,0.21,-0.0003325314660969001,0.21,-0.0003161865677806755,0.21,-0.0002963825274949618,0.21,-0.0002766668215612592,0.21,-0.0002582728592253097,0.21,-0.0002415447275362016,0.21,-0.0002129590933689664,0.21,-0.0001910338551377565,0.21,-0.0001728708968775614,0.21,-0.0001576915755624152,0.21,-0.0001448678112773742,0.21,-0.0001339164627479598,0.21,-0.0001244692162894646
0.2200000000000001,-0.00087333751975598,0.2200000000000001,-0.0006398526245248742,0.2200000000000001,-0.0005280081964563963,0.2200000000000001,-0.0004472347027694911,0.2200000000000001,-0.0004245655466642731,0.2200000000000001,-0.0003975306624414316,0.2200000000000001,-0.0003707839633303562,0.2200000000000001,-0.0003459165834707186,0.2200000000000001,-0.0003233519153989316,0.2200000000000001,-0.0002848754091889104,0.2200000000000001,-0.0002554345708186757,0.2200000000000001,-0.0002310729231788703,0.2200000000000001,-0.0002107292622900046,0.2200000000000001,-0.0001935527381743033,0.2200000000000001,-0.0001788909475025334,0.2200000000000001,-0.0001662475531132869
0.2300000000000001,-0.00115017465814626,0.2300000000000001,-0.000853524728289879,0.2300000000000001,-0.0007076964062755313,0.2300000000000001,-0.0006009132648023863,0.2300000000000001,-0.0005695020548707407,0.2300000000000001,-0.0005326235239347246,0.2300000000000001,-0.0004963673290417389,0.2300000000000001,-0.0004627771681546227,0.2300000000000001,-0.0004323672386674798,0.2300000000000001,-0.0003806276097102027,0.2300000000000001,-0.0003411352497195219,0.2300000000000001,-0.0003084942671214602,0.2300000000000001,-0.0002812592626403274,0.2300000000000001,-0.0002582784554993922,0.2300000000000001,-0.0002386716112029863,0.2300000000000001,-0.0002217704667210998
0.2400000000000001,-0.001513749488920348,0.2400000000000001,-0.00113754781505514,0.2400000000000001,-0.0009475700442431209,0.2400000000000001,-0.0008065049242857045,0.2400000000000001,-0.0007630234350219427,0.2400000000000001,-0.0007127591626609898,0.2400000000000001,-0.000663656934688014,0.2400000000000001,-0.0006183284863360417,0.2400000000000001,-0.0005773879184316615,0.2400000000000001,-0.0005078894050657583,0.2400000000000001,-0.0004549752423114282,0.2400000000000001,-0.0004112940778432761,0.2400000000000001,-0.0003748787067740248,0.2400000000000001,-0.0003441713448519508,0.2400000000000001,-0.0003179855104006362,0.2400000000000001,-0.0002954223913431943
0.2500000000000001,-0.00199077109800354,0.2500000000000001,-0.001514586938583612,0.2500000000000001,-0.001267294882275511,0.2500000000000001,-0.001081082866230912,0.2500000000000001,-0.001020957698341809,0.2500000000000001,-0.0009525145307990327,0.2500000000000001,-0.0008860835684141587,0.2500000000000001,-0.0008249827850213181,0.2500000000000001,-0.0007699295742112246,0.2500000000000001,-0.0006766925301799341,0.2500000000000001,-0.0006058888087701392,0.2500000000000001,-0.0005475135849880808,0.2500000000000001,-0.0004988919271566585,0.2500000000000001,-0.0004579191185926125,0.2500000000000001,-0.0004229976923242994,0.2500000000000001,-0.0003929201997347096
0.2600000000000001,-0.002615953703725782,0.2600000000000001,-0.002014359610757161,0.2600000000000001,-0.001692710046500753,0.2600000000000001,-0.001447095695248775,0.2600000000000001,-0.001364055706100624,0.2600000000000001,-0.001270961605211973,0.2600000000000001,-0.00118119330529012,0.2600000000000001,-0.001098936799001857,0.2600000000000001,-0.001025005124954135,0.2600000000000001,-0.0009000973777163358,0.2600000000000001,-0.000805498806195787,0.2600000000000001,-0.0007276081109801362,0.2600000000000001,-0.0006627921114223246,0.2600000000000001,-0.0006082106588612113,0.2600000000000001,-0.0005617158021769666,0.2600000000000001,-0.000521687742734703
0.2700000000000001,-0.003434312610634977,0.2700000000000001,-0.002675706330813923,0.2700000000000001,-0.002257638814898168,0.2700000000000001,-0.001933938634385391,0.2700000000000001,-0.001819406527790675,0.2700000000000001,-0.001692944955038348,0.2700000000000001,-0.001571807244210788,0.2700000000000001,-0.001461231296332165,0.2700000000000001,-0.001362098831650678,0.2700000000000001,-0.001195029946370997,0.2700000000000001,-0.001068857252194025,0.2700000000000001,-0.0009651105100500264,0.2700000000000001,-0.0008788618318438696,0.2700000000000001,-0.0008062843473142171,0.2700000000000001,-0.0007444944497487721,0.2700000000000001,-0.000691322708162467
0.2800000000000001,-0.004504070807424895,0.2800000000000001,-0.003549209310105491,0.2800000000000001,-0.003006169010049525,0.2800000000000001,-0.002579925259990665,0.2800000000000001,-0.002422205196788449,0.2800000000000001,-0.002250672302725549,0.2800000000000001,-0.002087462044539002,0.2800000000000001,-0.001939064868157086,0.2800000000000001,-0.001806372410331168,0.2800000000000001,-0.001583316094106755,0.2800000000000001,-0.001415360289805374,0.2800000000000001,-0.001277450792314533,0.2800000000000001,-0.001162914946918733,0.2800000000000001,-0.001066605495337742,0.2800000000000001,-0.0009846583492958865,0.2800000000000001,-0.0009141734451113119
